날짜,저수율
2024-10-24,89.5
2024-10-25,89.9
2024-10-26,90.1
2024-10-27,90.3
2024-10-28,90.0
2024-10-29,90.2
2024-10-30,90.7
2024-10-31,91.0
2024-11-01,91.4
2024-11-02,91.5
2024-11-03,91.7
2024-11-04,91.2
2024-11-05,91.4
2024-11-06,91.8
2024-11-07,92.0
2024-11-08,92.2
2024-11-09,92.3
2024-11-10,92.3
2024-11-11,91.8
2024-11-12,91.9
2024-11-13,92.2
2024-11-14,92.3
2024-11-15,92.5
2024-11-16,92.6
2024-11-17,92.6
2024-11-18,92.1
2024-11-19,92.3
2024-11-20,92.7
2024-11-21,92.9
2024-11-22,93.2
2024-11-23,93.3
2024-11-24,93.5
2024-11-25,93.1
2024-11-26,93.3
2024-11-27,93.8
2024-11-28,94.1
2024-11-29,94.4
2024-11-30,94.6
2024-12-01,94.8
2024-12-02,94.4
2024-12-03,94.6
2024-12-04,95.0
2024-12-05,95.3
2024-12-06,95.5
2024-12-07,95.6
2024-12-08,95.6
2024-12-09,95.1
2024-12-10,95.2
2024-12-11,95.4
2024-12-12,95.5
2024-12-13,95.6
2024-12-14,95.5
2024-12-15,95.4
2024-12-16,94.8
2024-12-17,94.7
2024-12-18,94.9
2024-12-19,95.0
2024-12-20,95.0
2024-12-21,94.9
2024-12-22,94.8
2024-12-23,94.2
2024-12-24,94.2
2024-12-25,94.4
2024-12-26,94.5
2024-12-27,94.7
2024-12-28,94.7
2024-12-29,94.7
2024-12-30,94.2
2024-12-31,94.3
2025-01-01,94.7
2025-01-02,94.9
2025-01-03,95.1
2025-01-04,95.2
2025-01-05,95.2
2025-01-06,94.7
2025-01-07,94.8
2025-01-08,95.2
2025-01-09,95.3
2025-01-10,95.5
2025-01-11,95.5
2025-01-12,95.5
2025-01-13,94.9
2025-01-14,94.9
2025-01-15,95.1
2025-01-16,95.1
2025-01-17,95.2
2025-01-18,95.1
2025-01-19,94.9
2025-01-20,94.3
2025-01-21,94.2
