날짜,저수율
2024-10-24,61.6
2024-10-25,61.6
2024-10-26,61.8
2024-10-27,62.0
2024-10-28,62.1
2024-10-29,62.3
2024-10-30,62.4
2024-10-31,62.5
2024-11-01,62.4
2024-11-02,62.5
2024-11-03,62.6
2024-11-04,62.6
2024-11-05,62.7
2024-11-06,62.8
2024-11-07,62.8
2024-11-08,62.8
2024-11-09,62.8
2024-11-10,62.9
2024-11-11,63.0
2024-11-12,63.1
2024-11-13,63.2
2024-11-14,63.3
2024-11-15,63.2
2024-11-16,63.3
2024-11-17,63.4
2024-11-18,63.5
2024-11-19,63.6
2024-11-20,63.8
2024-11-21,63.8
2024-11-22,63.7
2024-11-23,63.8
2024-11-24,63.9
2024-11-25,64.0
2024-11-26,64.1
2024-11-27,64.2
2024-11-28,64.2
2024-11-29,64.1
2024-11-30,64.1
2024-12-01,64.1
2024-12-02,64.1
2024-12-03,64.2
2024-12-04,64.3
2024-12-05,64.2
2024-12-06,64.1
2024-12-07,64.1
2024-12-08,64.1
2024-12-09,64.1
2024-12-10,64.1
2024-12-11,64.2
2024-12-12,64.1
2024-12-13,64.0
2024-12-14,64.0
2024-12-15,64.1
2024-12-16,64.1
2024-12-17,64.1
2024-12-18,64.2
2024-12-19,64.2
2024-12-20,64.1
2024-12-21,64.1
2024-12-22,64.2
2024-12-23,64.3
2024-12-24,64.4
2024-12-25,64.5
2024-12-26,64.5
2024-12-27,64.4
2024-12-28,64.5
2024-12-29,64.6
2024-12-30,64.6
2024-12-31,64.7
2025-01-01,64.9
2025-01-02,64.9
2025-01-03,64.8
2025-01-04,64.8
2025-01-05,65.0
2025-01-06,65.0
2025-01-07,65.1
2025-01-08,65.2
2025-01-09,65.2
2025-01-10,65.1
2025-01-11,65.1
2025-01-12,65.2
2025-01-13,65.2
2025-01-14,65.3
2025-01-15,65.4
2025-01-16,65.4
2025-01-17,65.3
2025-01-18,65.3
2025-01-19,65.3
2025-01-20,65.3
2025-01-21,65.4
