날짜,저수율
2024-10-24,90.7
2024-10-25,90.8
2024-10-26,90.8
2024-10-27,90.9
2024-10-28,90.9
2024-10-29,91.0
2024-10-30,91.1
2024-10-31,91.3
2024-11-01,91.3
2024-11-02,91.4
2024-11-03,91.4
2024-11-04,91.4
2024-11-05,91.6
2024-11-06,91.6
2024-11-07,91.8
2024-11-08,91.8
2024-11-09,91.9
2024-11-10,91.9
2024-11-11,91.9
2024-11-12,92.0
2024-11-13,92.0
2024-11-14,92.2
2024-11-15,92.2
2024-11-16,92.3
2024-11-17,92.3
2024-11-18,92.3
2024-11-19,92.3
2024-11-20,92.3
2024-11-21,92.5
2024-11-22,92.5
2024-11-23,92.5
2024-11-24,92.5
2024-11-25,92.5
2024-11-26,92.6
2024-11-27,92.6
2024-11-28,92.7
2024-11-29,92.7
2024-11-30,92.8
2024-12-01,92.8
2024-12-02,92.8
2024-12-03,92.9
2024-12-04,92.9
2024-12-05,93.0
2024-12-06,93.1
2024-12-07,93.1
2024-12-08,93.1
2024-12-09,93.1
2024-12-10,93.2
2024-12-11,93.2
2024-12-12,93.4
2024-12-13,93.4
2024-12-14,93.5
2024-12-15,93.4
2024-12-16,93.4
2024-12-17,93.5
2024-12-18,93.5
2024-12-19,93.7
2024-12-20,93.7
2024-12-21,93.7
2024-12-22,93.6
2024-12-23,93.6
2024-12-24,93.7
2024-12-25,93.6
2024-12-26,93.8
2024-12-27,93.8
2024-12-28,93.8
2024-12-29,93.7
2024-12-30,93.7
2024-12-31,93.7
2025-01-01,93.7
2025-01-02,93.8
2025-01-03,93.8
2025-01-04,93.8
2025-01-05,93.8
2025-01-06,93.8
2025-01-07,93.8
2025-01-08,93.8
2025-01-09,93.9
2025-01-10,93.9
2025-01-11,93.9
2025-01-12,93.8
2025-01-13,93.8
2025-01-14,93.8
2025-01-15,93.8
2025-01-16,93.9
2025-01-17,93.8
2025-01-18,93.8
2025-01-19,93.7
2025-01-20,93.7
2025-01-21,93.7
