날짜,저수율
2024-10-24,75.8
2024-10-25,75.8
2024-10-26,75.8
2024-10-27,75.9
2024-10-28,75.7
2024-10-29,75.6
2024-10-30,75.7
2024-10-31,75.7
2024-11-01,75.9
2024-11-02,76.1
2024-11-03,76.5
2024-11-04,76.5
2024-11-05,76.7
2024-11-06,77.1
2024-11-07,77.4
2024-11-08,77.8
2024-11-09,78.4
2024-11-10,79.0
2024-11-11,79.4
2024-11-12,79.9
2024-11-13,80.5
2024-11-14,81.1
2024-11-15,81.8
2024-11-16,82.5
2024-11-17,83.3
2024-11-18,83.7
2024-11-19,84.3
2024-11-20,85.0
2024-11-21,85.5
2024-11-22,86.1
2024-11-23,86.7
2024-11-24,87.2
2024-11-25,87.4
2024-11-26,87.6
2024-11-27,87.9
2024-11-28,88.0
2024-11-29,88.2
2024-11-30,88.3
2024-12-01,88.4
2024-12-02,88.0
2024-12-03,87.8
2024-12-04,87.5
2024-12-05,87.1
2024-12-06,86.8
2024-12-07,86.4
2024-12-08,86.0
2024-12-09,85.3
2024-12-10,84.7
2024-12-11,84.2
2024-12-12,83.5
2024-12-13,83.0
2024-12-14,82.5
2024-12-15,82.1
2024-12-16,81.3
2024-12-17,80.8
2024-12-18,80.4
2024-12-19,79.9
2024-12-20,79.6
2024-12-21,79.4
2024-12-22,79.3
2024-12-23,79.0
2024-12-24,78.8
2024-12-25,78.8
2024-12-26,78.7
2024-12-27,78.8
2024-12-28,79.1
2024-12-29,79.4
2024-12-30,79.4
2024-12-31,79.5
2025-01-01,79.9
2025-01-02,80.1
2025-01-03,80.5
2025-01-04,80.9
2025-01-05,81.4
2025-01-06,81.6
2025-01-07,81.8
2025-01-08,82.3
2025-01-09,82.5
2025-01-10,82.9
2025-01-11,83.3
2025-01-12,83.8
2025-01-13,83.9
2025-01-14,84.1
2025-01-15,84.4
2025-01-16,84.6
2025-01-17,84.9
2025-01-18,85.2
2025-01-19,85.5
2025-01-20,85.5
2025-01-21,85.7
