날짜,저수율
2024-10-24,65.1
2024-10-25,65.0
2024-10-26,64.9
2024-10-27,64.9
2024-10-28,64.9
2024-10-29,64.9
2024-10-30,64.9
2024-10-31,64.9
2024-11-01,64.9
2024-11-02,65.0
2024-11-03,65.0
2024-11-04,65.1
2024-11-05,65.1
2024-11-06,65.1
2024-11-07,65.1
2024-11-08,65.1
2024-11-09,65.1
2024-11-10,65.1
2024-11-11,65.1
2024-11-12,65.0
2024-11-13,64.9
2024-11-14,64.8
2024-11-15,64.7
2024-11-16,64.6
2024-11-17,64.4
2024-11-18,64.4
2024-11-19,64.2
2024-11-20,64.1
2024-11-21,63.9
2024-11-22,63.8
2024-11-23,63.7
2024-11-24,63.6
2024-11-25,63.6
2024-11-26,63.4
2024-11-27,63.4
2024-11-28,63.3
2024-11-29,63.3
2024-11-30,63.4
2024-12-01,63.4
2024-12-02,63.5
2024-12-03,63.5
2024-12-04,63.7
2024-12-05,63.7
2024-12-06,63.8
2024-12-07,64.0
2024-12-08,64.1
2024-12-09,64.3
2024-12-10,64.3
2024-12-11,64.5
2024-12-12,64.6
2024-12-13,64.6
2024-12-14,64.8
2024-12-15,64.8
2024-12-16,65.0
2024-12-17,64.9
2024-12-18,65.0
2024-12-19,64.9
2024-12-20,64.9
2024-12-21,64.9
2024-12-22,64.9
2024-12-23,64.9
2024-12-24,64.8
2024-12-25,64.7
2024-12-26,64.6
2024-12-27,64.5
2024-12-28,64.5
2024-12-29,64.4
2024-12-30,64.5
2024-12-31,64.3
2025-01-01,64.3
2025-01-02,64.3
2025-01-03,64.2
2025-01-04,64.3
2025-01-05,64.3
2025-01-06,64.4
2025-01-07,64.4
2025-01-08,64.5
2025-01-09,64.6
2025-01-10,64.7
2025-01-11,64.9
2025-01-12,65.0
2025-01-13,65.2
2025-01-14,65.3
2025-01-15,65.5
2025-01-16,65.6
2025-01-17,65.8
2025-01-18,66.0
2025-01-19,66.1
2025-01-20,66.4
2025-01-21,66.4
