날짜,저수율
2024-10-24,94.7
2024-10-25,94.6
2024-10-26,94.5
2024-10-27,94.4
2024-10-28,94.5
2024-10-29,94.4
2024-10-30,94.3
2024-10-31,94.3
2024-11-01,94.3
2024-11-02,94.2
2024-11-03,94.2
2024-11-04,94.4
2024-11-05,94.4
2024-11-06,94.5
2024-11-07,94.6
2024-11-08,94.7
2024-11-09,94.8
2024-11-10,95.0
2024-11-11,95.3
2024-11-12,95.5
2024-11-13,95.7
2024-11-14,96.0
2024-11-15,96.2
2024-11-16,96.5
2024-11-17,96.7
2024-11-18,97.0
2024-11-19,97.3
2024-11-20,97.5
2024-11-21,97.8
2024-11-22,98.0
2024-11-23,98.2
2024-11-24,98.3
2024-11-25,98.6
2024-11-26,98.7
2024-11-27,98.8
2024-11-28,99.0
2024-11-29,99.0
2024-11-30,99.0
2024-12-01,99.0
2024-12-02,99.1
2024-12-03,99.1
2024-12-04,99.1
2024-12-05,99.1
2024-12-06,99.0
2024-12-07,98.9
2024-12-08,98.8
2024-12-09,98.9
2024-12-10,98.8
2024-12-11,98.8
2024-12-12,98.8
2024-12-13,98.7
2024-12-14,98.7
2024-12-15,98.6
2024-12-16,98.7
2024-12-17,98.7
2024-12-18,98.7
2024-12-19,98.8
2024-12-20,98.8
2024-12-21,98.8
2024-12-22,98.9
2024-12-23,99.0
2024-12-24,99.1
2024-12-25,99.1
2024-12-26,99.2
2024-12-27,99.3
2024-12-28,99.3
2024-12-29,99.3
2024-12-30,99.4
2024-12-31,99.4
2025-01-01,99.4
2025-01-02,99.4
2025-01-03,99.4
2025-01-04,99.3
2025-01-05,99.2
2025-01-06,99.2
2025-01-07,99.1
2025-01-08,99.1
2025-01-09,99.0
2025-01-10,98.9
2025-01-11,98.8
2025-01-12,98.7
2025-01-13,98.7
2025-01-14,98.6
2025-01-15,98.6
2025-01-16,98.6
2025-01-17,98.5
2025-01-18,98.5
2025-01-19,98.4
2025-01-20,98.5
2025-01-21,98.5
