날짜,저수율
2024-10-24,75.8
2024-10-25,75.6
2024-10-26,75.7
2024-10-27,75.6
2024-10-28,75.4
2024-10-29,75.4
2024-10-30,75.6
2024-10-31,75.8
2024-11-01,75.8
2024-11-02,76.0
2024-11-03,76.1
2024-11-04,76.0
2024-11-05,76.1
2024-11-06,76.4
2024-11-07,76.6
2024-11-08,76.6
2024-11-09,76.8
2024-11-10,76.9
2024-11-11,76.7
2024-11-12,76.8
2024-11-13,76.9
2024-11-14,77.0
2024-11-15,77.0
2024-11-16,77.1
2024-11-17,77.0
2024-11-18,76.7
2024-11-19,76.7
2024-11-20,76.7
2024-11-21,76.8
2024-11-22,76.7
2024-11-23,76.8
2024-11-24,76.7
2024-11-25,76.4
2024-11-26,76.4
2024-11-27,76.5
2024-11-28,76.7
2024-11-29,76.6
2024-11-30,76.8
2024-12-01,76.8
2024-12-02,76.7
2024-12-03,76.8
2024-12-04,77.0
2024-12-05,77.2
2024-12-06,77.3
2024-12-07,77.5
2024-12-08,77.5
2024-12-09,77.4
2024-12-10,77.5
2024-12-11,77.7
2024-12-12,77.9
2024-12-13,77.9
2024-12-14,78.0
2024-12-15,77.9
2024-12-16,77.7
2024-12-17,77.7
2024-12-18,77.7
2024-12-19,77.7
2024-12-20,77.6
2024-12-21,77.6
2024-12-22,77.4
2024-12-23,77.0
2024-12-24,76.8
2024-12-25,76.8
2024-12-26,76.7
2024-12-27,76.5
2024-12-28,76.4
2024-12-29,76.2
2024-12-30,75.8
2024-12-31,75.6
2025-01-01,75.6
2025-01-02,75.6
2025-01-03,75.4
2025-01-04,75.5
2025-01-05,75.3
2025-01-06,75.0
2025-01-07,75.0
2025-01-08,75.1
2025-01-09,75.2
2025-01-10,75.1
2025-01-11,75.2
2025-01-12,75.1
2025-01-13,74.9
2025-01-14,74.9
2025-01-15,75.1
2025-01-16,75.2
2025-01-17,75.1
2025-01-18,75.2
2025-01-19,75.2
2025-01-20,75.0
2025-01-21,74.9
