날짜,저수율
2024-10-24,67.6
2024-10-25,67.8
2024-10-26,68.0
2024-10-27,68.2
2024-10-28,68.0
2024-10-29,68.2
2024-10-30,68.5
2024-10-31,68.9
2024-11-01,69.0
2024-11-02,69.1
2024-11-03,69.2
2024-11-04,68.9
2024-11-05,69.1
2024-11-06,69.2
2024-11-07,69.5
2024-11-08,69.5
2024-11-09,69.5
2024-11-10,69.4
2024-11-11,69.1
2024-11-12,69.1
2024-11-13,69.1
2024-11-14,69.2
2024-11-15,69.1
2024-11-16,69.0
2024-11-17,68.9
2024-11-18,68.5
2024-11-19,68.4
2024-11-20,68.4
2024-11-21,68.5
2024-11-22,68.4
2024-11-23,68.3
2024-11-24,68.3
2024-11-25,67.8
2024-11-26,67.9
2024-11-27,67.9
2024-11-28,68.1
2024-11-29,68.0
2024-11-30,68.0
2024-12-01,68.0
2024-12-02,67.6
2024-12-03,67.7
2024-12-04,67.8
2024-12-05,68.0
2024-12-06,68.0
2024-12-07,68.0
2024-12-08,68.0
2024-12-09,67.7
2024-12-10,67.8
2024-12-11,67.8
2024-12-12,68.0
2024-12-13,68.0
2024-12-14,67.9
2024-12-15,67.9
2024-12-16,67.5
2024-12-17,67.5
2024-12-18,67.4
2024-12-19,67.6
2024-12-20,67.5
2024-12-21,67.4
2024-12-22,67.2
2024-12-23,66.8
2024-12-24,66.7
2024-12-25,66.7
2024-12-26,66.8
2024-12-27,66.7
2024-12-28,66.6
2024-12-29,66.5
2024-12-30,66.0
2024-12-31,66.0
2025-01-01,66.0
2025-01-02,66.2
2025-01-03,66.2
2025-01-04,66.1
2025-01-05,66.1
2025-01-06,65.7
2025-01-07,65.8
2025-01-08,65.8
2025-01-09,66.0
2025-01-10,66.0
2025-01-11,66.0
2025-01-12,66.0
2025-01-13,65.7
2025-01-14,65.7
2025-01-15,65.8
2025-01-16,66.0
2025-01-17,66.0
2025-01-18,65.9
2025-01-19,65.9
2025-01-20,65.5
2025-01-21,65.5
