날짜,저수율
2024-10-24,81.8
2024-10-25,81.6
2024-10-26,82.0
2024-10-27,82.1
2024-10-28,82.7
2024-10-29,83.0
2024-10-30,83.2
2024-10-31,83.5
2024-11-01,83.2
2024-11-02,83.4
2024-11-03,83.4
2024-11-04,83.8
2024-11-05,83.8
2024-11-06,83.9
2024-11-07,83.9
2024-11-08,83.4
2024-11-09,83.4
2024-11-10,83.2
2024-11-11,83.4
2024-11-12,83.3
2024-11-13,83.3
2024-11-14,83.2
2024-11-15,82.6
2024-11-16,82.6
2024-11-17,82.4
2024-11-18,82.7
2024-11-19,82.6
2024-11-20,82.7
2024-11-21,82.8
2024-11-22,82.3
2024-11-23,82.5
2024-11-24,82.5
2024-11-25,83.0
2024-11-26,83.2
2024-11-27,83.4
2024-11-28,83.8
2024-11-29,83.5
2024-11-30,83.9
2024-12-01,84.1
2024-12-02,84.8
2024-12-03,85.1
2024-12-04,85.4
2024-12-05,85.8
2024-12-06,85.6
2024-12-07,86.0
2024-12-08,86.2
2024-12-09,86.7
2024-12-10,86.9
2024-12-11,87.1
2024-12-12,87.3
2024-12-13,86.9
2024-12-14,87.1
2024-12-15,87.0
2024-12-16,87.3
2024-12-17,87.2
2024-12-18,87.2
2024-12-19,87.1
2024-12-20,86.5
2024-12-21,86.4
2024-12-22,86.1
2024-12-23,86.2
2024-12-24,86.0
2024-12-25,85.9
2024-12-26,85.7
2024-12-27,85.0
2024-12-28,85.0
2024-12-29,84.7
2024-12-30,84.9
2024-12-31,84.7
2025-01-01,84.7
2025-01-02,84.7
2025-01-03,84.2
2025-01-04,84.3
2025-01-05,84.3
2025-01-06,84.7
2025-01-07,84.8
2025-01-08,85.0
2025-01-09,85.2
2025-01-10,84.9
2025-01-11,85.3
2025-01-12,85.4
2025-01-13,86.0
2025-01-14,86.3
2025-01-15,86.6
2025-01-16,87.0
2025-01-17,86.7
2025-01-18,87.1
2025-01-19,87.3
2025-01-20,87.9
2025-01-21,88.2
