날짜,저수율
2024-10-24,53.4
2024-10-25,53.5
2024-10-26,53.7
2024-10-27,53.8
2024-10-28,54.0
2024-10-29,54.1
2024-10-30,54.1
2024-10-31,54.2
2024-11-01,54.2
2024-11-02,54.3
2024-11-03,54.3
2024-11-04,54.3
2024-11-05,54.2
2024-11-06,54.1
2024-11-07,53.9
2024-11-08,53.8
2024-11-09,53.6
2024-11-10,53.4
2024-11-11,53.2
2024-11-12,53.0
2024-11-13,52.8
2024-11-14,52.5
2024-11-15,52.3
2024-11-16,52.1
2024-11-17,51.9
2024-11-18,51.7
2024-11-19,51.6
2024-11-20,51.4
2024-11-21,51.2
2024-11-22,51.1
2024-11-23,51.1
2024-11-24,51.1
2024-11-25,51.1
2024-11-26,51.2
2024-11-27,51.2
2024-11-28,51.2
2024-11-29,51.4
2024-11-30,51.6
2024-12-01,51.8
2024-12-02,52.0
2024-12-03,52.2
2024-12-04,52.4
2024-12-05,52.6
2024-12-06,52.8
2024-12-07,53.1
2024-12-08,53.3
2024-12-09,53.6
2024-12-10,53.8
2024-12-11,53.9
2024-12-12,54.1
2024-12-13,54.3
2024-12-14,54.4
2024-12-15,54.6
2024-12-16,54.7
2024-12-17,54.8
2024-12-18,54.9
2024-12-19,54.9
2024-12-20,55.0
2024-12-21,55.1
2024-12-22,55.1
2024-12-23,55.2
2024-12-24,55.3
2024-12-25,55.3
2024-12-26,55.3
2024-12-27,55.4
2024-12-28,55.5
2024-12-29,55.6
2024-12-30,55.8
2024-12-31,55.9
2025-01-01,56.0
2025-01-02,56.1
2025-01-03,56.3
2025-01-04,56.5
2025-01-05,56.8
2025-01-06,57.0
2025-01-07,57.2
2025-01-08,57.4
2025-01-09,57.6
2025-01-10,57.9
2025-01-11,58.1
2025-01-12,58.4
2025-01-13,58.6
2025-01-14,58.9
2025-01-15,59.0
2025-01-16,59.2
2025-01-17,59.4
2025-01-18,59.5
2025-01-19,59.7
2025-01-20,59.8
2025-01-21,60.0
