날짜,저수율
2024-10-24,91.5
2024-10-25,91.3
2024-10-26,90.9
2024-10-27,90.6
2024-10-28,90.3
2024-10-29,90.1
2024-10-30,89.7
2024-10-31,89.5
2024-11-01,89.3
2024-11-02,89.1
2024-11-03,88.9
2024-11-04,88.8
2024-11-05,88.8
2024-11-06,88.6
2024-11-07,88.5
2024-11-08,88.6
2024-11-09,88.6
2024-11-10,88.6
2024-11-11,88.7
2024-11-12,88.8
2024-11-13,88.8
2024-11-14,88.9
2024-11-15,89.1
2024-11-16,89.2
2024-11-17,89.4
2024-11-18,89.5
2024-11-19,89.7
2024-11-20,89.8
2024-11-21,90.0
2024-11-22,90.2
2024-11-23,90.4
2024-11-24,90.6
2024-11-25,90.7
2024-11-26,90.9
2024-11-27,91.0
2024-11-28,91.1
2024-11-29,91.4
2024-11-30,91.5
2024-12-01,91.6
2024-12-02,91.8
2024-12-03,91.9
2024-12-04,92.0
2024-12-05,92.1
2024-12-06,92.3
2024-12-07,92.4
2024-12-08,92.4
2024-12-09,92.5
2024-12-10,92.7
2024-12-11,92.7
2024-12-12,92.7
2024-12-13,92.9
2024-12-14,92.9
2024-12-15,93.0
2024-12-16,93.0
2024-12-17,93.1
2024-12-18,93.1
2024-12-19,93.1
2024-12-20,93.2
2024-12-21,93.3
2024-12-22,93.3
2024-12-23,93.3
2024-12-24,93.4
2024-12-25,93.3
2024-12-26,93.3
2024-12-27,93.4
2024-12-28,93.4
2024-12-29,93.4
2024-12-30,93.4
2024-12-31,93.5
2025-01-01,93.4
2025-01-02,93.4
2025-01-03,93.5
2025-01-04,93.5
2025-01-05,93.5
2025-01-06,93.5
2025-01-07,93.5
2025-01-08,93.4
2025-01-09,93.4
2025-01-10,93.5
2025-01-11,93.5
2025-01-12,93.5
2025-01-13,93.5
2025-01-14,93.6
2025-01-15,93.5
2025-01-16,93.5
2025-01-17,93.5
2025-01-18,93.5
2025-01-19,93.5
2025-01-20,93.5
2025-01-21,93.6
