날짜,저수율
2024-10-24,56.3
2024-10-25,56.3
2024-10-26,56.2
2024-10-27,56.1
2024-10-28,56.2
2024-10-29,56.2
2024-10-30,56.0
2024-10-31,56.0
2024-11-01,55.9
2024-11-02,56.0
2024-11-03,55.9
2024-11-04,56.0
2024-11-05,56.0
2024-11-06,55.9
2024-11-07,55.8
2024-11-08,55.8
2024-11-09,55.8
2024-11-10,55.7
2024-11-11,55.8
2024-11-12,55.8
2024-11-13,55.6
2024-11-14,55.6
2024-11-15,55.5
2024-11-16,55.5
2024-11-17,55.4
2024-11-18,55.4
2024-11-19,55.4
2024-11-20,55.3
2024-11-21,55.2
2024-11-22,55.1
2024-11-23,55.1
2024-11-24,55.0
2024-11-25,55.1
2024-11-26,55.1
2024-11-27,54.9
2024-11-28,54.9
2024-11-29,54.9
2024-11-30,54.9
2024-12-01,54.9
2024-12-02,54.9
2024-12-03,55.0
2024-12-04,54.9
2024-12-05,54.8
2024-12-06,54.9
2024-12-07,54.9
2024-12-08,54.9
2024-12-09,55.0
2024-12-10,55.0
2024-12-11,54.9
2024-12-12,54.9
2024-12-13,54.9
2024-12-14,54.9
2024-12-15,54.9
2024-12-16,54.9
2024-12-17,55.0
2024-12-18,54.8
2024-12-19,54.8
2024-12-20,54.7
2024-12-21,54.7
2024-12-22,54.7
2024-12-23,54.7
2024-12-24,54.7
2024-12-25,54.5
2024-12-26,54.5
2024-12-27,54.4
2024-12-28,54.4
2024-12-29,54.3
2024-12-30,54.4
2024-12-31,54.4
2025-01-01,54.3
2025-01-02,54.2
2025-01-03,54.2
2025-01-04,54.2
2025-01-05,54.2
2025-01-06,54.2
2025-01-07,54.3
2025-01-08,54.2
2025-01-09,54.1
2025-01-10,54.2
2025-01-11,54.2
2025-01-12,54.2
2025-01-13,54.3
2025-01-14,54.3
2025-01-15,54.2
2025-01-16,54.2
2025-01-17,54.2
2025-01-18,54.2
2025-01-19,54.1
2025-01-20,54.2
2025-01-21,54.2
