날짜,저수율
2024-10-24,79.4
2024-10-25,79.4
2024-10-26,79.1
2024-10-27,78.9
2024-10-28,78.9
2024-10-29,78.8
2024-10-30,78.7
2024-10-31,78.7
2024-11-01,78.7
2024-11-02,78.5
2024-11-03,78.5
2024-11-04,78.5
2024-11-05,78.5
2024-11-06,78.6
2024-11-07,78.6
2024-11-08,78.7
2024-11-09,78.6
2024-11-10,78.6
2024-11-11,78.7
2024-11-12,78.8
2024-11-13,78.9
2024-11-14,78.9
2024-11-15,79.0
2024-11-16,79.0
2024-11-17,79.0
2024-11-18,79.0
2024-11-19,79.1
2024-11-20,79.2
2024-11-21,79.2
2024-11-22,79.2
2024-11-23,79.1
2024-11-24,79.1
2024-11-25,79.1
2024-11-26,79.1
2024-11-27,79.1
2024-11-28,79.1
2024-11-29,79.1
2024-11-30,78.9
2024-12-01,78.8
2024-12-02,78.8
2024-12-03,78.8
2024-12-04,78.8
2024-12-05,78.7
2024-12-06,78.7
2024-12-07,78.6
2024-12-08,78.5
2024-12-09,78.5
2024-12-10,78.5
2024-12-11,78.5
2024-12-12,78.4
2024-12-13,78.5
2024-12-14,78.4
2024-12-15,78.3
2024-12-16,78.4
2024-12-17,78.4
2024-12-18,78.5
2024-12-19,78.5
2024-12-20,78.7
2024-12-21,78.6
2024-12-22,78.6
2024-12-23,78.8
2024-12-24,78.9
2024-12-25,79.0
2024-12-26,79.1
2024-12-27,79.3
2024-12-28,79.3
2024-12-29,79.4
2024-12-30,79.5
2024-12-31,79.7
2025-01-01,79.9
2025-01-02,80.0
2025-01-03,80.2
2025-01-04,80.3
2025-01-05,80.4
2025-01-06,80.5
2025-01-07,80.7
2025-01-08,80.9
2025-01-09,81.1
2025-01-10,81.3
2025-01-11,81.4
2025-01-12,81.5
2025-01-13,81.7
2025-01-14,81.9
2025-01-15,82.1
2025-01-16,82.2
2025-01-17,82.4
2025-01-18,82.5
2025-01-19,82.6
2025-01-20,82.8
2025-01-21,83.0
