날짜,저수율
2024-10-24,64.2
2024-10-25,64.4
2024-10-26,64.8
2024-10-27,65.1
2024-10-28,65.3
2024-10-29,65.8
2024-10-30,66.3
2024-10-31,66.7
2024-11-01,66.9
2024-11-02,67.3
2024-11-03,67.6
2024-11-04,67.6
2024-11-05,68.0
2024-11-06,68.3
2024-11-07,68.4
2024-11-08,68.3
2024-11-09,68.3
2024-11-10,68.1
2024-11-11,67.7
2024-11-12,67.6
2024-11-13,67.4
2024-11-14,67.0
2024-11-15,66.4
2024-11-16,65.9
2024-11-17,65.3
2024-11-18,64.4
2024-11-19,63.9
2024-11-20,63.2
2024-11-21,62.5
2024-11-22,61.6
2024-11-23,60.9
2024-11-24,60.1
2024-11-25,59.1
2024-11-26,58.5
2024-11-27,57.8
2024-11-28,57.1
2024-11-29,56.3
2024-11-30,55.7
2024-12-01,55.1
2024-12-02,54.3
2024-12-03,53.9
2024-12-04,53.5
2024-12-05,53.1
2024-12-06,52.6
2024-12-07,52.3
2024-12-08,52.0
2024-12-09,51.5
2024-12-10,51.4
2024-12-11,51.4
2024-12-12,51.3
2024-12-13,51.0
2024-12-14,51.0
2024-12-15,50.9
2024-12-16,50.7
2024-12-17,50.9
2024-12-18,51.0
2024-12-19,51.1
2024-12-20,51.0
2024-12-21,51.2
2024-12-22,51.3
2024-12-23,51.1
2024-12-24,51.5
2024-12-25,51.7
2024-12-26,51.9
2024-12-27,52.0
2024-12-28,52.2
2024-12-29,52.4
2024-12-30,52.3
2024-12-31,52.7
2025-01-01,53.0
2025-01-02,53.3
2025-01-03,53.3
2025-01-04,53.6
2025-01-05,53.8
2025-01-06,53.7
2025-01-07,54.1
2025-01-08,54.3
2025-01-09,54.5
2025-01-10,54.4
2025-01-11,54.6
2025-01-12,54.6
2025-01-13,54.4
2025-01-14,54.6
2025-01-15,54.7
2025-01-16,54.7
2025-01-17,54.5
2025-01-18,54.5
2025-01-19,54.3
2025-01-20,54.0
2025-01-21,54.0
