날짜,저수율
2024-10-24,71.8
2024-10-25,71.9
2024-10-26,72.0
2024-10-27,72.1
2024-10-28,72.3
2024-10-29,72.3
2024-10-30,72.4
2024-10-31,72.5
2024-11-01,72.6
2024-11-02,72.6
2024-11-03,72.7
2024-11-04,72.7
2024-11-05,72.7
2024-11-06,72.7
2024-11-07,72.7
2024-11-08,72.7
2024-11-09,72.7
2024-11-10,72.6
2024-11-11,72.6
2024-11-12,72.5
2024-11-13,72.5
2024-11-14,72.4
2024-11-15,72.3
2024-11-16,72.3
2024-11-17,72.3
2024-11-18,72.2
2024-11-19,72.1
2024-11-20,72.2
2024-11-21,72.2
2024-11-22,72.2
2024-11-23,72.2
2024-11-24,72.3
2024-11-25,72.3
2024-11-26,72.4
2024-11-27,72.5
2024-11-28,72.6
2024-11-29,72.7
2024-11-30,72.9
2024-12-01,73.1
2024-12-02,73.2
2024-12-03,73.4
2024-12-04,73.6
2024-12-05,73.8
2024-12-06,74.0
2024-12-07,74.2
2024-12-08,74.5
2024-12-09,74.7
2024-12-10,74.9
2024-12-11,75.1
2024-12-12,75.4
2024-12-13,75.6
2024-12-14,75.8
2024-12-15,76.1
2024-12-16,76.3
2024-12-17,76.4
2024-12-18,76.7
2024-12-19,76.9
2024-12-20,77.1
2024-12-21,77.3
2024-12-22,77.5
2024-12-23,77.6
2024-12-24,77.7
2024-12-25,77.9
2024-12-26,78.1
2024-12-27,78.2
2024-12-28,78.4
2024-12-29,78.5
2024-12-30,78.7
2024-12-31,78.7
2025-01-01,78.9
2025-01-02,79.0
2025-01-03,79.1
2025-01-04,79.2
2025-01-05,79.4
2025-01-06,79.5
2025-01-07,79.5
2025-01-08,79.6
2025-01-09,79.8
2025-01-10,79.9
2025-01-11,80.0
2025-01-12,80.1
2025-01-13,80.3
2025-01-14,80.3
2025-01-15,80.4
2025-01-16,80.6
2025-01-17,80.7
2025-01-18,80.8
2025-01-19,81.0
2025-01-20,81.1
2025-01-21,81.2
