날짜,저수율
2024-10-24,93.2
2024-10-25,93.4
2024-10-26,93.4
2024-10-27,93.3
2024-10-28,93.3
2024-10-29,93.3
2024-10-30,93.3
2024-10-31,93.2
2024-11-01,93.3
2024-11-02,93.2
2024-11-03,93.0
2024-11-04,93.0
2024-11-05,92.9
2024-11-06,92.8
2024-11-07,92.7
2024-11-08,92.6
2024-11-09,92.5
2024-11-10,92.4
2024-11-11,92.3
2024-11-12,92.3
2024-11-13,92.2
2024-11-14,92.1
2024-11-15,92.2
2024-11-16,92.2
2024-11-17,92.1
2024-11-18,92.1
2024-11-19,92.2
2024-11-20,92.2
2024-11-21,92.2
2024-11-22,92.4
2024-11-23,92.4
2024-11-24,92.4
2024-11-25,92.5
2024-11-26,92.6
2024-11-27,92.6
2024-11-28,92.7
2024-11-29,92.8
2024-11-30,92.8
2024-12-01,92.8
2024-12-02,92.8
2024-12-03,92.8
2024-12-04,92.8
2024-12-05,92.8
2024-12-06,92.8
2024-12-07,92.7
2024-12-08,92.6
2024-12-09,92.6
2024-12-10,92.5
2024-12-11,92.4
2024-12-12,92.3
2024-12-13,92.3
2024-12-14,92.2
2024-12-15,92.1
2024-12-16,92.0
2024-12-17,92.0
2024-12-18,91.9
2024-12-19,91.9
2024-12-20,91.9
2024-12-21,91.9
2024-12-22,91.8
2024-12-23,91.9
2024-12-24,91.9
2024-12-25,91.9
2024-12-26,91.9
2024-12-27,92.1
2024-12-28,92.1
2024-12-29,92.1
2024-12-30,92.2
2024-12-31,92.3
2025-01-01,92.3
2025-01-02,92.3
2025-01-03,92.5
2025-01-04,92.5
2025-01-05,92.4
2025-01-06,92.5
2025-01-07,92.5
2025-01-08,92.5
2025-01-09,92.4
2025-01-10,92.4
2025-01-11,92.4
2025-01-12,92.3
2025-01-13,92.2
2025-01-14,92.1
2025-01-15,92.0
2025-01-16,91.9
2025-01-17,91.9
2025-01-18,91.9
2025-01-19,91.7
2025-01-20,91.7
2025-01-21,91.6
