날짜,저수율
2024-10-24,71.1
2024-10-25,71.0
2024-10-26,71.1
2024-10-27,71.2
2024-10-28,71.3
2024-10-29,71.3
2024-10-30,71.5
2024-10-31,71.6
2024-11-01,71.5
2024-11-02,71.6
2024-11-03,71.7
2024-11-04,71.7
2024-11-05,71.8
2024-11-06,71.9
2024-11-07,72.0
2024-11-08,71.9
2024-11-09,71.8
2024-11-10,71.9
2024-11-11,71.9
2024-11-12,72.0
2024-11-13,72.1
2024-11-14,72.2
2024-11-15,72.0
2024-11-16,72.0
2024-11-17,72.1
2024-11-18,72.2
2024-11-19,72.2
2024-11-20,72.5
2024-11-21,72.6
2024-11-22,72.5
2024-11-23,72.6
2024-11-24,72.7
2024-11-25,72.9
2024-11-26,73.0
2024-11-27,73.3
2024-11-28,73.5
2024-11-29,73.4
2024-11-30,73.5
2024-12-01,73.7
2024-12-02,73.9
2024-12-03,74.0
2024-12-04,74.2
2024-12-05,74.4
2024-12-06,74.3
2024-12-07,74.3
2024-12-08,74.4
2024-12-09,74.4
2024-12-10,74.4
2024-12-11,74.6
2024-12-12,74.6
2024-12-13,74.4
2024-12-14,74.3
2024-12-15,74.2
2024-12-16,74.2
2024-12-17,74.1
2024-12-18,74.1
2024-12-19,74.0
2024-12-20,73.7
2024-12-21,73.6
2024-12-22,73.5
2024-12-23,73.4
2024-12-24,73.3
2024-12-25,73.4
2024-12-26,73.3
2024-12-27,73.1
2024-12-28,73.0
2024-12-29,73.0
2024-12-30,72.9
2024-12-31,72.9
2025-01-01,73.0
2025-01-02,73.0
2025-01-03,72.9
2025-01-04,72.8
2025-01-05,72.9
2025-01-06,72.9
2025-01-07,72.9
2025-01-08,73.1
2025-01-09,73.1
2025-01-10,73.0
2025-01-11,72.9
2025-01-12,73.0
2025-01-13,73.0
2025-01-14,73.0
2025-01-15,73.1
2025-01-16,73.1
2025-01-17,72.9
2025-01-18,72.8
2025-01-19,72.8
2025-01-20,72.7
2025-01-21,72.6
