날짜,저수율
2024-10-24,68.7
2024-10-25,68.9
2024-10-26,68.9
2024-10-27,69.0
2024-10-28,69.3
2024-10-29,69.4
2024-10-30,69.6
2024-10-31,69.7
2024-11-01,70.0
2024-11-02,70.0
2024-11-03,70.2
2024-11-04,70.4
2024-11-05,70.4
2024-11-06,70.5
2024-11-07,70.4
2024-11-08,70.4
2024-11-09,70.1
2024-11-10,69.9
2024-11-11,69.8
2024-11-12,69.4
2024-11-13,69.2
2024-11-14,68.7
2024-11-15,68.4
2024-11-16,67.7
2024-11-17,67.2
2024-11-18,66.9
2024-11-19,66.3
2024-11-20,65.8
2024-11-21,65.2
2024-11-22,64.9
2024-11-23,64.3
2024-11-24,63.8
2024-11-25,63.6
2024-11-26,63.2
2024-11-27,63.0
2024-11-28,62.7
2024-11-29,62.7
2024-11-30,62.5
2024-12-01,62.4
2024-12-02,62.6
2024-12-03,62.7
2024-12-04,62.9
2024-12-05,63.1
2024-12-06,63.5
2024-12-07,63.6
2024-12-08,64.0
2024-12-09,64.5
2024-12-10,64.8
2024-12-11,65.2
2024-12-12,65.5
2024-12-13,66.0
2024-12-14,66.2
2024-12-15,66.6
2024-12-16,67.0
2024-12-17,67.2
2024-12-18,67.5
2024-12-19,67.6
2024-12-20,67.9
2024-12-21,67.8
2024-12-22,67.9
2024-12-23,68.0
2024-12-24,67.9
2024-12-25,67.9
2024-12-26,67.7
2024-12-27,67.7
2024-12-28,67.4
2024-12-29,67.3
2024-12-30,67.2
2024-12-31,67.0
2025-01-01,66.9
2025-01-02,66.7
2025-01-03,66.6
2025-01-04,66.4
2025-01-05,66.3
2025-01-06,66.3
2025-01-07,66.2
2025-01-08,66.3
2025-01-09,66.2
2025-01-10,66.4
2025-01-11,66.3
2025-01-12,66.4
2025-01-13,66.6
2025-01-14,66.7
2025-01-15,66.9
2025-01-16,67.0
2025-01-17,67.4
2025-01-18,67.4
2025-01-19,67.6
2025-01-20,67.9
2025-01-21,68.0
