날짜,저수율
2024-10-24,78.2
2024-10-25,78.3
2024-10-26,78.3
2024-10-27,78.2
2024-10-28,78.1
2024-10-29,78.0
2024-10-30,78.0
2024-10-31,78.0
2024-11-01,78.0
2024-11-02,77.9
2024-11-03,77.8
2024-11-04,77.6
2024-11-05,77.4
2024-11-06,77.3
2024-11-07,77.2
2024-11-08,77.2
2024-11-09,77.1
2024-11-10,76.9
2024-11-11,76.7
2024-11-12,76.5
2024-11-13,76.4
2024-11-14,76.3
2024-11-15,76.3
2024-11-16,76.3
2024-11-17,76.1
2024-11-18,76.0
2024-11-19,75.9
2024-11-20,75.9
2024-11-21,76.0
2024-11-22,76.1
2024-11-23,76.2
2024-11-24,76.2
2024-11-25,76.1
2024-11-26,76.2
2024-11-27,76.3
2024-11-28,76.4
2024-11-29,76.6
2024-11-30,76.7
2024-12-01,76.7
2024-12-02,76.7
2024-12-03,76.7
2024-12-04,76.8
2024-12-05,76.8
2024-12-06,76.9
2024-12-07,77.0
2024-12-08,76.9
2024-12-09,76.8
2024-12-10,76.6
2024-12-11,76.6
2024-12-12,76.6
2024-12-13,76.5
2024-12-14,76.5
2024-12-15,76.3
2024-12-16,76.1
2024-12-17,75.9
2024-12-18,75.8
2024-12-19,75.7
2024-12-20,75.7
2024-12-21,75.6
2024-12-22,75.5
2024-12-23,75.4
2024-12-24,75.3
2024-12-25,75.3
2024-12-26,75.3
2024-12-27,75.4
2024-12-28,75.5
2024-12-29,75.5
2024-12-30,75.5
2024-12-31,75.6
2025-01-01,75.7
2025-01-02,75.9
2025-01-03,76.2
2025-01-04,76.3
2025-01-05,76.4
2025-01-06,76.5
2025-01-07,76.6
2025-01-08,76.8
2025-01-09,77.0
2025-01-10,77.2
2025-01-11,77.3
2025-01-12,77.4
2025-01-13,77.4
2025-01-14,77.3
2025-01-15,77.4
2025-01-16,77.4
2025-01-17,77.5
2025-01-18,77.4
2025-01-19,77.3
2025-01-20,77.1
2025-01-21,76.9
