날짜,저수율
2024-10-24,76.3
2024-10-25,76.1
2024-10-26,76.2
2024-10-27,76.3
2024-10-28,76.4
2024-10-29,76.7
2024-10-30,77.0
2024-10-31,77.0
2024-11-01,77.0
2024-11-02,77.2
2024-11-03,77.3
2024-11-04,77.5
2024-11-05,77.7
2024-11-06,78.0
2024-11-07,77.9
2024-11-08,77.8
2024-11-09,77.9
2024-11-10,77.9
2024-11-11,77.8
2024-11-12,77.9
2024-11-13,78.0
2024-11-14,77.8
2024-11-15,77.5
2024-11-16,77.4
2024-11-17,77.2
2024-11-18,77.1
2024-11-19,77.0
2024-11-20,77.0
2024-11-21,76.7
2024-11-22,76.4
2024-11-23,76.3
2024-11-24,76.1
2024-11-25,76.0
2024-11-26,76.1
2024-11-27,76.2
2024-11-28,76.0
2024-11-29,75.8
2024-11-30,75.8
2024-12-01,75.7
2024-12-02,75.8
2024-12-03,75.9
2024-12-04,76.1
2024-12-05,76.1
2024-12-06,75.9
2024-12-07,76.0
2024-12-08,76.0
2024-12-09,76.1
2024-12-10,76.3
2024-12-11,76.5
2024-12-12,76.3
2024-12-13,76.1
2024-12-14,76.1
2024-12-15,76.1
2024-12-16,76.0
2024-12-17,76.1
2024-12-18,76.2
2024-12-19,75.9
2024-12-20,75.6
2024-12-21,75.5
2024-12-22,75.3
2024-12-23,75.2
2024-12-24,75.1
2024-12-25,75.2
2024-12-26,74.9
2024-12-27,74.6
2024-12-28,74.5
2024-12-29,74.3
2024-12-30,74.2
2024-12-31,74.3
2025-01-01,74.4
2025-01-02,74.2
2025-01-03,74.0
2025-01-04,74.0
2025-01-05,73.9
2025-01-06,74.0
2025-01-07,74.1
2025-01-08,74.3
2025-01-09,74.2
2025-01-10,74.1
2025-01-11,74.2
2025-01-12,74.2
2025-01-13,74.3
2025-01-14,74.4
2025-01-15,74.7
2025-01-16,74.5
2025-01-17,74.4
2025-01-18,74.4
2025-01-19,74.4
2025-01-20,74.4
2025-01-21,74.4
