날짜,저수율
2024-10-24,64.7
2024-10-25,64.7
2024-10-26,64.7
2024-10-27,64.7
2024-10-28,64.8
2024-10-29,64.8
2024-10-30,64.7
2024-10-31,64.6
2024-11-01,64.6
2024-11-02,64.6
2024-11-03,64.6
2024-11-04,64.6
2024-11-05,64.6
2024-11-06,64.5
2024-11-07,64.4
2024-11-08,64.3
2024-11-09,64.3
2024-11-10,64.3
2024-11-11,64.3
2024-11-12,64.3
2024-11-13,64.2
2024-11-14,64.1
2024-11-15,64.0
2024-11-16,64.0
2024-11-17,64.0
2024-11-18,64.1
2024-11-19,64.1
2024-11-20,64.0
2024-11-21,63.9
2024-11-22,63.9
2024-11-23,64.0
2024-11-24,64.0
2024-11-25,64.1
2024-11-26,64.1
2024-11-27,64.0
2024-11-28,64.0
2024-11-29,64.0
2024-11-30,64.0
2024-12-01,64.0
2024-12-02,64.1
2024-12-03,64.1
2024-12-04,64.0
2024-12-05,63.9
2024-12-06,63.9
2024-12-07,63.9
2024-12-08,63.9
2024-12-09,63.9
2024-12-10,63.9
2024-12-11,63.8
2024-12-12,63.7
2024-12-13,63.6
2024-12-14,63.6
2024-12-15,63.6
2024-12-16,63.6
2024-12-17,63.5
2024-12-18,63.4
2024-12-19,63.3
2024-12-20,63.2
2024-12-21,63.2
2024-12-22,63.1
2024-12-23,63.1
2024-12-24,63.1
2024-12-25,63.0
2024-12-26,62.9
2024-12-27,62.8
2024-12-28,62.8
2024-12-29,62.8
2024-12-30,62.9
2024-12-31,62.8
2025-01-01,62.8
2025-01-02,62.7
2025-01-03,62.7
2025-01-04,62.7
2025-01-05,62.8
2025-01-06,62.9
2025-01-07,62.9
2025-01-08,62.9
2025-01-09,62.9
2025-01-10,62.9
2025-01-11,63.0
2025-01-12,63.1
2025-01-13,63.2
2025-01-14,63.3
2025-01-15,63.3
2025-01-16,63.3
2025-01-17,63.3
2025-01-18,63.4
2025-01-19,63.5
2025-01-20,63.6
2025-01-21,63.7
