날짜,저수율
2024-10-24,79.8
2024-10-25,79.8
2024-10-26,79.8
2024-10-27,79.8
2024-10-28,79.7
2024-10-29,79.7
2024-10-30,79.8
2024-10-31,79.9
2024-11-01,80.0
2024-11-02,80.1
2024-11-03,80.1
2024-11-04,80.1
2024-11-05,80.2
2024-11-06,80.3
2024-11-07,80.5
2024-11-08,80.5
2024-11-09,80.6
2024-11-10,80.7
2024-11-11,80.7
2024-11-12,80.7
2024-11-13,80.8
2024-11-14,81.0
2024-11-15,81.1
2024-11-16,81.2
2024-11-17,81.3
2024-11-18,81.3
2024-11-19,81.4
2024-11-20,81.5
2024-11-21,81.8
2024-11-22,81.9
2024-11-23,82.1
2024-11-24,82.3
2024-11-25,82.4
2024-11-26,82.6
2024-11-27,82.8
2024-11-28,83.1
2024-11-29,83.4
2024-11-30,83.6
2024-12-01,83.8
2024-12-02,84.0
2024-12-03,84.2
2024-12-04,84.5
2024-12-05,84.8
2024-12-06,85.0
2024-12-07,85.3
2024-12-08,85.4
2024-12-09,85.5
2024-12-10,85.6
2024-12-11,85.8
2024-12-12,86.1
2024-12-13,86.2
2024-12-14,86.3
2024-12-15,86.3
2024-12-16,86.3
2024-12-17,86.3
2024-12-18,86.4
2024-12-19,86.5
2024-12-20,86.5
2024-12-21,86.6
2024-12-22,86.6
2024-12-23,86.5
2024-12-24,86.5
2024-12-25,86.6
2024-12-26,86.7
2024-12-27,86.8
2024-12-28,86.9
2024-12-29,86.9
2024-12-30,86.9
2024-12-31,87.0
2025-01-01,87.2
2025-01-02,87.4
2025-01-03,87.6
2025-01-04,87.7
2025-01-05,87.9
2025-01-06,88.0
2025-01-07,88.1
2025-01-08,88.3
2025-01-09,88.6
2025-01-10,88.7
2025-01-11,88.9
2025-01-12,89.0
2025-01-13,89.1
2025-01-14,89.1
2025-01-15,89.2
2025-01-16,89.4
2025-01-17,89.5
2025-01-18,89.5
2025-01-19,89.6
2025-01-20,89.5
2025-01-21,89.4
