날짜,저수율
2024-10-24,73.7
2024-10-25,73.8
2024-10-26,73.5
2024-10-27,73.3
2024-10-28,73.2
2024-10-29,73.0
2024-10-30,72.6
2024-10-31,72.5
2024-11-01,72.9
2024-11-02,72.8
2024-11-03,72.9
2024-11-04,73.0
2024-11-05,73.0
2024-11-06,72.9
2024-11-07,73.0
2024-11-08,73.6
2024-11-09,73.7
2024-11-10,74.0
2024-11-11,74.2
2024-11-12,74.5
2024-11-13,74.4
2024-11-14,74.7
2024-11-15,75.4
2024-11-16,75.7
2024-11-17,76.0
2024-11-18,76.3
2024-11-19,76.6
2024-11-20,76.6
2024-11-21,76.9
2024-11-22,77.6
2024-11-23,77.8
2024-11-24,78.1
2024-11-25,78.4
2024-11-26,78.7
2024-11-27,78.7
2024-11-28,79.0
2024-11-29,79.6
2024-11-30,79.8
2024-12-01,80.1
2024-12-02,80.3
2024-12-03,80.5
2024-12-04,80.4
2024-12-05,80.6
2024-12-06,81.1
2024-12-07,81.2
2024-12-08,81.3
2024-12-09,81.5
2024-12-10,81.5
2024-12-11,81.3
2024-12-12,81.3
2024-12-13,81.8
2024-12-14,81.7
2024-12-15,81.7
2024-12-16,81.8
2024-12-17,81.7
2024-12-18,81.4
2024-12-19,81.4
2024-12-20,81.8
2024-12-21,81.7
2024-12-22,81.7
2024-12-23,81.7
2024-12-24,81.7
2024-12-25,81.4
2024-12-26,81.5
2024-12-27,81.9
2024-12-28,81.9
2024-12-29,82.0
2024-12-30,82.1
2024-12-31,82.2
2025-01-01,82.1
2025-01-02,82.2
2025-01-03,82.8
2025-01-04,82.9
2025-01-05,83.1
2025-01-06,83.3
2025-01-07,83.5
2025-01-08,83.4
2025-01-09,83.7
2025-01-10,84.3
2025-01-11,84.4
2025-01-12,84.6
2025-01-13,84.8
2025-01-14,85.0
2025-01-15,84.8
2025-01-16,85.0
2025-01-17,85.5
2025-01-18,85.5
2025-01-19,85.6
2025-01-20,85.6
2025-01-21,85.7
