날짜,저수율
2024-10-24,82.8
2024-10-25,82.8
2024-10-26,82.8
2024-10-27,82.7
2024-10-28,82.7
2024-10-29,82.7
2024-10-30,82.7
2024-10-31,82.8
2024-11-01,82.9
2024-11-02,83.0
2024-11-03,83.1
2024-11-04,83.2
2024-11-05,83.2
2024-11-06,83.4
2024-11-07,83.5
2024-11-08,83.7
2024-11-09,83.8
2024-11-10,83.9
2024-11-11,84.1
2024-11-12,84.2
2024-11-13,84.4
2024-11-14,84.6
2024-11-15,84.8
2024-11-16,85.0
2024-11-17,85.1
2024-11-18,85.3
2024-11-19,85.4
2024-11-20,85.7
2024-11-21,85.9
2024-11-22,86.1
2024-11-23,86.3
2024-11-24,86.5
2024-11-25,86.7
2024-11-26,86.9
2024-11-27,87.1
2024-11-28,87.3
2024-11-29,87.6
2024-11-30,87.8
2024-12-01,87.9
2024-12-02,88.1
2024-12-03,88.2
2024-12-04,88.4
2024-12-05,88.6
2024-12-06,88.8
2024-12-07,88.9
2024-12-08,88.9
2024-12-09,89.0
2024-12-10,89.0
2024-12-11,89.1
2024-12-12,89.1
2024-12-13,89.2
2024-12-14,89.2
2024-12-15,89.2
2024-12-16,89.2
2024-12-17,89.2
2024-12-18,89.2
2024-12-19,89.2
2024-12-20,89.3
2024-12-21,89.2
2024-12-22,89.2
2024-12-23,89.2
2024-12-24,89.2
2024-12-25,89.3
2024-12-26,89.4
2024-12-27,89.5
2024-12-28,89.6
2024-12-29,89.6
2024-12-30,89.7
2024-12-31,89.8
2025-01-01,89.9
2025-01-02,90.1
2025-01-03,90.3
2025-01-04,90.4
2025-01-05,90.5
2025-01-06,90.6
2025-01-07,90.7
2025-01-08,90.9
2025-01-09,91.0
2025-01-10,91.2
2025-01-11,91.3
2025-01-12,91.3
2025-01-13,91.4
2025-01-14,91.4
2025-01-15,91.4
2025-01-16,91.5
2025-01-17,91.6
2025-01-18,91.5
2025-01-19,91.5
2025-01-20,91.5
2025-01-21,91.4
