날짜,저수율
2024-10-24,72.9
2024-10-25,73.0
2024-10-26,73.2
2024-10-27,73.3
2024-10-28,73.3
2024-10-29,73.5
2024-10-30,73.8
2024-10-31,74.0
2024-11-01,74.2
2024-11-02,74.5
2024-11-03,74.7
2024-11-04,74.7
2024-11-05,75.0
2024-11-06,75.3
2024-11-07,75.4
2024-11-08,75.5
2024-11-09,75.8
2024-11-10,75.9
2024-11-11,75.8
2024-11-12,75.9
2024-11-13,76.0
2024-11-14,76.0
2024-11-15,76.0
2024-11-16,76.1
2024-11-17,76.0
2024-11-18,75.8
2024-11-19,75.8
2024-11-20,75.9
2024-11-21,75.8
2024-11-22,75.8
2024-11-23,75.8
2024-11-24,75.9
2024-11-25,75.7
2024-11-26,75.7
2024-11-27,75.9
2024-11-28,75.9
2024-11-29,76.0
2024-11-30,76.2
2024-12-01,76.3
2024-12-02,76.3
2024-12-03,76.5
2024-12-04,76.7
2024-12-05,76.9
2024-12-06,77.0
2024-12-07,77.3
2024-12-08,77.5
2024-12-09,77.5
2024-12-10,77.6
2024-12-11,77.9
2024-12-12,78.0
2024-12-13,78.1
2024-12-14,78.3
2024-12-15,78.3
2024-12-16,78.2
2024-12-17,78.2
2024-12-18,78.3
2024-12-19,78.3
2024-12-20,78.2
2024-12-21,78.2
2024-12-22,78.1
2024-12-23,77.8
2024-12-24,77.7
2024-12-25,77.7
2024-12-26,77.5
2024-12-27,77.3
2024-12-28,77.3
2024-12-29,77.1
2024-12-30,76.8
2024-12-31,76.7
2025-01-01,76.6
2025-01-02,76.5
2025-01-03,76.3
2025-01-04,76.4
2025-01-05,76.3
2025-01-06,76.0
2025-01-07,76.0
2025-01-08,76.1
2025-01-09,76.0
2025-01-10,76.0
2025-01-11,76.1
2025-01-12,76.2
2025-01-13,76.0
2025-01-14,76.1
2025-01-15,76.2
2025-01-16,76.2
2025-01-17,76.3
2025-01-18,76.5
2025-01-19,76.5
2025-01-20,76.4
2025-01-21,76.5
