날짜,저수율
2024-10-24,59.6
2024-10-25,59.7
2024-10-26,59.9
2024-10-27,59.9
2024-10-28,59.9
2024-10-29,60.2
2024-10-30,60.2
2024-10-31,60.4
2024-11-01,60.6
2024-11-02,60.9
2024-11-03,60.9
2024-11-04,60.9
2024-11-05,61.3
2024-11-06,61.3
2024-11-07,61.5
2024-11-08,61.7
2024-11-09,61.9
2024-11-10,61.9
2024-11-11,61.9
2024-11-12,62.2
2024-11-13,62.2
2024-11-14,62.3
2024-11-15,62.5
2024-11-16,62.6
2024-11-17,62.6
2024-11-18,62.6
2024-11-19,62.9
2024-11-20,62.8
2024-11-21,62.9
2024-11-22,63.0
2024-11-23,63.2
2024-11-24,63.1
2024-11-25,63.0
2024-11-26,63.3
2024-11-27,63.2
2024-11-28,63.4
2024-11-29,63.5
2024-11-30,63.7
2024-12-01,63.6
2024-12-02,63.6
2024-12-03,63.9
2024-12-04,63.8
2024-12-05,63.9
2024-12-06,64.1
2024-12-07,64.2
2024-12-08,64.2
2024-12-09,64.1
2024-12-10,64.4
2024-12-11,64.3
2024-12-12,64.4
2024-12-13,64.5
2024-12-14,64.6
2024-12-15,64.5
2024-12-16,64.3
2024-12-17,64.6
2024-12-18,64.4
2024-12-19,64.4
2024-12-20,64.5
2024-12-21,64.5
2024-12-22,64.3
2024-12-23,64.1
2024-12-24,64.3
2024-12-25,64.1
2024-12-26,64.1
2024-12-27,64.1
2024-12-28,64.1
2024-12-29,63.9
2024-12-30,63.7
2024-12-31,63.9
2025-01-01,63.6
2025-01-02,63.7
2025-01-03,63.7
2025-01-04,63.7
2025-01-05,63.6
2025-01-06,63.4
2025-01-07,63.6
2025-01-08,63.4
2025-01-09,63.5
2025-01-10,63.5
2025-01-11,63.6
2025-01-12,63.5
2025-01-13,63.4
2025-01-14,63.6
2025-01-15,63.5
2025-01-16,63.5
2025-01-17,63.6
2025-01-18,63.7
2025-01-19,63.6
2025-01-20,63.4
2025-01-21,63.7
