날짜,저수율
2024-10-24,55.3
2024-10-25,54.9
2024-10-26,54.8
2024-10-27,54.6
2024-10-28,54.3
2024-10-29,54.4
2024-10-30,54.5
2024-10-31,54.4
2024-11-01,54.5
2024-11-02,54.7
2024-11-03,54.9
2024-11-04,54.9
2024-11-05,55.1
2024-11-06,55.5
2024-11-07,55.5
2024-11-08,55.6
2024-11-09,55.9
2024-11-10,56.0
2024-11-11,55.9
2024-11-12,56.0
2024-11-13,56.1
2024-11-14,56.0
2024-11-15,55.9
2024-11-16,55.8
2024-11-17,55.8
2024-11-18,55.4
2024-11-19,55.3
2024-11-20,55.2
2024-11-21,54.9
2024-11-22,54.6
2024-11-23,54.5
2024-11-24,54.3
2024-11-25,53.9
2024-11-26,53.9
2024-11-27,53.8
2024-11-28,53.6
2024-11-29,53.5
2024-11-30,53.5
2024-12-01,53.6
2024-12-02,53.4
2024-12-03,53.6
2024-12-04,53.8
2024-12-05,53.8
2024-12-06,53.9
2024-12-07,54.2
2024-12-08,54.4
2024-12-09,54.4
2024-12-10,54.7
2024-12-11,55.0
2024-12-12,55.0
2024-12-13,55.1
2024-12-14,55.4
2024-12-15,55.5
2024-12-16,55.4
2024-12-17,55.6
2024-12-18,55.7
2024-12-19,55.6
2024-12-20,55.5
2024-12-21,55.5
2024-12-22,55.5
2024-12-23,55.1
2024-12-24,55.1
2024-12-25,55.0
2024-12-26,54.7
2024-12-27,54.5
2024-12-28,54.4
2024-12-29,54.3
2024-12-30,53.9
2024-12-31,53.8
2025-01-01,53.8
2025-01-02,53.6
2025-01-03,53.4
2025-01-04,53.4
2025-01-05,53.4
2025-01-06,53.1
2025-01-07,53.2
2025-01-08,53.3
2025-01-09,53.2
2025-01-10,53.2
2025-01-11,53.3
2025-01-12,53.4
2025-01-13,53.2
2025-01-14,53.3
2025-01-15,53.5
2025-01-16,53.4
2025-01-17,53.3
2025-01-18,53.4
2025-01-19,53.3
2025-01-20,53.0
2025-01-21,53.0
