날짜,저수율
2024-10-24,68.2
2024-10-25,68.3
2024-10-26,68.4
2024-10-27,68.6
2024-10-28,68.7
2024-10-29,68.9
2024-10-30,69.0
2024-10-31,69.0
2024-11-01,69.1
2024-11-02,69.2
2024-11-03,69.3
2024-11-04,69.4
2024-11-05,69.5
2024-11-06,69.5
2024-11-07,69.5
2024-11-08,69.4
2024-11-09,69.4
2024-11-10,69.4
2024-11-11,69.4
2024-11-12,69.4
2024-11-13,69.3
2024-11-14,69.2
2024-11-15,69.1
2024-11-16,69.1
2024-11-17,69.0
2024-11-18,69.0
2024-11-19,69.1
2024-11-20,69.0
2024-11-21,69.0
2024-11-22,69.0
2024-11-23,69.1
2024-11-24,69.2
2024-11-25,69.3
2024-11-26,69.5
2024-11-27,69.6
2024-11-28,69.7
2024-11-29,69.9
2024-11-30,70.1
2024-12-01,70.4
2024-12-02,70.6
2024-12-03,71.0
2024-12-04,71.2
2024-12-05,71.4
2024-12-06,71.7
2024-12-07,72.0
2024-12-08,72.3
2024-12-09,72.5
2024-12-10,72.9
2024-12-11,73.0
2024-12-12,73.2
2024-12-13,73.4
2024-12-14,73.6
2024-12-15,73.8
2024-12-16,74.0
2024-12-17,74.2
2024-12-18,74.3
2024-12-19,74.3
2024-12-20,74.4
2024-12-21,74.5
2024-12-22,74.6
2024-12-23,74.6
2024-12-24,74.7
2024-12-25,74.7
2024-12-26,74.7
2024-12-27,74.7
2024-12-28,74.7
2024-12-29,74.8
2024-12-30,74.8
2024-12-31,74.9
2025-01-01,74.9
2025-01-02,74.9
2025-01-03,74.9
2025-01-04,75.0
2025-01-05,75.1
2025-01-06,75.2
2025-01-07,75.3
2025-01-08,75.4
2025-01-09,75.4
2025-01-10,75.5
2025-01-11,75.6
2025-01-12,75.7
2025-01-13,75.9
2025-01-14,76.0
2025-01-15,76.1
2025-01-16,76.1
2025-01-17,76.2
2025-01-18,76.3
2025-01-19,76.4
2025-01-20,76.5
2025-01-21,76.6
