날짜,저수율
2024-10-24,89.8
2024-10-25,89.7
2024-10-26,89.6
2024-10-27,89.5
2024-10-28,89.6
2024-10-29,89.6
2024-10-30,89.6
2024-10-31,89.9
2024-11-01,90.0
2024-11-02,90.0
2024-11-03,90.1
2024-11-04,90.4
2024-11-05,90.5
2024-11-06,90.6
2024-11-07,90.9
2024-11-08,91.0
2024-11-09,91.1
2024-11-10,91.2
2024-11-11,91.4
2024-11-12,91.4
2024-11-13,91.4
2024-11-14,91.6
2024-11-15,91.6
2024-11-16,91.6
2024-11-17,91.5
2024-11-18,91.6
2024-11-19,91.5
2024-11-20,91.5
2024-11-21,91.6
2024-11-22,91.5
2024-11-23,91.4
2024-11-24,91.4
2024-11-25,91.5
2024-11-26,91.4
2024-11-27,91.4
2024-11-28,91.6
2024-11-29,91.6
2024-11-30,91.6
2024-12-01,91.6
2024-12-02,91.9
2024-12-03,91.9
2024-12-04,92.0
2024-12-05,92.3
2024-12-06,92.4
2024-12-07,92.4
2024-12-08,92.5
2024-12-09,92.8
2024-12-10,92.8
2024-12-11,92.9
2024-12-12,93.2
2024-12-13,93.3
2024-12-14,93.3
2024-12-15,93.3
2024-12-16,93.5
2024-12-17,93.5
2024-12-18,93.5
2024-12-19,93.7
2024-12-20,93.7
2024-12-21,93.7
2024-12-22,93.6
2024-12-23,93.8
2024-12-24,93.8
2024-12-25,93.8
2024-12-26,93.9
2024-12-27,93.9
2024-12-28,93.9
2024-12-29,93.9
2024-12-30,94.0
2024-12-31,94.0
2025-01-01,94.0
2025-01-02,94.2
2025-01-03,94.3
2025-01-04,94.2
2025-01-05,94.2
2025-01-06,94.4
2025-01-07,94.4
2025-01-08,94.4
2025-01-09,94.5
2025-01-10,94.6
2025-01-11,94.5
2025-01-12,94.4
2025-01-13,94.5
2025-01-14,94.4
2025-01-15,94.3
2025-01-16,94.3
2025-01-17,94.2
2025-01-18,94.0
2025-01-19,93.8
2025-01-20,93.8
2025-01-21,93.6
