날짜,저수율
2024-10-24,92.0
2024-10-25,92.1
2024-10-26,92.0
2024-10-27,92.1
2024-10-28,92.0
2024-10-29,91.9
2024-10-30,91.8
2024-10-31,91.8
2024-11-01,91.8
2024-11-02,91.7
2024-11-03,91.7
2024-11-04,91.5
2024-11-05,91.4
2024-11-06,91.2
2024-11-07,91.1
2024-11-08,91.1
2024-11-09,90.9
2024-11-10,90.9
2024-11-11,90.7
2024-11-12,90.6
2024-11-13,90.4
2024-11-14,90.4
2024-11-15,90.3
2024-11-16,90.3
2024-11-17,90.3
2024-11-18,90.2
2024-11-19,90.1
2024-11-20,90.0
2024-11-21,90.0
2024-11-22,90.1
2024-11-23,90.1
2024-11-24,90.2
2024-11-25,90.1
2024-11-26,90.1
2024-11-27,90.1
2024-11-28,90.2
2024-11-29,90.2
2024-11-30,90.3
2024-12-01,90.4
2024-12-02,90.3
2024-12-03,90.3
2024-12-04,90.3
2024-12-05,90.4
2024-12-06,90.4
2024-12-07,90.4
2024-12-08,90.5
2024-12-09,90.4
2024-12-10,90.3
2024-12-11,90.2
2024-12-12,90.2
2024-12-13,90.2
2024-12-14,90.1
2024-12-15,90.1
2024-12-16,89.9
2024-12-17,89.8
2024-12-18,89.7
2024-12-19,89.6
2024-12-20,89.6
2024-12-21,89.5
2024-12-22,89.5
2024-12-23,89.4
2024-12-24,89.3
2024-12-25,89.2
2024-12-26,89.2
2024-12-27,89.2
2024-12-28,89.2
2024-12-29,89.3
2024-12-30,89.2
2024-12-31,89.2
2025-01-01,89.1
2025-01-02,89.1
2025-01-03,89.2
2025-01-04,89.2
2025-01-05,89.3
2025-01-06,89.2
2025-01-07,89.2
2025-01-08,89.2
2025-01-09,89.2
2025-01-10,89.3
2025-01-11,89.2
2025-01-12,89.3
2025-01-13,89.2
2025-01-14,89.1
2025-01-15,89.0
2025-01-16,89.0
2025-01-17,89.0
2025-01-18,88.9
2025-01-19,88.9
2025-01-20,88.7
2025-01-21,88.6
