날짜,저수율
2024-10-24,51.8
2024-10-25,51.8
2024-10-26,51.9
2024-10-27,52.0
2024-10-28,52.0
2024-10-29,52.4
2024-10-30,52.5
2024-10-31,52.4
2024-11-01,52.4
2024-11-02,52.4
2024-11-03,52.5
2024-11-04,52.4
2024-11-05,52.7
2024-11-06,52.8
2024-11-07,52.6
2024-11-08,52.5
2024-11-09,52.5
2024-11-10,52.5
2024-11-11,52.4
2024-11-12,52.6
2024-11-13,52.6
2024-11-14,52.4
2024-11-15,52.3
2024-11-16,52.2
2024-11-17,52.2
2024-11-18,52.2
2024-11-19,52.5
2024-11-20,52.5
2024-11-21,52.4
2024-11-22,52.4
2024-11-23,52.4
2024-11-24,52.6
2024-11-25,52.6
2024-11-26,53.0
2024-11-27,53.2
2024-11-28,53.2
2024-11-29,53.3
2024-11-30,53.5
2024-12-01,53.7
2024-12-02,53.8
2024-12-03,54.2
2024-12-04,54.4
2024-12-05,54.5
2024-12-06,54.5
2024-12-07,54.6
2024-12-08,54.8
2024-12-09,54.8
2024-12-10,55.2
2024-12-11,55.2
2024-12-12,55.1
2024-12-13,55.1
2024-12-14,55.0
2024-12-15,55.0
2024-12-16,54.9
2024-12-17,55.1
2024-12-18,55.1
2024-12-19,54.9
2024-12-20,54.7
2024-12-21,54.6
2024-12-22,54.6
2024-12-23,54.4
2024-12-24,54.6
2024-12-25,54.6
2024-12-26,54.4
2024-12-27,54.2
2024-12-28,54.2
2024-12-29,54.2
2024-12-30,54.2
2024-12-31,54.5
2025-01-01,54.5
2025-01-02,54.5
2025-01-03,54.5
2025-01-04,54.5
2025-01-05,54.7
2025-01-06,54.7
2025-01-07,55.1
2025-01-08,55.3
2025-01-09,55.2
2025-01-10,55.3
2025-01-11,55.4
2025-01-12,55.5
2025-01-13,55.6
2025-01-14,55.9
2025-01-15,56.1
2025-01-16,56.0
2025-01-17,56.0
2025-01-18,56.0
2025-01-19,56.1
2025-01-20,56.0
2025-01-21,56.3
