날짜,저수율
2024-10-24,59.2
2024-10-25,59.3
2024-10-26,59.5
2024-10-27,59.8
2024-10-28,59.9
2024-10-29,60.2
2024-10-30,60.7
2024-10-31,61.0
2024-11-01,61.2
2024-11-02,61.5
2024-11-03,61.9
2024-11-04,61.9
2024-11-05,62.2
2024-11-06,62.8
2024-11-07,63.1
2024-11-08,63.2
2024-11-09,63.5
2024-11-10,63.8
2024-11-11,63.9
2024-11-12,64.2
2024-11-13,64.7
2024-11-14,65.0
2024-11-15,65.2
2024-11-16,65.5
2024-11-17,65.9
2024-11-18,66.0
2024-11-19,66.4
2024-11-20,67.0
2024-11-21,67.4
2024-11-22,67.7
2024-11-23,68.1
2024-11-24,68.6
2024-11-25,68.9
2024-11-26,69.3
2024-11-27,70.1
2024-11-28,70.6
2024-11-29,71.0
2024-11-30,71.5
2024-12-01,72.0
2024-12-02,72.3
2024-12-03,72.7
2024-12-04,73.5
2024-12-05,73.9
2024-12-06,74.2
2024-12-07,74.7
2024-12-08,75.0
2024-12-09,75.2
2024-12-10,75.5
2024-12-11,76.0
2024-12-12,76.3
2024-12-13,76.5
2024-12-14,76.7
2024-12-15,76.9
2024-12-16,76.9
2024-12-17,77.0
2024-12-18,77.4
2024-12-19,77.6
2024-12-20,77.6
2024-12-21,77.7
2024-12-22,77.9
2024-12-23,77.8
2024-12-24,77.9
2024-12-25,78.3
2024-12-26,78.5
2024-12-27,78.6
2024-12-28,78.8
2024-12-29,79.0
2024-12-30,79.1
2024-12-31,79.3
2025-01-01,79.8
2025-01-02,80.1
2025-01-03,80.3
2025-01-04,80.6
2025-01-05,80.9
2025-01-06,81.0
2025-01-07,81.2
2025-01-08,81.8
2025-01-09,82.0
2025-01-10,82.2
2025-01-11,82.4
2025-01-12,82.7
2025-01-13,82.7
2025-01-14,82.8
2025-01-15,83.2
2025-01-16,83.3
2025-01-17,83.3
2025-01-18,83.4
2025-01-19,83.4
2025-01-20,83.2
2025-01-21,83.2
