날짜,저수율
2024-10-24,47.6
2024-10-25,47.9
2024-10-26,48.4
2024-10-27,48.7
2024-10-28,49.0
2024-10-29,49.2
2024-10-30,49.5
2024-10-31,49.5
2024-11-01,49.7
2024-11-02,50.1
2024-11-03,50.3
2024-11-04,50.4
2024-11-05,50.4
2024-11-06,50.4
2024-11-07,50.2
2024-11-08,50.1
2024-11-09,50.3
2024-11-10,50.2
2024-11-11,50.1
2024-11-12,50.0
2024-11-13,49.8
2024-11-14,49.5
2024-11-15,49.3
2024-11-16,49.4
2024-11-17,49.4
2024-11-18,49.3
2024-11-19,49.2
2024-11-20,49.2
2024-11-21,49.0
2024-11-22,49.1
2024-11-23,49.4
2024-11-24,49.6
2024-11-25,49.7
2024-11-26,49.9
2024-11-27,50.0
2024-11-28,50.1
2024-11-29,50.3
2024-11-30,50.8
2024-12-01,51.1
2024-12-02,51.4
2024-12-03,51.6
2024-12-04,51.8
2024-12-05,51.8
2024-12-06,52.0
2024-12-07,52.3
2024-12-08,52.5
2024-12-09,52.6
2024-12-10,52.6
2024-12-11,52.5
2024-12-12,52.3
2024-12-13,52.2
2024-12-14,52.3
2024-12-15,52.2
2024-12-16,51.9
2024-12-17,51.7
2024-12-18,51.4
2024-12-19,50.9
2024-12-20,50.6
2024-12-21,50.5
2024-12-22,50.3
2024-12-23,50.0
2024-12-24,49.6
2024-12-25,49.4
2024-12-26,48.9
2024-12-27,48.7
2024-12-28,48.8
2024-12-29,48.7
2024-12-30,48.6
2024-12-31,48.5
2025-01-01,48.5
2025-01-02,48.3
2025-01-03,48.4
2025-01-04,48.7
2025-01-05,49.0
2025-01-06,49.1
2025-01-07,49.3
2025-01-08,49.5
2025-01-09,49.6
2025-01-10,49.8
2025-01-11,50.3
2025-01-12,50.7
2025-01-13,50.9
2025-01-14,51.1
2025-01-15,51.4
2025-01-16,51.4
2025-01-17,51.6
2025-01-18,52.0
2025-01-19,52.2
2025-01-20,52.4
2025-01-21,52.4
