날짜,저수율
2024-10-24,59.9
2024-10-25,60.0
2024-10-26,60.1
2024-10-27,60.3
2024-10-28,60.6
2024-10-29,60.7
2024-10-30,60.8
2024-10-31,60.8
2024-11-01,60.8
2024-11-02,60.9
2024-11-03,61.0
2024-11-04,61.2
2024-11-05,61.3
2024-11-06,61.3
2024-11-07,61.3
2024-11-08,61.2
2024-11-09,61.2
2024-11-10,61.3
2024-11-11,61.5
2024-11-12,61.5
2024-11-13,61.5
2024-11-14,61.4
2024-11-15,61.3
2024-11-16,61.3
2024-11-17,61.3
2024-11-18,61.5
2024-11-19,61.5
2024-11-20,61.4
2024-11-21,61.3
2024-11-22,61.1
2024-11-23,61.1
2024-11-24,61.1
2024-11-25,61.2
2024-11-26,61.2
2024-11-27,61.1
2024-11-28,61.0
2024-11-29,60.9
2024-11-30,60.9
2024-12-01,60.9
2024-12-02,61.1
2024-12-03,61.1
2024-12-04,61.1
2024-12-05,61.0
2024-12-06,60.9
2024-12-07,61.0
2024-12-08,61.1
2024-12-09,61.3
2024-12-10,61.4
2024-12-11,61.4
2024-12-12,61.4
2024-12-13,61.4
2024-12-14,61.5
2024-12-15,61.7
2024-12-16,61.9
2024-12-17,62.1
2024-12-18,62.1
2024-12-19,62.2
2024-12-20,62.2
2024-12-21,62.3
2024-12-22,62.5
2024-12-23,62.7
2024-12-24,62.8
2024-12-25,62.9
2024-12-26,62.9
2024-12-27,62.9
2024-12-28,62.9
2024-12-29,63.1
2024-12-30,63.3
2024-12-31,63.4
2025-01-01,63.3
2025-01-02,63.3
2025-01-03,63.3
2025-01-04,63.3
2025-01-05,63.4
2025-01-06,63.6
2025-01-07,63.6
2025-01-08,63.6
2025-01-09,63.6
2025-01-10,63.5
2025-01-11,63.5
2025-01-12,63.6
2025-01-13,63.8
2025-01-14,63.8
2025-01-15,63.8
2025-01-16,63.7
2025-01-17,63.6
2025-01-18,63.7
2025-01-19,63.7
2025-01-20,63.9
2025-01-21,64.0
