날짜,저수율
2024-10-24,64.8
2024-10-25,64.7
2024-10-26,64.7
2024-10-27,64.8
2024-10-28,65.3
2024-10-29,65.5
2024-10-30,65.5
2024-10-31,65.5
2024-11-01,65.4
2024-11-02,65.4
2024-11-03,65.5
2024-11-04,66.1
2024-11-05,66.2
2024-11-06,66.3
2024-11-07,66.3
2024-11-08,66.2
2024-11-09,66.3
2024-11-10,66.4
2024-11-11,67.1
2024-11-12,67.3
2024-11-13,67.4
2024-11-14,67.5
2024-11-15,67.4
2024-11-16,67.5
2024-11-17,67.7
2024-11-18,68.3
2024-11-19,68.5
2024-11-20,68.6
2024-11-21,68.7
2024-11-22,68.6
2024-11-23,68.6
2024-11-24,68.7
2024-11-25,69.3
2024-11-26,69.5
2024-11-27,69.5
2024-11-28,69.5
2024-11-29,69.3
2024-11-30,69.3
2024-12-01,69.3
2024-12-02,69.9
2024-12-03,69.9
2024-12-04,69.9
2024-12-05,69.8
2024-12-06,69.6
2024-12-07,69.5
2024-12-08,69.6
2024-12-09,70.0
2024-12-10,70.1
2024-12-11,70.0
2024-12-12,70.0
2024-12-13,69.7
2024-12-14,69.6
2024-12-15,69.6
2024-12-16,70.1
2024-12-17,70.1
2024-12-18,70.1
2024-12-19,70.0
2024-12-20,69.7
2024-12-21,69.6
2024-12-22,69.6
2024-12-23,70.0
2024-12-24,70.0
2024-12-25,70.0
2024-12-26,69.8
2024-12-27,69.5
2024-12-28,69.4
2024-12-29,69.3
2024-12-30,69.7
2024-12-31,69.7
2025-01-01,69.6
2025-01-02,69.5
2025-01-03,69.2
2025-01-04,69.0
2025-01-05,69.0
2025-01-06,69.4
2025-01-07,69.4
2025-01-08,69.3
2025-01-09,69.2
2025-01-10,68.9
2025-01-11,68.8
2025-01-12,68.9
2025-01-13,69.4
2025-01-14,69.4
2025-01-15,69.4
2025-01-16,69.4
2025-01-17,69.2
2025-01-18,69.2
2025-01-19,69.2
2025-01-20,69.8
2025-01-21,69.9
