날짜,저수율
2024-10-24,83.2
2024-10-25,83.4
2024-10-26,83.8
2024-10-27,83.9
2024-10-28,84.1
2024-10-29,84.3
2024-10-30,84.0
2024-10-31,84.0
2024-11-01,84.1
2024-11-02,84.3
2024-11-03,84.3
2024-11-04,84.4
2024-11-05,84.5
2024-11-06,84.0
2024-11-07,83.9
2024-11-08,83.9
2024-11-09,84.0
2024-11-10,83.9
2024-11-11,83.9
2024-11-12,83.9
2024-11-13,83.4
2024-11-14,83.2
2024-11-15,83.2
2024-11-16,83.3
2024-11-17,83.2
2024-11-18,83.3
2024-11-19,83.3
2024-11-20,82.9
2024-11-21,82.8
2024-11-22,82.9
2024-11-23,83.1
2024-11-24,83.2
2024-11-25,83.4
2024-11-26,83.5
2024-11-27,83.2
2024-11-28,83.3
2024-11-29,83.5
2024-11-30,83.9
2024-12-01,84.1
2024-12-02,84.4
2024-12-03,84.7
2024-12-04,84.5
2024-12-05,84.7
2024-12-06,85.0
2024-12-07,85.4
2024-12-08,85.7
2024-12-09,86.1
2024-12-10,86.4
2024-12-11,86.3
2024-12-12,86.5
2024-12-13,86.9
2024-12-14,87.3
2024-12-15,87.6
2024-12-16,88.0
2024-12-17,88.3
2024-12-18,88.2
2024-12-19,88.4
2024-12-20,88.7
2024-12-21,89.2
2024-12-22,89.4
2024-12-23,89.8
2024-12-24,90.0
2024-12-25,89.8
2024-12-26,90.0
2024-12-27,90.2
2024-12-28,90.6
2024-12-29,90.7
2024-12-30,91.0
2024-12-31,91.2
2025-01-01,90.9
2025-01-02,90.9
2025-01-03,91.0
2025-01-04,91.3
2025-01-05,91.3
2025-01-06,91.5
2025-01-07,91.6
2025-01-08,91.2
2025-01-09,91.1
2025-01-10,91.2
2025-01-11,91.3
2025-01-12,91.3
2025-01-13,91.4
2025-01-14,91.4
2025-01-15,91.0
2025-01-16,90.9
2025-01-17,90.9
2025-01-18,91.0
2025-01-19,91.0
2025-01-20,91.1
2025-01-21,91.1
