날짜,저수율
2024-10-24,75.7
2024-10-25,75.7
2024-10-26,75.8
2024-10-27,75.8
2024-10-28,75.9
2024-10-29,76.0
2024-10-30,76.1
2024-10-31,76.2
2024-11-01,76.3
2024-11-02,76.4
2024-11-03,76.5
2024-11-04,76.6
2024-11-05,76.7
2024-11-06,76.8
2024-11-07,76.9
2024-11-08,76.9
2024-11-09,77.0
2024-11-10,77.1
2024-11-11,77.1
2024-11-12,77.1
2024-11-13,77.2
2024-11-14,77.2
2024-11-15,77.2
2024-11-16,77.3
2024-11-17,77.4
2024-11-18,77.4
2024-11-19,77.4
2024-11-20,77.6
2024-11-21,77.7
2024-11-22,77.7
2024-11-23,77.9
2024-11-24,78.0
2024-11-25,78.1
2024-11-26,78.3
2024-11-27,78.5
2024-11-28,78.7
2024-11-29,78.9
2024-11-30,79.1
2024-12-01,79.3
2024-12-02,79.4
2024-12-03,79.6
2024-12-04,79.8
2024-12-05,80.0
2024-12-06,80.2
2024-12-07,80.3
2024-12-08,80.4
2024-12-09,80.5
2024-12-10,80.6
2024-12-11,80.7
2024-12-12,80.7
2024-12-13,80.7
2024-12-14,80.7
2024-12-15,80.7
2024-12-16,80.6
2024-12-17,80.6
2024-12-18,80.5
2024-12-19,80.5
2024-12-20,80.4
2024-12-21,80.3
2024-12-22,80.2
2024-12-23,80.1
2024-12-24,80.1
2024-12-25,80.0
2024-12-26,80.0
2024-12-27,80.0
2024-12-28,80.0
2024-12-29,80.0
2024-12-30,80.0
2024-12-31,80.1
2025-01-01,80.2
2025-01-02,80.3
2025-01-03,80.4
2025-01-04,80.5
2025-01-05,80.7
2025-01-06,80.8
2025-01-07,81.0
2025-01-08,81.1
2025-01-09,81.3
2025-01-10,81.5
2025-01-11,81.6
2025-01-12,81.8
2025-01-13,81.9
2025-01-14,82.0
2025-01-15,82.1
2025-01-16,82.2
2025-01-17,82.2
2025-01-18,82.3
2025-01-19,82.3
2025-01-20,82.3
2025-01-21,82.3
