날짜,저수율
2024-10-24,66.6
2024-10-25,66.7
2024-10-26,66.8
2024-10-27,66.9
2024-10-28,67.1
2024-10-29,67.2
2024-10-30,67.4
2024-10-31,67.4
2024-11-01,67.6
2024-11-02,67.7
2024-11-03,67.8
2024-11-04,67.9
2024-11-05,68.0
2024-11-06,68.1
2024-11-07,68.1
2024-11-08,68.2
2024-11-09,68.2
2024-11-10,68.3
2024-11-11,68.4
2024-11-12,68.4
2024-11-13,68.5
2024-11-14,68.5
2024-11-15,68.5
2024-11-16,68.6
2024-11-17,68.7
2024-11-18,68.8
2024-11-19,69.0
2024-11-20,69.1
2024-11-21,69.2
2024-11-22,69.3
2024-11-23,69.5
2024-11-24,69.7
2024-11-25,69.9
2024-11-26,70.1
2024-11-27,70.3
2024-11-28,70.5
2024-11-29,70.7
2024-11-30,70.9
2024-12-01,71.1
2024-12-02,71.3
2024-12-03,71.5
2024-12-04,71.7
2024-12-05,71.7
2024-12-06,71.8
2024-12-07,72.0
2024-12-08,72.1
2024-12-09,72.2
2024-12-10,72.2
2024-12-11,72.3
2024-12-12,72.2
2024-12-13,72.2
2024-12-14,72.3
2024-12-15,72.3
2024-12-16,72.3
2024-12-17,72.3
2024-12-18,72.4
2024-12-19,72.3
2024-12-20,72.4
2024-12-21,72.4
2024-12-22,72.5
2024-12-23,72.7
2024-12-24,72.8
2024-12-25,73.0
2024-12-26,73.1
2024-12-27,73.3
2024-12-28,73.6
2024-12-29,73.9
2024-12-30,74.2
2024-12-31,74.6
2025-01-01,74.9
2025-01-02,75.2
2025-01-03,75.5
2025-01-04,75.9
2025-01-05,76.3
2025-01-06,76.7
2025-01-07,77.0
2025-01-08,77.4
2025-01-09,77.6
2025-01-10,77.9
2025-01-11,78.2
2025-01-12,78.4
2025-01-13,78.6
2025-01-14,78.8
2025-01-15,78.9
2025-01-16,78.9
2025-01-17,79.0
2025-01-18,79.0
2025-01-19,78.9
2025-01-20,78.9
2025-01-21,78.9
