날짜,저수율
2024-10-24,59.8
2024-10-25,59.7
2024-10-26,59.5
2024-10-27,59.5
2024-10-28,59.4
2024-10-29,59.3
2024-10-30,59.2
2024-10-31,59.1
2024-11-01,59.0
2024-11-02,58.9
2024-11-03,58.9
2024-11-04,58.9
2024-11-05,58.8
2024-11-06,58.8
2024-11-07,58.8
2024-11-08,58.7
2024-11-09,58.7
2024-11-10,58.8
2024-11-11,58.8
2024-11-12,58.8
2024-11-13,58.8
2024-11-14,58.8
2024-11-15,58.8
2024-11-16,58.8
2024-11-17,58.9
2024-11-18,58.9
2024-11-19,58.8
2024-11-20,58.8
2024-11-21,58.8
2024-11-22,58.7
2024-11-23,58.6
2024-11-24,58.6
2024-11-25,58.6
2024-11-26,58.4
2024-11-27,58.3
2024-11-28,58.2
2024-11-29,58.1
2024-11-30,58.0
2024-12-01,57.9
2024-12-02,57.8
2024-12-03,57.7
2024-12-04,57.6
2024-12-05,57.4
2024-12-06,57.3
2024-12-07,57.2
2024-12-08,57.2
2024-12-09,57.1
2024-12-10,57.0
2024-12-11,57.0
2024-12-12,57.0
2024-12-13,56.9
2024-12-14,56.9
2024-12-15,56.9
2024-12-16,56.9
2024-12-17,56.9
2024-12-18,56.9
2024-12-19,56.9
2024-12-20,56.9
2024-12-21,56.9
2024-12-22,57.0
2024-12-23,57.0
2024-12-24,56.9
2024-12-25,57.0
2024-12-26,56.9
2024-12-27,56.9
2024-12-28,56.8
2024-12-29,56.9
2024-12-30,56.9
2024-12-31,56.8
2025-01-01,56.7
2025-01-02,56.6
2025-01-03,56.5
2025-01-04,56.5
2025-01-05,56.5
2025-01-06,56.4
2025-01-07,56.3
2025-01-08,56.3
2025-01-09,56.2
2025-01-10,56.1
2025-01-11,56.0
2025-01-12,56.1
2025-01-13,56.0
2025-01-14,56.0
2025-01-15,56.0
2025-01-16,55.9
2025-01-17,55.9
2025-01-18,55.9
2025-01-19,55.9
2025-01-20,56.0
2025-01-21,55.9
