날짜,저수율
2024-10-24,73.4
2024-10-25,73.6
2024-10-26,73.9
2024-10-27,74.3
2024-10-28,74.8
2024-10-29,75.2
2024-10-30,75.5
2024-10-31,75.8
2024-11-01,76.0
2024-11-02,76.3
2024-11-03,76.6
2024-11-04,77.0
2024-11-05,77.3
2024-11-06,77.5
2024-11-07,77.6
2024-11-08,77.6
2024-11-09,77.7
2024-11-10,77.8
2024-11-11,78.0
2024-11-12,78.1
2024-11-13,78.0
2024-11-14,78.0
2024-11-15,77.8
2024-11-16,77.7
2024-11-17,77.7
2024-11-18,77.8
2024-11-19,77.8
2024-11-20,77.7
2024-11-21,77.5
2024-11-22,77.3
2024-11-23,77.3
2024-11-24,77.3
2024-11-25,77.4
2024-11-26,77.4
2024-11-27,77.4
2024-11-28,77.3
2024-11-29,77.2
2024-11-30,77.3
2024-12-01,77.4
2024-12-02,77.5
2024-12-03,77.7
2024-12-04,77.7
2024-12-05,77.7
2024-12-06,77.7
2024-12-07,77.8
2024-12-08,77.9
2024-12-09,78.1
2024-12-10,78.2
2024-12-11,78.3
2024-12-12,78.2
2024-12-13,78.2
2024-12-14,78.2
2024-12-15,78.3
2024-12-16,78.4
2024-12-17,78.5
2024-12-18,78.4
2024-12-19,78.3
2024-12-20,78.2
2024-12-21,78.2
2024-12-22,78.2
2024-12-23,78.3
2024-12-24,78.3
2024-12-25,78.3
2024-12-26,78.2
2024-12-27,78.1
2024-12-28,78.2
2024-12-29,78.2
2024-12-30,78.4
2024-12-31,78.6
2025-01-01,78.7
2025-01-02,78.7
2025-01-03,78.8
2025-01-04,78.9
2025-01-05,79.2
2025-01-06,79.5
2025-01-07,79.8
2025-01-08,79.9
2025-01-09,80.1
2025-01-10,80.2
2025-01-11,80.5
2025-01-12,80.8
2025-01-13,81.1
2025-01-14,81.4
2025-01-15,81.6
2025-01-16,81.8
2025-01-17,81.8
2025-01-18,82.0
2025-01-19,82.2
2025-01-20,82.5
2025-01-21,82.7
