날짜,저수율
2024-10-24,70.8
2024-10-25,70.5
2024-10-26,70.3
2024-10-27,70.3
2024-10-28,70.3
2024-10-29,70.1
2024-10-30,70.0
2024-10-31,70.0
2024-11-01,69.9
2024-11-02,70.0
2024-11-03,70.1
2024-11-04,70.3
2024-11-05,70.2
2024-11-06,70.4
2024-11-07,70.5
2024-11-08,70.6
2024-11-09,70.7
2024-11-10,71.0
2024-11-11,71.3
2024-11-12,71.3
2024-11-13,71.5
2024-11-14,71.6
2024-11-15,71.7
2024-11-16,71.8
2024-11-17,72.0
2024-11-18,72.2
2024-11-19,72.1
2024-11-20,72.2
2024-11-21,72.3
2024-11-22,72.3
2024-11-23,72.3
2024-11-24,72.4
2024-11-25,72.5
2024-11-26,72.4
2024-11-27,72.4
2024-11-28,72.4
2024-11-29,72.4
2024-11-30,72.4
2024-12-01,72.5
2024-12-02,72.6
2024-12-03,72.5
2024-12-04,72.6
2024-12-05,72.6
2024-12-06,72.6
2024-12-07,72.6
2024-12-08,72.7
2024-12-09,72.9
2024-12-10,72.8
2024-12-11,72.9
2024-12-12,73.0
2024-12-13,73.0
2024-12-14,73.1
2024-12-15,73.2
2024-12-16,73.4
2024-12-17,73.3
2024-12-18,73.4
2024-12-19,73.4
2024-12-20,73.3
2024-12-21,73.3
2024-12-22,73.4
2024-12-23,73.5
2024-12-24,73.4
2024-12-25,73.4
2024-12-26,73.3
2024-12-27,73.2
2024-12-28,73.2
2024-12-29,73.2
2024-12-30,73.3
2024-12-31,73.1
2025-01-01,73.1
2025-01-02,73.0
2025-01-03,72.9
2025-01-04,72.9
2025-01-05,72.9
2025-01-06,73.1
2025-01-07,72.9
2025-01-08,73.0
2025-01-09,73.0
2025-01-10,73.0
2025-01-11,73.0
2025-01-12,73.1
2025-01-13,73.3
2025-01-14,73.2
2025-01-15,73.3
2025-01-16,73.4
2025-01-17,73.4
2025-01-18,73.5
2025-01-19,73.6
2025-01-20,73.8
2025-01-21,73.7
