날짜,저수율
2024-10-24,63.1
2024-10-25,63.0
2024-10-26,63.0
2024-10-27,63.1
2024-10-28,63.1
2024-10-29,63.1
2024-10-30,63.1
2024-10-31,63.0
2024-11-01,62.9
2024-11-02,63.0
2024-11-03,63.0
2024-11-04,63.0
2024-11-05,63.0
2024-11-06,63.0
2024-11-07,63.0
2024-11-08,63.0
2024-11-09,63.0
2024-11-10,63.0
2024-11-11,63.1
2024-11-12,63.1
2024-11-13,63.1
2024-11-14,63.0
2024-11-15,62.9
2024-11-16,62.9
2024-11-17,62.9
2024-11-18,62.8
2024-11-19,62.8
2024-11-20,62.7
2024-11-21,62.5
2024-11-22,62.3
2024-11-23,62.2
2024-11-24,62.0
2024-11-25,61.9
2024-11-26,61.7
2024-11-27,61.5
2024-11-28,61.2
2024-11-29,60.9
2024-11-30,60.7
2024-12-01,60.5
2024-12-02,60.3
2024-12-03,60.0
2024-12-04,59.8
2024-12-05,59.5
2024-12-06,59.2
2024-12-07,59.1
2024-12-08,58.9
2024-12-09,58.7
2024-12-10,58.5
2024-12-11,58.4
2024-12-12,58.2
2024-12-13,58.0
2024-12-14,58.0
2024-12-15,57.9
2024-12-16,57.9
2024-12-17,57.8
2024-12-18,57.7
2024-12-19,57.7
2024-12-20,57.6
2024-12-21,57.6
2024-12-22,57.6
2024-12-23,57.6
2024-12-24,57.6
2024-12-25,57.6
2024-12-26,57.5
2024-12-27,57.4
2024-12-28,57.5
2024-12-29,57.5
2024-12-30,57.4
2024-12-31,57.4
2025-01-01,57.3
2025-01-02,57.2
2025-01-03,57.1
2025-01-04,57.0
2025-01-05,57.0
2025-01-06,56.9
2025-01-07,56.8
2025-01-08,56.7
2025-01-09,56.6
2025-01-10,56.4
2025-01-11,56.3
2025-01-12,56.2
2025-01-13,56.2
2025-01-14,56.1
2025-01-15,56.0
2025-01-16,55.9
2025-01-17,55.7
2025-01-18,55.7
2025-01-19,55.7
2025-01-20,55.7
2025-01-21,55.7
