날짜,저수율
2024-10-24,82.4
2024-10-25,82.6
2024-10-26,82.8
2024-10-27,83.1
2024-10-28,83.5
2024-10-29,83.9
2024-10-30,84.2
2024-10-31,84.4
2024-11-01,84.6
2024-11-02,85.0
2024-11-03,85.3
2024-11-04,85.7
2024-11-05,86.2
2024-11-06,86.5
2024-11-07,86.7
2024-11-08,86.9
2024-11-09,87.3
2024-11-10,87.6
2024-11-11,88.0
2024-11-12,88.4
2024-11-13,88.7
2024-11-14,88.9
2024-11-15,89.1
2024-11-16,89.4
2024-11-17,89.6
2024-11-18,90.0
2024-11-19,90.4
2024-11-20,90.6
2024-11-21,90.7
2024-11-22,90.8
2024-11-23,91.0
2024-11-24,91.2
2024-11-25,91.4
2024-11-26,91.7
2024-11-27,91.8
2024-11-28,91.8
2024-11-29,91.8
2024-11-30,91.9
2024-12-01,92.0
2024-12-02,92.1
2024-12-03,92.3
2024-12-04,92.3
2024-12-05,92.2
2024-12-06,92.2
2024-12-07,92.2
2024-12-08,92.2
2024-12-09,92.3
2024-12-10,92.4
2024-12-11,92.4
2024-12-12,92.3
2024-12-13,92.2
2024-12-14,92.2
2024-12-15,92.2
2024-12-16,92.3
2024-12-17,92.4
2024-12-18,92.4
2024-12-19,92.3
2024-12-20,92.2
2024-12-21,92.3
2024-12-22,92.3
2024-12-23,92.4
2024-12-24,92.6
2024-12-25,92.7
2024-12-26,92.6
2024-12-27,92.6
2024-12-28,92.6
2024-12-29,92.7
2024-12-30,92.8
2024-12-31,93.0
2025-01-01,93.1
2025-01-02,93.0
2025-01-03,93.0
2025-01-04,93.1
2025-01-05,93.1
2025-01-06,93.3
2025-01-07,93.5
2025-01-08,93.6
2025-01-09,93.5
2025-01-10,93.5
2025-01-11,93.5
2025-01-12,93.5
2025-01-13,93.7
2025-01-14,93.9
2025-01-15,93.9
2025-01-16,93.8
2025-01-17,93.8
2025-01-18,93.8
2025-01-19,93.8
2025-01-20,93.9
2025-01-21,94.1
