날짜,저수율
2024-10-24,70.1
2024-10-25,70.1
2024-10-26,70.1
2024-10-27,70.1
2024-10-28,70.0
2024-10-29,69.9
2024-10-30,69.9
2024-10-31,69.9
2024-11-01,70.0
2024-11-02,70.1
2024-11-03,70.2
2024-11-04,70.2
2024-11-05,70.2
2024-11-06,70.2
2024-11-07,70.4
2024-11-08,70.6
2024-11-09,70.9
2024-11-10,71.1
2024-11-11,71.3
2024-11-12,71.5
2024-11-13,71.8
2024-11-14,72.2
2024-11-15,72.7
2024-11-16,73.2
2024-11-17,73.8
2024-11-18,74.2
2024-11-19,74.7
2024-11-20,75.3
2024-11-21,75.9
2024-11-22,76.6
2024-11-23,77.4
2024-11-24,78.1
2024-11-25,78.7
2024-11-26,79.3
2024-11-27,80.0
2024-11-28,80.7
2024-11-29,81.5
2024-11-30,82.2
2024-12-01,82.8
2024-12-02,83.4
2024-12-03,83.9
2024-12-04,84.4
2024-12-05,84.9
2024-12-06,85.5
2024-12-07,85.9
2024-12-08,86.3
2024-12-09,86.6
2024-12-10,86.8
2024-12-11,86.9
2024-12-12,87.2
2024-12-13,87.4
2024-12-14,87.5
2024-12-15,87.6
2024-12-16,87.6
2024-12-17,87.5
2024-12-18,87.4
2024-12-19,87.4
2024-12-20,87.4
2024-12-21,87.3
2024-12-22,87.3
2024-12-23,87.1
2024-12-24,86.9
2024-12-25,86.7
2024-12-26,86.7
2024-12-27,86.6
2024-12-28,86.6
2024-12-29,86.5
2024-12-30,86.4
2024-12-31,86.3
2025-01-01,86.2
2025-01-02,86.2
2025-01-03,86.3
2025-01-04,86.3
2025-01-05,86.4
2025-01-06,86.3
2025-01-07,86.3
2025-01-08,86.3
2025-01-09,86.4
2025-01-10,86.6
2025-01-11,86.7
2025-01-12,86.8
2025-01-13,86.9
2025-01-14,86.9
2025-01-15,87.0
2025-01-16,87.1
2025-01-17,87.3
2025-01-18,87.5
2025-01-19,87.7
2025-01-20,87.8
2025-01-21,87.8
