날짜,저수율
2024-10-24,65.6
2024-10-25,66.0
2024-10-26,66.8
2024-10-27,67.5
2024-10-28,67.9
2024-10-29,68.6
2024-10-30,69.3
2024-10-31,70.1
2024-11-01,70.8
2024-11-02,71.8
2024-11-03,72.5
2024-11-04,73.0
2024-11-05,73.7
2024-11-06,74.3
2024-11-07,75.0
2024-11-08,75.5
2024-11-09,76.3
2024-11-10,76.8
2024-11-11,77.0
2024-11-12,77.4
2024-11-13,77.7
2024-11-14,78.2
2024-11-15,78.4
2024-11-16,79.0
2024-11-17,79.3
2024-11-18,79.3
2024-11-19,79.6
2024-11-20,79.8
2024-11-21,80.2
2024-11-22,80.4
2024-11-23,81.0
2024-11-24,81.4
2024-11-25,81.5
2024-11-26,81.9
2024-11-27,82.2
2024-11-28,82.8
2024-11-29,83.2
2024-11-30,83.9
2024-12-01,84.4
2024-12-02,84.6
2024-12-03,85.1
2024-12-04,85.6
2024-12-05,86.2
2024-12-06,86.6
2024-12-07,87.3
2024-12-08,87.7
2024-12-09,87.8
2024-12-10,88.1
2024-12-11,88.3
2024-12-12,88.7
2024-12-13,88.8
2024-12-14,89.1
2024-12-15,89.1
2024-12-16,88.9
2024-12-17,88.8
2024-12-18,88.6
2024-12-19,88.5
2024-12-20,88.1
2024-12-21,88.1
2024-12-22,87.7
2024-12-23,87.1
2024-12-24,86.6
2024-12-25,86.1
2024-12-26,85.7
2024-12-27,85.2
2024-12-28,84.9
2024-12-29,84.4
2024-12-30,83.7
2024-12-31,83.2
2025-01-01,82.6
2025-01-02,82.3
2025-01-03,81.8
2025-01-04,81.6
2025-01-05,81.2
2025-01-06,80.6
2025-01-07,80.3
2025-01-08,80.0
2025-01-09,79.8
2025-01-10,79.5
2025-01-11,79.6
2025-01-12,79.4
2025-01-13,79.0
2025-01-14,78.9
2025-01-15,78.7
2025-01-16,78.8
2025-01-17,78.7
2025-01-18,78.9
2025-01-19,78.9
2025-01-20,78.6
2025-01-21,78.7
