날짜,저수율
2024-10-24,96.4
2024-10-25,96.7
2024-10-26,96.9
2024-10-27,97.1
2024-10-28,97.1
2024-10-29,97.3
2024-10-30,97.5
2024-10-31,97.7
2024-11-01,97.7
2024-11-02,97.8
2024-11-03,97.7
2024-11-04,97.6
2024-11-05,97.5
2024-11-06,97.6
2024-11-07,97.6
2024-11-08,97.5
2024-11-09,97.5
2024-11-10,97.3
2024-11-11,97.1
2024-11-12,97.1
2024-11-13,97.2
2024-11-14,97.2
2024-11-15,97.3
2024-11-16,97.4
2024-11-17,97.4
2024-11-18,97.3
2024-11-19,97.4
2024-11-20,97.7
2024-11-21,97.9
2024-11-22,98.1
2024-11-23,98.3
2024-11-24,98.5
2024-11-25,98.5
2024-11-26,98.6
2024-11-27,98.9
2024-11-28,99.1
2024-11-29,99.2
2024-11-30,99.3
2024-12-01,99.3
2024-12-02,99.2
2024-12-03,99.1
2024-12-04,99.2
2024-12-05,99.0
2024-12-06,98.9
2024-12-07,98.7
2024-12-08,98.4
2024-12-09,98.0
2024-12-10,97.6
2024-12-11,97.4
2024-12-12,97.1
2024-12-13,96.7
2024-12-14,96.4
2024-12-15,96.0
2024-12-16,95.5
2024-12-17,95.1
2024-12-18,95.0
2024-12-19,94.7
2024-12-20,94.5
2024-12-21,94.3
2024-12-22,94.1
2024-12-23,93.8
2024-12-24,93.7
2024-12-25,93.8
2024-12-26,93.9
2024-12-27,94.0
2024-12-28,94.1
2024-12-29,94.2
2024-12-30,94.3
2024-12-31,94.5
2025-01-01,94.9
2025-01-02,95.2
2025-01-03,95.5
2025-01-04,95.8
2025-01-05,96.0
2025-01-06,96.2
2025-01-07,96.4
2025-01-08,96.8
2025-01-09,97.1
2025-01-10,97.3
2025-01-11,97.5
2025-01-12,97.6
2025-01-13,97.6
2025-01-14,97.6
2025-01-15,97.8
2025-01-16,97.8
2025-01-17,97.8
2025-01-18,97.8
2025-01-19,97.6
2025-01-20,97.4
2025-01-21,97.2
