date,percent
2014-01-01,56.0
2014-01-02,56.1
2014-01-03,56.1
2014-01-04,56.1
2014-01-05,56.1
2014-01-06,56.2
2014-01-07,56.3
2014-01-08,56.4
2014-01-09,56.5
2014-01-10,56.6
2014-01-11,56.7
2014-01-12,56.7
2014-01-13,56.6
2014-01-14,56.4
2014-01-15,56.1
2014-01-16,55.9
2014-01-17,55.9
2014-01-18,55.9
2014-01-19,55.9
2014-01-20,56.0
2014-01-21,56.0
2014-01-22,56.1
2014-01-23,56.6
2014-01-24,57.0
2014-01-25,56.9
2014-01-26,56.8
2014-01-27,56.7
2014-01-28,56.6
2014-01-29,56.6
2014-01-30,56.6
2014-01-31,56.6
2014-02-01,56.6
2014-02-02,56.7
2014-02-03,56.7
2014-02-04,56.7
2014-02-05,56.7
2014-02-06,56.7
2014-02-07,56.7
2014-02-08,56.7
2014-02-09,56.7
2014-02-10,56.7
2014-02-11,56.7
2014-02-12,56.6
2014-02-13,56.6
2014-02-14,56.6
2014-02-15,56.6
2014-02-16,56.6
2014-02-17,56.6
2014-02-18,56.8
2014-02-19,56.9
2014-02-20,56.9
2014-02-21,56.9
2014-02-22,56.9
2014-02-23,56.9
2014-02-24,56.9
2014-02-25,56.9
2014-02-26,56.5
2014-02-27,56.1
2014-02-28,56.2
2014-03-01,56.3
2014-03-02,56.4
2014-03-03,56.5
2014-03-04,56.5
2014-03-05,56.6
2014-03-06,56.6
2014-03-07,56.6
2014-03-08,56.6
2014-03-09,56.6
2014-03-10,56.7
2014-03-11,56.7
2014-03-12,57.0
2014-03-13,57.7
2014-03-14,59.2
2014-03-15,60.6
2014-03-16,61.1
2014-03-17,61.5
2014-03-18,61.8
2014-03-19,62.1
2014-03-20,62.4
2014-03-21,62.8
2014-03-22,63.1
2014-03-23,63.2
2014-03-24,63.2
2014-03-25,63.3
2014-03-26,64.1
2014-03-27,65.1
2014-03-28,65.4
2014-03-29,65.7
2014-03-30,67.5
2014-03-31,69.8
2014-04-01,71.0
2014-04-02,71.9
2014-04-03,72.6
2014-04-04,73.1
2014-04-05,73.4
2014-04-06,73.7
2014-04-07,73.9
2014-04-08,74.2
2014-04-09,74.3
2014-04-10,74.3
2014-04-11,74.3
2014-04-12,74.3
2014-04-13,74.3
2014-04-14,74.3
2014-04-15,74.5
2014-04-16,74.7
2014-04-17,74.9
2014-04-18,74.9
2014-04-19,74.9
2014-04-20,74.9
2014-04-21,74.8
2014-04-22,74.8
2014-04-23,74.7
2014-04-24,74.7
2014-04-25,74.6
2014-04-26,74.5
2014-04-27,74.7
2014-04-28,75.3
2014-04-29,76.1
2014-04-30,77.0
2014-05-01,78.9
2014-05-02,80.4
2014-05-03,80.5
2014-05-04,80.6
2014-05-05,80.7
2014-05-06,80.8
2014-05-07,80.8
2014-05-08,80.8
2014-05-09,80.8
2014-05-10,80.8
2014-05-11,80.7
2014-05-12,80.4
2014-05-13,80.2
2014-05-14,79.9
2014-05-15,79.7
2014-05-16,79.5
2014-05-17,77.9
2014-05-18,76.0
2014-05-19,75.1
2014-05-20,74.3
2014-05-21,73.1
2014-05-22,71.6
2014-05-23,70.0
2014-05-24,67.9
2014-05-25,66.3
2014-05-26,65.8
2014-05-27,65.3
2014-05-28,64.0
2014-05-29,62.6
2014-05-30,61.8
2014-05-31,61.0
2014-06-01,58.9
2014-06-02,56.7
2014-06-03,55.8
2014-06-04,55.1
2014-06-05,54.6
2014-06-06,53.9
2014-06-07,51.8
2014-06-08,49.4
2014-06-09,48.0
2014-06-10,46.8
2014-06-11,45.2
2014-06-12,43.8
2014-06-13,43.1
2014-06-14,42.4
2014-06-15,40.4
2014-06-16,37.9
2014-06-17,36.0
2014-06-18,34.1
2014-06-19,31.3
2014-06-20,29.6
2014-06-21,29.6
2014-06-22,29.6
2014-06-23,27.2
2014-06-24,23.9
2014-06-25,22.0
2014-06-26,20.5
2014-06-27,19.6
2014-06-28,19.1
2014-06-29,18.8
2014-06-30,18.7
2014-07-01,18.8
2014-07-02,18.9
2014-07-03,19.1
2014-07-04,19.4
2014-07-05,19.8
2014-07-06,20.4
2014-07-07,20.9
2014-07-08,21.2
2014-07-09,21.4
2014-07-10,21.5
2014-07-11,21.5
2014-07-12,21.5
2014-07-13,21.5
2014-07-14,20.5
2014-07-15,19.4
2014-07-16,19.4
2014-07-17,19.4
2014-07-18,19.5
2014-07-19,19.5
2014-07-20,19.5
2014-07-21,19.6
2014-07-22,19.6
2014-07-23,19.7
2014-07-24,19.8
2014-07-25,19.9
2014-07-26,20.2
2014-07-27,20.5
2014-07-28,20.7
2014-07-29,20.4
2014-07-30,19.8
2014-07-31,19.2
2014-08-01,18.7
2014-08-02,18.4
2014-08-03,18.2
2014-08-04,18.1
2014-08-05,18.4
2014-08-06,19.0
2014-08-07,20.0
2014-08-08,21.0
2014-08-09,22.8
2014-08-10,25.2
2014-08-11,26.3
2014-08-12,26.3
2014-08-13,26.3
2014-08-14,27.1
2014-08-15,28.4
2014-08-16,29.0
2014-08-17,29.5
2014-08-18,30.4
2014-08-19,43.7
2014-08-20,65.0
2014-08-21,86.8
2014-08-22,100.0
2014-08-23,100.0
2014-08-24,100.0
2014-08-25,100.0
2014-08-26,100.0
2014-08-27,100.0
2014-08-28,100.0
2014-08-29,100.0
2014-08-30,100.0
2014-08-31,100.0
2014-09-01,100.0
2014-09-02,100.0
2014-09-03,100.0
2014-09-04,100.0
2014-09-05,100.0
2014-09-06,100.0
2014-09-07,100.0
2014-09-08,100.0
2014-09-09,100.0
2014-09-10,100.0
2014-09-11,94.8
2014-09-12,87.9
2014-09-13,85.0
2014-09-14,82.8
2014-09-15,80.6
2014-09-16,77.9
2014-09-17,75.5
2014-09-18,73.3
2014-09-19,72.1
2014-09-20,72.4
2014-09-21,73.2
2014-09-22,74.5
2014-09-23,76.3
2014-09-24,78.5
2014-09-25,81.3
2014-09-26,91.4
2014-09-27,100.0
2014-09-28,100.0
2014-09-29,100.0
2014-09-30,100.0
2014-10-01,100.0
2014-10-02,100.0
2014-10-03,100.0
2014-10-04,100.0
2014-10-05,100.0
2014-10-06,100.0
2014-10-07,100.0
2014-10-08,100.0
2014-10-09,100.0
2014-10-10,100.0
2014-10-11,100.0
2014-10-12,100.0
2014-10-13,100.0
2014-10-14,100.0
2014-10-15,100.0
2014-10-16,100.0
2014-10-17,100.0
2014-10-18,100.0
2014-10-19,100.0
2014-10-20,100.0
2014-10-21,100.0
2014-10-22,100.0
2014-10-23,100.0
2014-10-24,100.0
2014-10-25,100.0
2014-10-26,100.0
2014-10-27,100.0
2014-10-28,100.0
2014-10-29,100.0
2014-10-30,100.0
2014-10-31,100.0
2014-11-01,100.0
2014-11-02,100.0
2014-11-03,100.0
2014-11-04,100.0
2014-11-05,100.0
2014-11-06,100.0
2014-11-07,100.0
2014-11-08,100.0
2014-11-09,100.0
2014-11-10,100.0
2014-11-11,100.0
2014-11-12,100.0
2014-11-13,100.0
2014-11-14,100.0
2014-11-15,100.0
2014-11-16,100.0
2014-11-17,100.0
2014-11-18,100.0
2014-11-19,100.0
2014-11-20,100.0
2014-11-21,100.0
2014-11-22,100.0
2014-11-23,100.0
2014-11-24,100.0
2014-11-25,100.0
2014-11-26,100.0
2014-11-27,100.0
2014-11-28,100.0
2014-11-29,100.0
2014-11-30,100.0
2014-12-01,100.0
2014-12-02,100.0
2014-12-03,100.0
2014-12-04,100.0
2014-12-05,100.0
2014-12-06,100.0
2014-12-07,100.0
2014-12-08,100.0
2014-12-09,100.0
2014-12-10,100.0
2014-12-11,100.0
2014-12-12,100.0
2014-12-13,100.0
2014-12-14,100.0
2014-12-15,100.0
2014-12-16,100.0
2014-12-17,100.0
2014-12-18,100.0
2014-12-19,100.0
2014-12-20,100.0
2014-12-21,100.0
2014-12-22,100.0
2014-12-23,100.0
2014-12-24,100.0
2014-12-25,100.0
2014-12-26,100.0
2014-12-27,100.0
2014-12-28,100.0
2014-12-29,96.7
2014-12-30,88.8
2014-12-31,79.3
2015-01-01,71.4
2015-01-02,68.0
2015-01-03,67.9
2015-01-04,67.9
2015-01-05,67.8
2015-01-06,67.8
2015-01-07,67.8
2015-01-08,67.8
2015-01-09,67.8
2015-01-10,67.9
2015-01-11,68.0
2015-01-12,68.1
2015-01-13,68.2
2015-01-14,68.3
2015-01-15,68.7
2015-01-16,69.2
2015-01-17,69.3
2015-01-18,69.4
2015-01-19,69.7
2015-01-20,69.9
2015-01-21,70.0
2015-01-22,70.0
2015-01-23,70.1
2015-01-24,70.2
2015-01-25,70.3
2015-01-26,70.3
2015-01-27,70.4
2015-01-28,70.4
2015-01-29,70.4
2015-01-30,70.4
2015-01-31,70.5
2015-02-01,70.7
2015-02-02,70.9
2015-02-03,71.0
2015-02-04,71.0
2015-02-05,71.0
2015-02-06,71.0
2015-02-07,71.0
2015-02-08,71.0
2015-02-09,71.0
2015-02-10,71.0
2015-02-11,71.0
2015-02-12,71.0
2015-02-13,71.0
2015-02-14,71.0
2015-02-15,70.9
2015-02-16,70.9
2015-02-17,70.9
2015-02-18,71.0
2015-02-19,71.1
2015-02-20,71.2
2015-02-21,71.3
2015-02-22,71.4
2015-02-23,71.5
2015-02-24,71.6
2015-02-25,71.8
2015-02-26,71.9
2015-02-27,72.0
2015-02-28,72.0
2015-03-01,72.0
2015-03-02,72.0
2015-03-03,72.0
2015-03-04,72.3
2015-03-05,72.5
2015-03-06,72.5
2015-03-07,72.5
2015-03-08,72.5
2015-03-09,72.4
2015-03-10,72.4
2015-03-11,72.4
2015-03-12,72.4
2015-03-13,72.4
2015-03-14,72.4
2015-03-15,72.4
2015-03-16,72.4
2015-03-17,72.4
2015-03-18,72.4
2015-03-19,73.5
2015-03-20,74.9
2015-03-21,75.5
2015-03-22,76.0
2015-03-23,76.3
2015-03-24,76.6
2015-03-25,76.7
2015-03-26,76.7
2015-03-27,76.7
2015-03-28,76.7
2015-03-29,76.7
2015-03-30,76.6
2015-03-31,76.6
2015-04-01,76.6
2015-04-02,76.6
2015-04-03,76.7
2015-04-04,76.8
2015-04-05,77.0
2015-04-06,77.2
2015-04-07,77.5
2015-04-08,77.8
2015-04-09,78.1
2015-04-10,78.2
2015-04-11,78.2
2015-04-12,78.3
2015-04-13,78.3
2015-04-14,78.4
2015-04-15,78.7
2015-04-16,79.2
2015-04-17,79.5
2015-04-18,79.6
2015-04-19,79.6
2015-04-20,79.7
2015-04-21,80.4
2015-04-22,81.2
2015-04-23,81.3
2015-04-24,81.4
2015-04-25,81.3
2015-04-26,81.1
2015-04-27,80.9
2015-04-28,80.6
2015-04-29,80.3
2015-04-30,79.9
2015-05-01,79.7
2015-05-02,79.7
2015-05-03,79.7
2015-05-04,79.3
2015-05-05,78.7
2015-05-06,78.4
2015-05-07,78.1
2015-05-08,77.9
2015-05-09,77.8
2015-05-10,77.7
2015-05-11,77.5
2015-05-12,77.2
2015-05-13,76.7
2015-05-14,76.3
2015-05-15,76.0
2015-05-16,75.6
2015-05-17,74.3
2015-05-18,72.8
2015-05-19,72.0
2015-05-20,71.3
2015-05-21,70.2
2015-05-22,69.0
2015-05-23,68.5
2015-05-24,68.5
2015-05-25,68.5
2015-05-26,66.9
2015-05-27,64.6
2015-05-28,63.2
2015-05-29,62.1
2015-05-30,61.1
2015-05-31,60.1
2015-06-01,59.3
2015-06-02,58.7
2015-06-03,58.1
2015-06-04,57.1
2015-06-05,56.2
2015-06-06,55.6
2015-06-07,55.1
2015-06-08,54.5
2015-06-09,53.9
2015-06-10,53.0
2015-06-11,52.1
2015-06-12,51.6
2015-06-13,51.0
2015-06-14,50.1
2015-06-15,49.1
2015-06-16,48.5
2015-06-17,47.9
2015-06-18,47.0
2015-06-19,46.4
2015-06-20,46.4
2015-06-21,46.4
2015-06-22,45.1
2015-06-23,43.4
2015-06-24,42.6
2015-06-25,42.1
2015-06-26,41.7
2015-06-27,41.3
2015-06-28,41.1
2015-06-29,40.8
2015-06-30,40.3
2015-07-01,39.7
2015-07-02,38.9
2015-07-03,38.2
2015-07-04,37.8
2015-07-05,37.4
2015-07-06,37.3
2015-07-07,37.4
2015-07-08,37.7
2015-07-09,38.0
2015-07-10,38.1
2015-07-11,38.1
2015-07-12,38.1
2015-07-13,38.1
2015-07-14,38.1
2015-07-15,38.1
2015-07-16,37.5
2015-07-17,36.8
2015-07-18,36.8
2015-07-19,36.8
2015-07-20,35.9
2015-07-21,34.6
2015-07-22,33.9
2015-07-23,33.6
2015-07-24,33.6
2015-07-25,33.6
2015-07-26,33.6
2015-07-27,33.4
2015-07-28,33.2
2015-07-29,32.2
2015-07-30,31.1
2015-07-31,30.7
2015-08-01,30.2
2015-08-02,29.2
2015-08-03,27.8
2015-08-04,26.5
2015-08-05,25.1
2015-08-06,23.8
2015-08-07,22.5
2015-08-08,21.1
2015-08-09,19.7
2015-08-10,18.6
2015-08-11,18.0
2015-08-12,17.5
2015-08-13,16.8
2015-08-14,16.1
2015-08-15,15.3
2015-08-16,14.2
2015-08-17,13.5
2015-08-18,13.5
2015-08-19,13.6
2015-08-20,13.8
2015-08-21,13.9
2015-08-22,14.0
2015-08-23,14.2
2015-08-24,14.4
2015-08-25,15.1
2015-08-26,16.0
2015-08-27,16.6
2015-08-28,17.0
2015-08-29,17.3
2015-08-30,17.5
2015-08-31,17.8
2015-09-01,18.1
2015-09-02,18.4
2015-09-03,19.6
2015-09-04,20.6
2015-09-05,20.6
2015-09-06,20.6
2015-09-07,21.4
2015-09-08,22.3
2015-09-09,22.5
2015-09-10,22.6
2015-09-11,22.3
2015-09-12,21.5
2015-09-13,20.5
2015-09-14,19.6
2015-09-15,18.6
2015-09-16,18.0
2015-09-17,18.0
2015-09-18,18.1
2015-09-19,18.2
2015-09-20,18.3
2015-09-21,18.4
2015-09-22,18.5
2015-09-23,18.7
2015-09-24,18.9
2015-09-25,19.0
2015-09-26,19.0
2015-09-27,18.9
2015-09-28,18.8
2015-09-29,18.7
2015-09-30,18.7
2015-10-01,18.7
2015-10-02,18.8
2015-10-03,18.8
2015-10-04,18.9
2015-10-05,19.0
2015-10-06,19.1
2015-10-07,19.2
2015-10-08,19.2
2015-10-09,19.2
2015-10-10,19.2
2015-10-11,19.2
2015-10-12,19.3
2015-10-13,19.5
2015-10-14,19.6
2015-10-15,19.6
2015-10-16,19.7
2015-10-17,19.7
2015-10-18,19.8
2015-10-19,19.8
2015-10-20,19.8
2015-10-21,19.9
2015-10-22,19.9
2015-10-23,19.9
2015-10-24,19.9
2015-10-25,19.9
2015-10-26,20.0
2015-10-27,20.1
2015-10-28,20.3
2015-10-29,20.4
2015-10-30,20.5
2015-10-31,20.5
2015-11-01,20.6
2015-11-02,20.6
2015-11-03,20.6
2015-11-04,20.7
2015-11-05,20.7
2015-11-06,20.8
2015-11-07,20.8
2015-11-08,20.8
2015-11-09,20.9
2015-11-10,21.0
2015-11-11,21.1
2015-11-12,21.2
2015-11-13,21.3
2015-11-14,21.4
2015-11-15,21.6
2015-11-16,21.7
2015-11-17,21.8
2015-11-18,22.0
2015-11-19,22.4
2015-11-20,22.8
2015-11-21,23.1
2015-11-22,23.3
2015-11-23,23.5
2015-11-24,23.8
2015-11-25,24.2
2015-11-26,24.5
2015-11-27,24.7
2015-11-28,24.9
2015-11-29,25.0
2015-11-30,25.2
2015-12-01,25.4
2015-12-02,25.5
2015-12-03,25.6
