날짜,저수율
2014-01-01,50.8
2014-01-02,50.8
2014-01-03,50.8
2014-01-04,50.8
2014-01-05,50.8
2014-01-06,50.8
2014-01-07,50.9
2014-01-08,51.0
2014-01-09,51.1
2014-01-10,51.1
2014-01-11,51.1
2014-01-12,51.1
2014-01-13,51.2
2014-01-14,51.3
2014-01-15,51.4
2014-01-16,51.4
2014-01-17,51.4
2014-01-18,51.5
2014-01-19,51.5
2014-01-20,51.5
2014-01-21,51.5
2014-01-22,51.5
2014-01-23,51.6
2014-01-24,51.6
2014-01-25,51.6
2014-01-26,51.7
2014-01-27,51.7
2014-01-28,51.7
2014-01-29,51.8
2014-01-30,51.8
2014-01-31,51.9
2014-02-01,51.9
2014-02-02,52.0
2014-02-03,52.0
2014-02-04,52.1
2014-02-05,52.1
2014-02-06,52.1
2014-02-07,52.1
2014-02-08,52.1
2014-02-09,52.1
2014-02-10,52.2
2014-02-11,52.3
2014-02-12,52.3
2014-02-13,52.3
2014-02-14,52.4
2014-02-15,52.4
2014-02-16,52.4
2014-02-17,52.4
2014-02-18,52.4
2014-02-19,52.5
2014-02-20,52.6
2014-02-21,52.6
2014-02-22,52.6
2014-02-23,52.6
2014-02-24,52.6
2014-02-25,52.6
2014-02-26,52.6
2014-02-27,53.2
2014-02-28,53.9
2014-03-01,54.0
2014-03-02,54.1
2014-03-03,54.1
2014-03-04,54.1
2014-03-05,54.3
2014-03-06,54.6
2014-03-07,54.8
2014-03-08,54.9
2014-03-09,55.0
2014-03-10,55.1
2014-03-11,55.4
2014-03-12,55.7
2014-03-13,56.0
2014-03-14,56.2
2014-03-15,56.3
2014-03-16,56.4
2014-03-17,56.4
2014-03-18,56.4
2014-03-19,56.4
2014-03-20,56.4
2014-03-21,56.7
2014-03-22,57.0
2014-03-23,57.0
2014-03-24,56.9
2014-03-25,56.9
2014-03-26,56.8
2014-03-27,56.7
2014-03-28,56.7
2014-03-29,56.8
2014-03-30,57.0
2014-03-31,57.3
2014-04-01,57.4
2014-04-02,57.4
2014-04-03,57.5
2014-04-04,57.5
2014-04-05,57.5
2014-04-06,57.5
2014-04-07,57.6
2014-04-08,57.6
2014-04-09,57.7
2014-04-10,57.8
2014-04-11,57.8
2014-04-12,57.8
2014-04-13,57.8
2014-04-14,58.0
2014-04-15,58.2
2014-04-16,58.4
2014-04-17,58.5
2014-04-18,58.6
2014-04-19,58.6
2014-04-20,58.6
2014-04-21,58.6
2014-04-22,58.6
2014-04-23,58.6
2014-04-24,58.6
2014-04-25,58.7
2014-04-26,58.7
2014-04-27,58.7
2014-04-28,58.7
2014-04-29,59.4
2014-04-30,60.3
2014-05-01,60.7
2014-05-02,61.0
2014-05-03,61.3
2014-05-04,61.5
2014-05-05,61.7
2014-05-06,61.9
2014-05-07,62.1
2014-05-08,62.3
2014-05-09,62.4
2014-05-10,62.7
2014-05-11,63.4
2014-05-12,64.4
2014-05-13,65.8
2014-05-14,66.9
2014-05-15,67.4
2014-05-16,67.6
2014-05-17,67.6
2014-05-18,67.6
2014-05-19,67.7
2014-05-20,67.8
2014-05-21,68.0
2014-05-22,68.2
2014-05-23,68.1
2014-05-24,67.8
2014-05-25,66.7
2014-05-26,64.9
2014-05-27,63.2
2014-05-28,62.0
2014-05-29,61.0
2014-05-30,60.1
2014-05-31,59.0
2014-06-01,55.6
2014-06-02,52.7
2014-06-03,52.4
2014-06-04,52.3
2014-06-05,52.2
2014-06-06,52.0
2014-06-07,51.6
2014-06-08,51.1
2014-06-09,50.6
2014-06-10,50.3
2014-06-11,50.6
2014-06-12,51.1
2014-06-13,51.3
2014-06-14,51.4
2014-06-15,50.8
2014-06-16,49.5
2014-06-17,48.9
2014-06-18,48.9
2014-06-19,48.9
2014-06-20,48.9
2014-06-21,48.9
2014-06-22,48.9
2014-06-23,48.9
2014-06-24,48.9
2014-06-25,48.9
2014-06-26,48.9
2014-06-27,48.9
2014-06-28,48.9
2014-06-29,48.9
2014-06-30,48.9
2014-07-01,48.9
2014-07-02,48.9
2014-07-03,48.9
2014-07-04,48.9
2014-07-05,48.9
2014-07-06,48.9
2014-07-07,48.9
2014-07-08,48.9
2014-07-09,48.9
2014-07-10,48.9
2014-07-11,48.9
2014-07-12,48.9
2014-07-13,48.9
2014-07-14,48.9
2014-07-15,48.9
2014-07-16,48.9
2014-07-17,48.9
2014-07-18,48.9
2014-07-19,48.9
2014-07-20,48.9
2014-07-21,48.9
2014-07-22,48.9
2014-07-23,48.9
2014-07-24,48.9
2014-07-25,48.9
2014-07-26,48.9
2014-07-27,48.9
2014-07-28,48.9
2014-07-29,48.9
2014-07-30,49.4
2014-07-31,50.7
2014-08-01,52.7
2014-08-02,55.4
2014-08-03,58.6
2014-08-04,67.0
2014-08-05,75.4
2014-08-06,78.0
2014-08-07,79.7
2014-08-08,81.2
2014-08-09,82.7
2014-08-10,85.4
2014-08-11,87.3
2014-08-12,87.5
2014-08-13,87.5
2014-08-14,87.6
2014-08-15,87.6
2014-08-16,87.7
2014-08-17,88.8
2014-08-18,91.3
2014-08-19,94.3
2014-08-20,96.8
2014-08-21,97.8
2014-08-22,97.8
2014-08-23,97.8
2014-08-24,97.8
2014-08-25,97.8
2014-08-26,97.8
2014-08-27,97.8
2014-08-28,97.8
2014-08-29,97.8
2014-08-30,97.8
2014-08-31,97.8
2014-09-01,97.7
2014-09-02,97.6
2014-09-03,97.6
2014-09-04,97.6
2014-09-05,97.6
2014-09-06,97.6
2014-09-07,97.5
2014-09-08,97.5
2014-09-09,97.5
2014-09-10,97.5
2014-09-11,97.5
2014-09-12,97.4
2014-09-13,97.0
2014-09-14,96.6
2014-09-15,96.2
2014-09-16,95.8
2014-09-17,95.3
2014-09-18,94.8
2014-09-19,94.5
2014-09-20,94.5
2014-09-21,94.5
2014-09-22,94.5
2014-09-23,94.5
2014-09-24,96.1
2014-09-25,97.6
2014-09-26,97.6
2014-09-27,97.6
2014-09-28,97.5
2014-09-29,97.5
2014-09-30,97.5
2014-10-01,97.4
2014-10-02,97.4
2014-10-03,97.3
2014-10-04,97.3
2014-10-05,97.2
2014-10-06,97.2
2014-10-07,97.1
2014-10-08,97.1
2014-10-09,97.2
2014-10-10,97.5
2014-10-11,97.9
2014-10-12,98.3
2014-10-13,98.6
2014-10-14,98.8
2014-10-15,98.9
2014-10-16,98.9
2014-10-17,99.0
2014-10-18,99.1
2014-10-19,99.1
2014-10-20,99.2
2014-10-21,99.6
2014-10-22,100.0
2014-10-23,100.0
2014-10-24,100.0
2014-10-25,100.0
2014-10-26,100.0
2014-10-27,100.0
2014-10-28,100.0
2014-10-29,100.0
2014-10-30,100.0
2014-10-31,100.0
2014-11-01,100.0
2014-11-02,100.0
2014-11-03,100.0
2014-11-04,100.0
2014-11-05,100.0
2014-11-06,100.0
2014-11-07,100.0
2014-11-08,100.0
2014-11-09,100.0
2014-11-10,100.0
2014-11-11,100.0
2014-11-12,100.0
2014-11-13,100.0
2014-11-14,100.0
2014-11-15,100.0
2014-11-16,100.0
2014-11-17,100.0
2014-11-18,100.0
2014-11-19,100.0
2014-11-20,100.0
2014-11-21,100.0
2014-11-22,100.0
2014-11-23,100.0
2014-11-24,100.0
2014-11-25,100.0
2014-11-26,100.0
2014-11-27,100.0
2014-11-28,100.0
2014-11-29,100.0
2014-11-30,100.0
2014-12-01,100.0
2014-12-02,100.0
2014-12-03,100.0
2014-12-04,100.0
2014-12-05,100.0
2014-12-06,100.0
2014-12-07,100.0
2014-12-08,100.0
2014-12-09,100.0
2014-12-10,100.0
2014-12-11,100.0
2014-12-12,100.0
2014-12-13,100.0
2014-12-14,100.0
