날짜,저수율
2014-01-01,52.9
2014-01-02,52.9
2014-01-03,52.8
2014-01-04,52.8
2014-01-05,52.8
2014-01-06,52.8
2014-01-07,52.8
2014-01-08,52.8
2014-01-09,52.8
2014-01-10,52.8
2014-01-11,52.8
2014-01-12,52.9
2014-01-13,52.9
2014-01-14,52.9
2014-01-15,52.9
2014-01-16,52.9
2014-01-17,53.0
2014-01-18,53.0
2014-01-19,53.0
2014-01-20,53.0
2014-01-21,53.1
2014-01-22,53.1
2014-01-23,53.1
2014-01-24,53.1
2014-01-25,53.1
2014-01-26,53.1
2014-01-27,53.1
2014-01-28,53.1
2014-01-29,53.1
2014-01-30,53.1
2014-01-31,53.1
2014-02-01,53.1
2014-02-02,53.1
2014-02-03,53.1
2014-02-04,53.1
2014-02-05,53.1
2014-02-06,53.1
2014-02-07,53.1
2014-02-08,53.1
2014-02-09,53.1
2014-02-10,53.1
2014-02-11,53.1
2014-02-12,53.1
2014-02-13,53.1
2014-02-14,53.1
2014-02-15,53.1
2014-02-16,53.1
2014-02-17,53.1
2014-02-18,53.1
2014-02-19,53.1
2014-02-20,53.1
2014-02-21,53.0
2014-02-22,53.0
2014-02-23,52.9
2014-02-24,52.9
2014-02-25,52.9
2014-02-26,52.9
2014-02-27,52.9
2014-02-28,52.8
2014-03-01,52.8
2014-03-02,52.8
2014-03-03,52.8
2014-03-04,52.8
2014-03-05,52.8
2014-03-06,52.8
2014-03-07,52.8
2014-03-08,52.8
2014-03-09,52.9
2014-03-10,52.9
2014-03-11,53.0
2014-03-12,53.1
2014-03-13,53.8
2014-03-14,54.7
2014-03-15,55.0
2014-03-16,55.3
2014-03-17,55.8
2014-03-18,56.1
2014-03-19,56.2
2014-03-20,56.2
2014-03-21,56.3
2014-03-22,56.4
2014-03-23,56.4
2014-03-24,56.5
2014-03-25,56.8
2014-03-26,57.3
2014-03-27,58.7
2014-03-28,60.2
2014-03-29,61.0
2014-03-30,61.5
2014-03-31,62.0
2014-04-01,62.4
2014-04-02,62.7
2014-04-03,63.0
2014-04-04,63.1
2014-04-05,63.1
2014-04-06,63.1
2014-04-07,63.2
2014-04-08,63.4
2014-04-09,63.5
2014-04-10,63.5
2014-04-11,63.5
2014-04-12,63.5
2014-04-13,63.6
2014-04-14,63.6
2014-04-15,63.6
2014-04-16,63.7
2014-04-17,63.8
2014-04-18,64.0
2014-04-19,64.1
2014-04-20,64.2
2014-04-21,64.3
2014-04-22,64.4
2014-04-23,64.4
2014-04-24,64.5
2014-04-25,64.5
2014-04-26,64.6
2014-04-27,64.7
2014-04-28,64.9
2014-04-29,65.9
2014-04-30,67.1
2014-05-01,67.8
2014-05-02,68.2
2014-05-03,68.2
2014-05-04,68.1
2014-05-05,68.1
2014-05-06,68.0
2014-05-07,67.9
2014-05-08,67.7
2014-05-09,67.4
2014-05-10,67.1
2014-05-11,66.9
2014-05-12,66.8
2014-05-13,66.8
2014-05-14,66.7
2014-05-15,66.5
2014-05-16,66.1
2014-05-17,65.5
2014-05-18,64.6
2014-05-19,63.0
2014-05-20,61.4
2014-05-21,60.8
2014-05-22,60.1
2014-05-23,57.9
2014-05-24,55.7
2014-05-25,55.0
2014-05-26,54.3
2014-05-27,52.2
2014-05-28,50.1
2014-05-29,49.2
2014-05-30,48.7
2014-05-31,47.9
2014-06-01,46.3
2014-06-02,45.1
2014-06-03,44.9
2014-06-04,44.7
2014-06-05,44.6
2014-06-06,44.4
2014-06-07,43.4
2014-06-08,42.1
2014-06-09,41.2
2014-06-10,40.5
2014-06-11,39.8
2014-06-12,39.2
2014-06-13,38.7
2014-06-14,38.2
2014-06-15,37.5
2014-06-16,36.7
2014-06-17,35.6
2014-06-18,34.5
2014-06-19,33.6
2014-06-20,33.2
2014-06-21,33.2
2014-06-22,33.2
2014-06-23,32.4
2014-06-24,31.2
2014-06-25,30.7
2014-06-26,30.3
2014-06-27,29.3
2014-06-28,28.5
2014-06-29,28.4
2014-06-30,28.4
2014-07-01,28.4
2014-07-02,28.4
2014-07-03,28.5
2014-07-04,28.5
2014-07-05,28.9
2014-07-06,29.4
2014-07-07,29.7
2014-07-08,30.0
2014-07-09,30.3
2014-07-10,30.4
2014-07-11,30.4
2014-07-12,30.4
2014-07-13,30.4
2014-07-14,30.4
2014-07-15,29.8
2014-07-16,29.1
2014-07-17,29.1
2014-07-18,29.1
2014-07-19,29.1
2014-07-20,29.5
2014-07-21,29.9
2014-07-22,29.9
2014-07-23,29.9
2014-07-24,29.8
2014-07-25,29.6
2014-07-26,29.3
2014-07-27,29.3
2014-07-28,29.2
2014-07-29,28.9
2014-07-30,28.4
2014-07-31,27.8
2014-08-01,27.3
2014-08-02,27.2
2014-08-03,27.2
2014-08-04,27.2
2014-08-05,27.3
2014-08-06,28.9
2014-08-07,32.8
2014-08-08,49.1
2014-08-09,63.3
2014-08-10,63.6
2014-08-11,63.8
2014-08-12,64.7
2014-08-13,66.5
2014-08-14,69.0
2014-08-15,71.9
2014-08-16,75.0
2014-08-17,78.2
2014-08-18,81.1
2014-08-19,84.8
2014-08-20,87.1
2014-08-21,87.1
2014-08-22,87.1
2014-08-23,87.1
2014-08-24,87.1
2014-08-25,85.5
2014-08-26,83.5
2014-08-27,82.8
2014-08-28,82.3
2014-08-29,81.8
2014-08-30,81.5
2014-08-31,81.4
2014-09-01,81.4
2014-09-02,81.3
2014-09-03,81.3
2014-09-04,81.2
2014-09-05,80.9
2014-09-06,80.3
2014-09-07,80.0
2014-09-08,80.0
2014-09-09,79.9
2014-09-10,79.9
2014-09-11,79.0
2014-09-12,77.5
2014-09-13,76.4
2014-09-14,75.0
2014-09-15,71.5
2014-09-16,68.2
2014-09-17,67.0
2014-09-18,66.2
2014-09-19,65.7
2014-09-20,65.2
2014-09-21,64.5
2014-09-22,63.7
2014-09-23,62.7
2014-09-24,62.0
2014-09-25,62.0
2014-09-26,62.0
2014-09-27,62.0
2014-09-28,62.1
2014-09-29,62.1
2014-09-30,62.3
2014-10-01,62.4
2014-10-02,62.4
2014-10-03,62.4
