날짜,저수율
2014-01-01,83.8
2014-01-02,84.2
2014-01-03,84.7
2014-01-04,85.0
2014-01-05,85.3
2014-01-06,85.5
2014-01-07,85.8
2014-01-08,86.0
2014-01-09,86.2
2014-01-10,86.4
2014-01-11,86.5
2014-01-12,86.6
2014-01-13,86.8
2014-01-14,87.2
2014-01-15,87.7
2014-01-16,88.0
2014-01-17,88.2
2014-01-18,88.4
2014-01-19,88.7
2014-01-20,89.0
2014-01-21,89.5
2014-01-22,89.9
2014-01-23,90.2
2014-01-24,90.4
2014-01-25,90.7
2014-01-26,90.9
2014-01-27,91.2
2014-01-28,91.4
2014-01-29,91.7
2014-01-30,92.0
2014-01-31,92.4
2014-02-01,92.8
2014-02-02,93.2
2014-02-03,93.4
2014-02-04,93.6
2014-02-05,93.7
2014-02-06,93.9
2014-02-07,93.9
2014-02-08,93.9
2014-02-09,93.9
2014-02-10,94.5
2014-02-11,95.2
2014-02-12,95.4
2014-02-13,95.6
2014-02-14,95.8
2014-02-15,96.1
2014-02-16,96.3
2014-02-17,96.5
2014-02-18,96.7
2014-02-19,96.9
2014-02-20,97.0
2014-02-21,97.1
2014-02-22,97.2
2014-02-23,97.3
2014-02-24,97.4
2014-02-25,97.6
2014-02-26,97.8
2014-02-27,98.0
2014-02-28,98.2
2014-03-01,98.4
2014-03-02,98.7
2014-03-03,99.2
2014-03-04,99.6
2014-03-05,99.7
2014-03-06,99.8
2014-03-07,99.9
2014-03-08,100.0
2014-03-09,100.0
2014-03-10,100.0
2014-03-11,100.0
2014-03-12,100.0
2014-03-13,100.0
2014-03-14,100.0
2014-03-15,100.0
2014-03-16,100.0
2014-03-17,100.0
2014-03-18,100.0
2014-03-19,100.0
2014-03-20,100.0
2014-03-21,100.0
2014-03-22,100.0
2014-03-23,100.0
2014-03-24,100.0
2014-03-25,100.0
2014-03-26,100.0
2014-03-27,100.0
2014-03-28,100.0
2014-03-29,100.0
2014-03-30,100.0
2014-03-31,100.0
2014-04-01,100.0
2014-04-02,100.0
2014-04-03,100.0
2014-04-04,100.0
2014-04-05,100.0
2014-04-06,100.0
2014-04-07,100.0
2014-04-08,100.0
2014-04-09,100.0
2014-04-10,100.0
2014-04-11,100.0
2014-04-12,100.0
2014-04-13,100.0
2014-04-14,100.0
2014-04-15,100.0
2014-04-16,100.0
2014-04-17,100.0
2014-04-18,100.0
2014-04-19,100.0
2014-04-20,100.0
2014-04-21,100.0
2014-04-22,100.0
2014-04-23,100.0
2014-04-24,100.0
2014-04-25,100.0
2014-04-26,100.0
2014-04-27,100.0
2014-04-28,100.0
2014-04-29,100.0
2014-04-30,100.0
2014-05-01,100.0
2014-05-02,100.0
2014-05-03,99.6
2014-05-04,98.6
2014-05-05,97.1
2014-05-06,95.1
2014-05-07,93.0
2014-05-08,89.2
2014-05-09,85.1
2014-05-10,82.5
2014-05-11,80.4
2014-05-12,78.2
2014-05-13,75.8
2014-05-14,73.4
2014-05-15,70.8
2014-05-16,68.1
2014-05-17,65.5
2014-05-18,63.2
2014-05-19,61.4
2014-05-20,60.4
2014-05-21,60.2
2014-05-22,60.1
2014-05-23,60.0
2014-05-24,59.8
2014-05-25,59.6
2014-05-26,59.4
2014-05-27,59.2
2014-05-28,58.3
2014-05-29,57.0
2014-05-30,55.4
2014-05-31,54.4
2014-06-01,54.8
2014-06-02,55.8
2014-06-03,57.1
2014-06-04,58.1
2014-06-05,58.5
2014-06-06,58.4
2014-06-07,58.3
