날짜,저수율
2014-01-01,82.0
2014-01-02,82.0
2014-01-03,82.0
2014-01-04,82.0
2014-01-05,82.0
2014-01-06,82.0
2014-01-07,82.0
2014-01-08,82.0
2014-01-09,82.0
2014-01-10,82.0
2014-01-11,82.0
2014-01-12,82.0
2014-01-13,82.0
2014-01-14,82.0
2014-01-15,82.0
2014-01-16,82.0
2014-01-17,82.0
2014-01-18,82.0
2014-01-19,82.0
2014-01-20,82.0
2014-01-21,82.0
2014-01-22,82.0
2014-01-23,82.0
2014-01-24,82.0
2014-01-25,82.0
2014-01-26,82.0
2014-01-27,82.0
2014-01-28,82.0
2014-01-29,82.0
2014-01-30,82.0
2014-01-31,82.0
2014-02-01,82.0
2014-02-02,82.0
2014-02-03,82.0
2014-02-04,82.0
2014-02-05,82.0
2014-02-06,82.0
2014-02-07,82.0
2014-02-08,82.0
2014-02-09,82.0
2014-02-10,82.0
2014-02-11,82.0
2014-02-12,82.0
2014-02-13,82.0
2014-02-14,82.0
2014-02-15,82.0
2014-02-16,82.0
2014-02-17,82.0
2014-02-18,82.0
2014-02-19,82.0
2014-02-20,82.0
2014-02-21,82.0
2014-02-22,82.0
2014-02-23,82.0
2014-02-24,82.0
2014-02-25,82.0
2014-02-26,82.0
2014-02-27,82.0
2014-02-28,82.0
2014-03-01,82.0
2014-03-02,82.0
2014-03-03,82.0
2014-03-04,82.0
2014-03-05,82.0
2014-03-06,82.0
2014-03-07,82.0
2014-03-08,82.0
2014-03-09,82.0
2014-03-10,82.0
2014-03-11,82.0
2014-03-12,82.0
2014-03-13,83.3
2014-03-14,85.0
2014-03-15,85.9
2014-03-16,86.6
2014-03-17,87.0
2014-03-18,87.2
2014-03-19,87.3
2014-03-20,87.4
2014-03-21,87.5
2014-03-22,87.5
2014-03-23,87.6
2014-03-24,87.6
2014-03-25,87.7
2014-03-26,87.8
2014-03-27,88.0
2014-03-28,88.4
2014-03-29,89.1
2014-03-30,89.7
2014-03-31,90.0
2014-04-01,90.0
2014-04-02,90.0
2014-04-03,90.0
2014-04-04,90.0
2014-04-05,90.0
2014-04-06,90.0
2014-04-07,90.0
2014-04-08,90.0
2014-04-09,90.0
2014-04-10,90.0
2014-04-11,90.0
2014-04-12,90.0
2014-04-13,90.0
2014-04-14,90.0
2014-04-15,90.0
2014-04-16,90.0
2014-04-17,90.0
2014-04-18,90.0
2014-04-19,90.0
2014-04-20,90.0
2014-04-21,90.0
2014-04-22,90.0
2014-04-23,90.0
2014-04-24,90.0
2014-04-25,90.0
2014-04-26,90.0
2014-04-27,90.0
2014-04-28,90.0
2014-04-29,90.0
2014-04-30,90.0
2014-05-01,90.0
2014-05-02,90.0
2014-05-03,90.0
2014-05-04,89.9
2014-05-05,89.5
2014-05-06,89.0
2014-05-07,88.4
2014-05-08,88.0
2014-05-09,87.6
2014-05-10,87.2
2014-05-11,86.9
2014-05-12,86.5
2014-05-13,86.2
2014-05-14,86.0
2014-05-15,85.8
2014-05-16,85.7
2014-05-17,85.6
2014-05-18,85.5
2014-05-19,85.4
2014-05-20,85.3
2014-05-21,85.2
2014-05-22,85.0
2014-05-23,84.8
2014-05-24,84.4
2014-05-25,84.0
2014-05-26,83.6
2014-05-27,83.0
2014-05-28,82.2
2014-05-29,81.2
2014-05-30,80.0
2014-05-31,78.1
2014-06-01,76.0
2014-06-02,75.0
2014-06-03,75.0
2014-06-04,75.0
2014-06-05,75.0
2014-06-06,75.0
2014-06-07,75.0
2014-06-08,71.6
2014-06-09,68.0
2014-06-10,67.5
2014-06-11,67.1
2014-06-12,66.7
2014-06-13,66.3
2014-06-14,66.1
2014-06-15,65.8
