날짜,저수율
2014-01-01,69.6
2014-01-02,69.5
2014-01-03,69.4
2014-01-04,69.4
2014-01-05,69.4
2014-01-06,69.3
2014-01-07,69.2
2014-01-08,69.1
2014-01-09,69.1
2014-01-10,69.0
2014-01-11,68.9
2014-01-12,68.7
2014-01-13,68.5
2014-01-14,68.4
2014-01-15,68.3
2014-01-16,68.1
2014-01-17,68.0
2014-01-18,67.9
2014-01-19,67.9
2014-01-20,67.8
2014-01-21,67.7
2014-01-22,67.6
2014-01-23,67.4
2014-01-24,67.3
2014-01-25,67.3
2014-01-26,67.2
2014-01-27,67.2
2014-01-28,67.2
2014-01-29,67.1
2014-01-30,67.0
2014-01-31,66.9
2014-02-01,66.9
2014-02-02,66.8
2014-02-03,66.7
2014-02-04,66.6
2014-02-05,66.5
2014-02-06,66.5
2014-02-07,66.5
2014-02-08,66.5
2014-02-09,66.5
2014-02-10,67.0
2014-02-11,67.6
2014-02-12,67.7
2014-02-13,67.8
2014-02-14,67.8
2014-02-15,67.8
2014-02-16,67.8
2014-02-17,68.1
2014-02-18,68.5
2014-02-19,68.8
2014-02-20,69.0
2014-02-21,69.3
2014-02-22,69.7
2014-02-23,70.2
2014-02-24,70.8
2014-02-25,71.7
2014-02-26,73.4
2014-02-27,79.0
2014-02-28,86.1
2014-03-01,92.0
2014-03-02,97.4
2014-03-03,99.7
2014-03-04,99.7
2014-03-05,99.7
2014-03-06,99.7
2014-03-07,99.7
2014-03-08,99.6
2014-03-09,99.6
2014-03-10,99.6
2014-03-11,99.6
2014-03-12,99.6
2014-03-13,99.5
2014-03-14,99.5
2014-03-15,99.5
2014-03-16,99.5
2014-03-17,99.5
2014-03-18,99.5
2014-03-19,99.5
2014-03-20,99.5
2014-03-21,99.5
2014-03-22,99.5
2014-03-23,99.5
2014-03-24,99.5
2014-03-25,99.5
2014-03-26,99.5
2014-03-27,99.5
2014-03-28,99.5
2014-03-29,99.5
2014-03-30,99.6
2014-03-31,99.6
2014-04-01,99.7
2014-04-02,99.7
2014-04-03,99.7
2014-04-04,99.7
2014-04-05,99.5
2014-04-06,99.3
2014-04-07,99.3
2014-04-08,99.3
2014-04-09,99.2
2014-04-10,99.2
2014-04-11,99.2
2014-04-12,99.2
2014-04-13,99.2
2014-04-14,99.2
2014-04-15,99.2
2014-04-16,99.2
2014-04-17,99.2
2014-04-18,99.2
2014-04-19,99.2
2014-04-20,99.2
2014-04-21,99.2
2014-04-22,99.2
2014-04-23,99.2
2014-04-24,99.2
2014-04-25,99.2
2014-04-26,99.2
2014-04-27,99.2
2014-04-28,99.5
2014-04-29,99.7
2014-04-30,99.7
2014-05-01,99.6
2014-05-02,99.5
2014-05-03,99.5
2014-05-04,99.4
2014-05-05,99.3
2014-05-06,99.2
2014-05-07,99.2
2014-05-08,99.2
2014-05-09,99.2
2014-05-10,99.2
2014-05-11,99.2
2014-05-12,99.2
2014-05-13,99.1
2014-05-14,99.0
2014-05-15,98.9
2014-05-16,98.7
2014-05-17,98.5
2014-05-18,98.3
2014-05-19,97.2
2014-05-20,95.6
2014-05-21,94.1
2014-05-22,92.8
2014-05-23,92.1
2014-05-24,91.4
2014-05-25,89.6
2014-05-26,87.4
2014-05-27,85.7
2014-05-28,84.1
2014-05-29,82.6
2014-05-30,81.2
2014-05-31,79.4
2014-06-01,78.3
2014-06-02,78.8
2014-06-03,79.9
2014-06-04,81.1
2014-06-05,81.6
2014-06-06,81.6
2014-06-07,81.6
2014-06-08,82.3
2014-06-09,83.9
2014-06-10,88.5
2014-06-11,93.9
2014-06-12,97.1
2014-06-13,98.8
2014-06-14,98.9
2014-06-15,99.0
2014-06-16,99.0
2014-06-17,99.0
2014-06-18,99.0
2014-06-19,99.0
2014-06-20,99.0
2014-06-21,99.0
2014-06-22,99.0
2014-06-23,99.0
2014-06-24,99.0
2014-06-25,99.0
2014-06-26,99.0
2014-06-27,99.0
2014-06-28,99.0
2014-06-29,99.1
2014-06-30,99.2
2014-07-01,99.5
2014-07-02,99.6
2014-07-03,99.7
2014-07-04,99.7
2014-07-05,99.7
2014-07-06,99.7
2014-07-07,99.5
2014-07-08,99.2
2014-07-09,99.1
2014-07-10,99.0
2014-07-11,99.0
2014-07-12,99.0
2014-07-13,98.9
2014-07-14,98.8
2014-07-15,98.6
2014-07-16,98.3
2014-07-17,98.1
2014-07-18,98.0
2014-07-19,98.0
2014-07-20,98.0
2014-07-21,97.8
2014-07-22,97.4
2014-07-23,96.9
2014-07-24,96.2
2014-07-25,95.8
2014-07-26,95.8
2014-07-27,95.8
2014-07-28,93.2
2014-07-29,89.9
2014-07-30,88.6
2014-07-31,88.0
2014-08-01,89.7
2014-08-02,93.5
2014-08-03,97.4
2014-08-04,99.3
2014-08-05,99.6
2014-08-06,99.7
2014-08-07,99.8
2014-08-08,99.8
2014-08-09,99.8
2014-08-10,99.8
2014-08-11,99.7
2014-08-12,99.7
2014-08-13,99.6
2014-08-14,99.5
2014-08-15,99.6
2014-08-16,99.7
2014-08-17,99.8
2014-08-18,99.9
2014-08-19,100.0
2014-08-20,100.0
2014-08-21,100.0
2014-08-22,100.0
2014-08-23,99.9
2014-08-24,99.9
2014-08-25,99.9
2014-08-26,99.8
2014-08-27,99.8
2014-08-28,99.8
2014-08-29,99.7
2014-08-30,99.4
2014-08-31,98.8
2014-09-01,98.0
2014-09-02,96.7
2014-09-03,95.8
2014-09-04,95.9
2014-09-05,96.0
2014-09-06,96.2
2014-09-07,96.4
2014-09-08,96.6
2014-09-09,96.8
2014-09-10,96.9
2014-09-11,97.0
2014-09-12,96.9
2014-09-13,96.5
2014-09-14,96.1
2014-09-15,95.6
2014-09-16,95.0
2014-09-17,94.3
2014-09-18,93.6
2014-09-19,93.2
2014-09-20,93.7
2014-09-21,94.9
2014-09-22,96.5
2014-09-23,98.0
2014-09-24,99.2
2014-09-25,99.7
2014-09-26,99.6
2014-09-27,99.5
2014-09-28,99.4
2014-09-29,99.3
2014-09-30,99.3
2014-10-01,99.2
2014-10-02,99.1
2014-10-03,99.0
2014-10-04,98.6
2014-10-05,97.8
2014-10-06,97.1
2014-10-07,96.4
2014-10-08,96.0
2014-10-09,96.0
2014-10-10,96.1
2014-10-11,96.3
2014-10-12,96.6
2014-10-13,96.9
2014-10-14,97.2
2014-10-15,98.2
2014-10-16,99.2
2014-10-17,99.4
2014-10-18,99.5
2014-10-19,99.6
2014-10-20,99.7
2014-10-21,99.9
2014-10-22,100.0
2014-10-23,100.0
2014-10-24,99.9
2014-10-25,99.9
2014-10-26,99.8
2014-10-27,99.8
2014-10-28,99.8
2014-10-29,99.8
2014-10-30,99.8
2014-10-31,99.8
2014-11-01,99.7
2014-11-02,99.7
2014-11-03,99.7
2014-11-04,99.7
2014-11-05,99.7
2014-11-06,99.7
2014-11-07,99.7
2014-11-08,99.7
2014-11-09,99.6
2014-11-10,99.6
2014-11-11,99.6
2014-11-12,99.5
2014-11-13,99.5
2014-11-14,99.5
2014-11-15,99.5
2014-11-16,99.5
2014-11-17,99.5
2014-11-18,99.6
2014-11-19,99.6
2014-11-20,99.6
2014-11-21,99.7
2014-11-22,99.7
2014-11-23,99.7
2014-11-24,99.8
2014-11-25,99.8
2014-11-26,99.8
2014-11-27,99.9
2014-11-28,99.9
2014-11-29,99.9
2014-11-30,99.9
2014-12-01,100.0
2014-12-02,100.0
2014-12-03,100.0
2014-12-04,100.0
2014-12-05,99.9
2014-12-06,99.8
2014-12-07,99.7
2014-12-08,99.6
2014-12-09,99.5
2014-12-10,99.5
2014-12-11,99.5
2014-12-12,99.5
2014-12-13,99.5
2014-12-14,99.5
2014-12-15,99.5
2014-12-16,99.5
2014-12-17,99.5
2014-12-18,99.5
2014-12-19,99.5
2014-12-20,99.5
2014-12-21,99.5
2014-12-22,99.5
2014-12-23,99.4
2014-12-24,99.4
2014-12-25,99.3
2014-12-26,99.3
2014-12-27,99.3
2014-12-28,99.3
2014-12-29,99.4
2014-12-30,99.4
2014-12-31,99.4
2015-01-01,99.4
2015-01-02,99.5
2015-01-03,99.5
2015-01-04,99.5
2015-01-05,99.5
2015-01-06,99.5
2015-01-07,99.5
2015-01-08,99.5
2015-01-09,99.4
2015-01-10,99.4
2015-01-11,99.4
2015-01-12,99.4
2015-01-13,99.3
2015-01-14,99.3
2015-01-15,99.3
2015-01-16,99.3
2015-01-17,99.3
2015-01-18,99.3
2015-01-19,99.3
2015-01-20,99.4
2015-01-21,99.4
2015-01-22,99.5
2015-01-23,99.5
2015-01-24,99.5
2015-01-25,99.5
2015-01-26,99.5
2015-01-27,99.5
2015-01-28,99.4
2015-01-29,99.4
2015-01-30,99.4
2015-01-31,99.4
2015-02-01,99.3
2015-02-02,99.3
2015-02-03,99.3
2015-02-04,99.3
2015-02-05,99.2
2015-02-06,99.2
2015-02-07,99.1
2015-02-08,99.0
2015-02-09,98.9
2015-02-10,98.8
2015-02-11,98.8
2015-02-12,98.7
2015-02-13,98.7
2015-02-14,98.7
2015-02-15,98.7
2015-02-16,98.7
2015-02-17,98.7
2015-02-18,98.8
2015-02-19,98.9
2015-02-20,99.1
2015-02-21,99.2
2015-02-22,99.3
2015-02-23,99.3
2015-02-24,99.3
2015-02-25,99.3
2015-02-26,99.3
2015-02-27,99.3
2015-02-28,99.3
2015-03-01,99.2
2015-03-02,99.2
2015-03-03,99.2
2015-03-04,99.2
2015-03-05,99.1
2015-03-06,99.1
2015-03-07,99.0
2015-03-08,98.9
2015-03-09,98.9
2015-03-10,98.8
2015-03-11,98.8
2015-03-12,98.8
2015-03-13,98.8
2015-03-14,99.0
2015-03-15,99.2
2015-03-16,99.3
2015-03-17,99.5
2015-03-18,99.7
2015-03-19,99.7
2015-03-20,99.7
2015-03-21,99.7
2015-03-22,99.6
2015-03-23,99.6
2015-03-24,99.5
2015-03-25,99.4
2015-03-26,99.3
2015-03-27,99.3
2015-03-28,99.3
2015-03-29,99.4
2015-03-30,99.4
2015-03-31,99.5
2015-04-01,99.5
2015-04-02,99.6
2015-04-03,99.6
2015-04-04,99.7
2015-04-05,99.7
2015-04-06,99.7
2015-04-07,99.7
2015-04-08,99.7
2015-04-09,99.7
2015-04-10,99.7
2015-04-11,99.7
2015-04-12,99.7
2015-04-13,99.7
2015-04-14,99.7
2015-04-15,99.7
2015-04-16,99.7
2015-04-17,99.7
2015-04-18,99.7
2015-04-19,99.7
2015-04-20,99.7
2015-04-21,99.7
2015-04-22,99.6
2015-04-23,99.6
2015-04-24,99.5
2015-04-25,99.4
2015-04-26,99.4
2015-04-27,99.3
2015-04-28,99.3
2015-04-29,99.3
2015-04-30,99.3
2015-05-01,99.2
2015-05-02,99.2
2015-05-03,99.2
2015-05-04,99.2
2015-05-05,99.1
2015-05-06,99.0
2015-05-07,98.7
2015-05-08,98.3
2015-05-09,97.7
2015-05-10,97.1
2015-05-11,96.3
2015-05-12,95.6
2015-05-13,94.9
2015-05-14,94.0
2015-05-15,93.4
2015-05-16,93.4
2015-05-17,93.4
2015-05-18,91.5
2015-05-19,89.0
2015-05-20,88.2
2015-05-21,87.7
2015-05-22,87.3
2015-05-23,86.6
2015-05-24,85.3
2015-05-25,83.6
2015-05-26,82.0
2015-05-27,80.8
2015-05-28,79.7
2015-05-29,78.6
2015-05-30,77.5
2015-05-31,76.5
