날짜,저수율
2014-01-01,100.0
2014-01-02,100.0
2014-01-03,100.0
2014-01-04,100.0
2014-01-05,100.0
2014-01-06,100.0
2014-01-07,100.0
2014-01-08,100.0
2014-01-09,100.0
2014-01-10,100.0
2014-01-11,100.0
2014-01-12,100.0
2014-01-13,100.0
2014-01-14,100.0
2014-01-15,100.0
2014-01-16,100.0
2014-01-17,100.0
2014-01-18,100.0
2014-01-19,100.0
2014-01-20,100.0
2014-01-21,100.0
2014-01-22,100.0
2014-01-23,100.0
2014-01-24,100.0
2014-01-25,100.0
2014-01-26,100.0
2014-01-27,100.0
2014-01-28,100.0
2014-01-29,100.0
2014-01-30,100.0
2014-01-31,100.0
2014-02-01,100.0
2014-02-02,100.0
2014-02-03,100.0
2014-02-04,100.0
2014-02-05,100.0
2014-02-06,100.0
2014-02-07,100.0
2014-02-08,100.0
2014-02-09,100.0
2014-02-10,100.0
2014-02-11,100.0
2014-02-12,100.0
2014-02-13,100.0
2014-02-14,100.0
2014-02-15,100.0
2014-02-16,100.0
2014-02-17,100.0
2014-02-18,100.0
2014-02-19,100.0
2014-02-20,100.0
2014-02-21,100.0
2014-02-22,100.0
2014-02-23,100.0
2014-02-24,100.0
2014-02-25,100.0
2014-02-26,100.0
2014-02-27,100.0
2014-02-28,100.0
2014-03-01,100.0
2014-03-02,100.0
2014-03-03,100.0
2014-03-04,100.0
2014-03-05,100.0
2014-03-06,100.0
2014-03-07,100.0
2014-03-08,100.0
2014-03-09,100.0
2014-03-10,100.0
2014-03-11,100.0
2014-03-12,100.0
2014-03-13,100.0
2014-03-14,100.0
2014-03-15,100.0
2014-03-16,100.0
2014-03-17,100.0
2014-03-18,100.0
2014-03-19,100.0
2014-03-20,100.0
2014-03-21,100.0
2014-03-22,100.0
2014-03-23,100.0
2014-03-24,100.0
2014-03-25,100.0
2014-03-26,100.0
2014-03-27,100.0
2014-03-28,100.0
2014-03-29,100.0
2014-03-30,100.0
2014-03-31,100.0
2014-04-01,100.0
2014-04-02,100.0
2014-04-03,100.0
2014-04-04,100.0
2014-04-05,100.0
2014-04-06,100.0
2014-04-07,100.0
2014-04-08,100.0
2014-04-09,100.0
2014-04-10,100.0
2014-04-11,100.0
2014-04-12,100.0
2014-04-13,100.0
2014-04-14,100.0
2014-04-15,100.0
2014-04-16,100.0
2014-04-17,100.0
2014-04-18,100.0
2014-04-19,100.0
2014-04-20,100.0
2014-04-21,100.0
2014-04-22,100.0
2014-04-23,100.0
2014-04-24,99.3
2014-04-25,98.5
2014-04-26,98.5
2014-04-27,98.5
2014-04-28,98.5
2014-04-29,99.3
2014-04-30,100.0
2014-05-01,100.0
2014-05-02,100.0
2014-05-03,100.0
2014-05-04,99.9
2014-05-05,99.9
2014-05-06,99.9
2014-05-07,99.8
2014-05-08,99.5
2014-05-09,99.3
2014-05-10,99.4
2014-05-11,99.7
2014-05-12,99.9
2014-05-13,100.0
2014-05-14,100.0
2014-05-15,99.9
2014-05-16,99.8
2014-05-17,99.6
2014-05-18,99.3
2014-05-19,97.8
2014-05-20,95.1
2014-05-21,91.4
2014-05-22,87.9
2014-05-23,86.1
2014-05-24,84.5
2014-05-25,82.1
2014-05-26,79.6
2014-05-27,77.3
2014-05-28,75.5
2014-05-29,74.8
2014-05-30,74.0
2014-05-31,71.7
2014-06-01,69.8
2014-06-02,69.7
2014-06-03,69.6
2014-06-04,69.5
2014-06-05,69.3
2014-06-06,68.4
2014-06-07,66.8
2014-06-08,65.6
2014-06-09,65.2
2014-06-10,64.8
2014-06-11,63.7
2014-06-12,62.9
2014-06-13,62.9
2014-06-14,62.9
2014-06-15,62.6
2014-06-16,62.0
2014-06-17,61.1
2014-06-18,60.1
2014-06-19,59.3
2014-06-20,58.5
2014-06-21,57.7
2014-06-22,56.9
2014-06-23,56.5
2014-06-24,56.4
2014-06-25,56.3
2014-06-26,55.7
2014-06-27,54.8
2014-06-28,53.9
2014-06-29,53.0
2014-06-30,52.1
2014-07-01,51.0
2014-07-02,50.4
2014-07-03,50.4
2014-07-04,50.5
2014-07-05,50.7
2014-07-06,50.9
2014-07-07,51.2
2014-07-08,51.9
2014-07-09,52.7
2014-07-10,53.2
2014-07-11,53.7
2014-07-12,54.2
2014-07-13,54.7
2014-07-14,55.1
2014-07-15,55.3
2014-07-16,55.4
2014-07-17,55.6
2014-07-18,55.9
2014-07-19,56.2
2014-07-20,56.4
2014-07-21,56.6
