날짜,저수율
2020-02-28,100.0
2020-02-29,100.0
2020-03-01,100.0
2020-03-02,100.0
2020-03-03,100.0
2020-03-04,100.0
2020-03-05,100.0
2020-03-06,100.0
2020-03-07,100.0
2020-03-08,100.0
2020-03-09,100.0
2020-03-10,100.0
2020-03-11,100.0
2020-03-12,100.0
2020-03-13,100.0
2020-03-14,100.0
2020-03-15,100.0
2020-03-16,100.0
2020-03-17,100.0
2020-03-18,100.0
2020-03-19,100.0
2020-03-20,100.0
2020-03-21,100.0
2020-03-22,100.0
2020-03-23,100.0
2020-03-24,100.0
2020-03-25,100.0
2020-03-26,100.0
2020-03-27,100.0
2020-03-28,100.0
2020-03-29,100.0
2020-03-30,100.0
2020-03-31,100.0
2020-04-01,100.0
2020-04-02,100.0
2020-04-03,100.0
2020-04-04,100.0
2020-04-05,100.0
2020-04-06,100.0
2020-04-07,100.0
2020-04-08,100.0
2020-04-09,100.0
2020-04-10,100.0
2020-04-11,100.0
2020-04-12,100.0
2020-04-13,100.0
2020-04-14,100.0
2020-04-15,100.0
2020-04-16,100.0
2020-04-17,100.0
2020-04-18,100.0
2020-04-19,100.0
2020-04-20,100.0
2020-04-21,100.0
2020-04-22,100.0
2020-04-23,100.0
2020-04-24,100.0
2020-04-25,100.0
2020-04-26,100.0
2020-04-27,100.0
2020-04-28,100.0
2020-04-29,100.0
2020-04-30,100.0
2020-05-01,100.0
2020-05-02,100.0
2020-05-03,100.0
2020-05-04,100.0
2020-05-05,100.0
2020-05-06,98.0
2020-05-07,98.0
2020-05-08,98.0
2020-05-09,98.0
2020-05-10,98.0
2020-05-11,98.0
2020-05-12,98.0
2020-05-13,98.0
2020-05-14,98.0
2020-05-15,98.0
2020-05-16,98.0
2020-05-17,98.0
2020-05-18,98.0
2020-05-19,98.0
2020-05-20,98.0
2020-05-21,98.0
2020-05-22,98.0
2020-05-23,98.0
2020-05-24,98.0
2020-05-25,98.0
2020-05-26,98.0
2020-05-27,98.0
2020-05-28,98.0
2020-05-29,98.0
2020-05-30,98.0
2020-05-31,98.0
2020-06-01,98.0
2020-06-02,98.0
2020-06-03,98.0
2020-06-04,98.0
2020-06-05,98.0
2020-06-06,98.0
2020-06-07,98.0
2020-06-08,98.0
2020-06-09,98.0
2020-06-10,98.0
2020-06-11,98.0
2020-06-12,98.0
2020-06-13,98.0
2020-06-14,98.0
2020-06-15,98.0
2020-06-16,98.0
2020-06-17,98.0
2020-06-18,98.0
2020-06-19,98.0
2020-06-20,98.0
2020-06-21,98.0
2020-06-22,98.0
2020-06-23,98.0
2020-06-24,98.0
2020-06-25,98.0
2020-06-26,98.0
2020-06-27,98.0
2020-06-28,98.0
2020-06-29,98.0
2020-06-30,98.0
2020-07-01,98.0
2020-07-02,98.0
2020-07-03,98.0
2020-07-04,98.0
2020-07-05,98.0
2020-07-06,98.0
2020-07-07,98.0
2020-07-08,98.0
2020-07-09,98.0
2020-07-10,98.0
2020-07-11,98.0
2020-07-12,98.0
2020-07-13,98.0
2020-07-14,98.0
2020-07-15,98.0
2020-07-16,98.0
2020-07-17,98.0
2020-07-18,98.0
2020-07-19,98.0
2020-07-20,98.0
2020-07-21,98.0
2020-07-22,98.0
2020-07-23,98.0
2020-07-24,100.0
2020-07-25,100.0
2020-07-26,100.0
2020-07-27,98.0
2020-07-28,98.0
2020-07-29,96.0
2020-07-30,96.0
2020-07-31,96.0
2020-08-01,96.0
2020-08-02,96.0
2020-08-03,96.0
2020-08-04,96.0
2020-08-05,96.0
2020-08-06,96.0
2020-08-07,96.0
2020-08-08,96.0
2020-08-09,96.0
2020-08-10,86.0
2020-08-11,86.0
2020-08-12,86.0
2020-08-13,86.0
2020-08-14,86.0
2020-08-15,86.0
2020-08-16,86.0
2020-08-17,86.0
2020-08-18,86.0
2020-08-19,86.0
2020-08-20,86.0
2020-08-21,86.0
2020-08-22,86.0
2020-08-23,86.0
2020-08-24,86.0
2020-08-25,86.0
2020-08-26,85.5
2020-08-27,82.5
2020-08-28,82.5
2020-08-29,82.5
2020-08-30,82.5
2020-08-31,82.5
2020-09-01,60.5
2020-09-02,60.5
2020-09-03,70.2
2020-09-04,70.2
2020-09-05,70.2
2020-09-06,70.2
2020-09-07,98.8
2020-09-08,98.8
2020-09-09,94.8
2020-09-10,90.6
2020-09-11,90.6
2020-09-12,90.6
2020-09-13,90.6
2020-09-14,86.4
2020-09-15,83.4
2020-09-16,80.4
2020-09-17,78.4
2020-09-18,78.4
2020-09-19,78.4
2020-09-20,78.4
2020-09-21,78.4
2020-09-22,78.4
2020-09-23,78.4
2020-09-24,78.4
2020-09-25,76.4
2020-09-26,76.4
2020-09-27,76.4
2020-09-28,74.4
2020-09-29,74.4
2020-09-30,74.4
2020-10-01,74.4
2020-10-02,74.4
2020-10-03,74.4
2020-10-04,74.4
2020-10-05,74.4
2020-10-06,74.0
2020-10-07,74.0
2020-10-08,74.0
2020-10-09,74.0
2020-10-10,74.0
2020-10-11,74.0
2020-10-12,74.0
2020-10-13,74.0
2020-10-14,74.0
2020-10-15,74.0
2020-10-16,74.0
2020-10-17,74.0
