날짜,저수율
2014-01-01,32.1
2014-01-02,32.1
2014-01-03,32.1
2014-01-04,32.1
2014-01-05,32.1
2014-01-06,32.1
2014-01-07,32.1
2014-01-08,32.1
2014-01-09,32.1
2014-01-10,32.1
2014-01-11,32.1
2014-01-12,32.1
2014-01-13,32.1
2014-01-14,32.2
2014-01-15,32.4
2014-01-16,32.6
2014-01-17,32.8
2014-01-18,32.9
2014-01-19,33.0
2014-01-20,33.1
2014-01-21,33.3
2014-01-22,33.4
2014-01-23,33.6
2014-01-24,33.7
2014-01-25,33.8
2014-01-26,34.1
2014-01-27,34.4
2014-01-28,34.6
2014-01-29,34.7
2014-01-30,34.8
2014-01-31,34.9
2014-02-01,35.1
2014-02-02,35.2
2014-02-03,35.4
2014-02-04,35.6
2014-02-05,35.7
2014-02-06,35.9
2014-02-07,36.0
2014-02-08,36.1
2014-02-09,36.3
2014-02-10,36.4
2014-02-11,36.5
2014-02-12,36.7
2014-02-13,36.8
2014-02-14,36.8
2014-02-15,36.8
2014-02-16,36.8
2014-02-17,36.9
2014-02-18,37.0
2014-02-19,37.2
2014-02-20,37.4
2014-02-21,37.6
2014-02-22,37.8
2014-02-23,37.9
2014-02-24,38.0
2014-02-25,38.2
2014-02-26,38.5
2014-02-27,39.0
2014-02-28,40.2
2014-03-01,41.2
2014-03-02,41.4
2014-03-03,41.5
2014-03-04,41.6
2014-03-05,41.6
2014-03-06,41.7
2014-03-07,41.7
2014-03-08,41.8
2014-03-09,41.9
2014-03-10,42.0
2014-03-11,42.1
2014-03-12,42.4
2014-03-13,43.5
2014-03-14,44.5
2014-03-15,44.6
2014-03-16,44.7
2014-03-17,45.0
2014-03-18,45.4
2014-03-19,45.6
2014-03-20,45.8
2014-03-21,45.9
2014-03-22,45.9
2014-03-23,46.0
2014-03-24,46.1
2014-03-25,46.7
2014-03-26,47.6
2014-03-27,48.5
2014-03-28,49.4
2014-03-29,50.0
2014-03-30,50.5
2014-03-31,50.9
2014-04-01,51.2
2014-04-02,51.5
2014-04-03,51.7
2014-04-04,51.8
2014-04-05,51.9
2014-04-06,52.1
2014-04-07,52.2
2014-04-08,52.3
2014-04-09,52.4
2014-04-10,52.4
2014-04-11,52.5
2014-04-12,52.6
2014-04-13,52.9
2014-04-14,53.1
2014-04-15,53.1
2014-04-16,53.2
2014-04-17,53.5
2014-04-18,53.9
2014-04-19,54.0
2014-04-20,54.1
2014-04-21,54.2
2014-04-22,54.3
2014-04-23,54.5
2014-04-24,54.7
2014-04-25,55.0
2014-04-26,55.3
2014-04-27,55.7
2014-04-28,56.2
2014-04-29,57.3
2014-04-30,58.6
2014-05-01,59.4
2014-05-02,59.9
2014-05-03,60.2
2014-05-04,60.4
2014-05-05,60.3
2014-05-06,60.2
2014-05-07,60.0
2014-05-08,59.7
2014-05-09,59.3
2014-05-10,58.9
2014-05-11,58.4
2014-05-12,57.9
2014-05-13,57.1
2014-05-14,56.0
2014-05-15,54.4
2014-05-16,52.4
2014-05-17,50.1
2014-05-18,48.0
2014-05-19,46.7
2014-05-20,45.8
2014-05-21,45.3
2014-05-22,44.8
2014-05-23,44.2
2014-05-24,43.5
2014-05-25,42.5
2014-05-26,41.5
2014-05-27,40.5
2014-05-28,39.6
2014-05-29,39.0
2014-05-30,38.4
2014-05-31,37.8
2014-06-01,37.3
2014-06-02,36.6
2014-06-03,36.2
2014-06-04,36.2
