날짜,저수율
2014-01-01,67.2
2014-01-02,67.2
2014-01-03,67.2
2014-01-04,67.2
2014-01-05,67.2
2014-01-06,67.2
2014-01-07,67.3
2014-01-08,67.5
2014-01-09,67.8
2014-01-10,68.0
2014-01-11,68.0
2014-01-12,68.0
2014-01-13,68.1
2014-01-14,68.5
2014-01-15,68.8
2014-01-16,68.9
2014-01-17,68.9
2014-01-18,68.8
2014-01-19,68.7
2014-01-20,68.6
2014-01-21,68.5
2014-01-22,68.4
2014-01-23,68.4
2014-01-24,68.3
2014-01-25,68.2
2014-01-26,68.2
2014-01-27,68.1
2014-01-28,68.0
2014-01-29,67.9
2014-01-30,67.8
2014-01-31,67.8
2014-02-01,67.7
2014-02-02,67.7
2014-02-03,67.7
2014-02-04,67.7
2014-02-05,67.7
2014-02-06,67.8
2014-02-07,67.8
2014-02-08,67.9
2014-02-09,68.0
2014-02-10,68.0
2014-02-11,68.0
2014-02-12,68.1
2014-02-13,68.1
2014-02-14,68.1
2014-02-15,68.2
2014-02-16,68.2
2014-02-17,68.3
2014-02-18,68.3
2014-02-19,68.3
2014-02-20,68.4
2014-02-21,68.5
2014-02-22,68.5
2014-02-23,68.6
2014-02-24,68.6
2014-02-25,68.7
2014-02-26,68.8
2014-02-27,68.8
2014-02-28,68.8
2014-03-01,68.9
2014-03-02,68.9
2014-03-03,68.9
2014-03-04,68.9
2014-03-05,68.8
2014-03-06,68.6
2014-03-07,68.6
2014-03-08,68.7
2014-03-09,69.0
2014-03-10,69.5
2014-03-11,69.9
2014-03-12,70.4
2014-03-13,70.7
2014-03-14,70.9
2014-03-15,71.1
2014-03-16,71.3
2014-03-17,71.4
2014-03-18,71.6
2014-03-19,71.8
2014-03-20,72.1
2014-03-21,72.4
2014-03-22,72.7
2014-03-23,73.1
2014-03-24,73.6
2014-03-25,74.1
2014-03-26,74.6
2014-03-27,75.3
2014-03-28,76.2
2014-03-29,77.5
2014-03-30,79.0
2014-03-31,80.0
2014-04-01,80.4
2014-04-02,80.7
2014-04-03,80.9
2014-04-04,81.0
2014-04-05,80.9
2014-04-06,80.8
2014-04-07,80.7
2014-04-08,80.5
2014-04-09,80.4
2014-04-10,80.3
2014-04-11,80.3
2014-04-12,80.2
2014-04-13,80.2
2014-04-14,80.1
2014-04-15,80.1
2014-04-16,80.1
2014-04-17,80.0
2014-04-18,80.0
2014-04-19,80.0
2014-04-20,80.0
2014-04-21,80.0
2014-04-22,80.0
2014-04-23,78.8
2014-04-24,77.5
2014-04-25,77.6
2014-04-26,77.7
2014-04-27,78.0
2014-04-28,78.4
2014-04-29,79.6
2014-04-30,80.7
2014-05-01,80.9
2014-05-02,81.0
2014-05-03,81.0
2014-05-04,81.0
2014-05-05,81.0
2014-05-06,81.0
2014-05-07,79.3
2014-05-08,77.5
2014-05-09,77.6
2014-05-10,78.0
2014-05-11,78.3
2014-05-12,78.4
2014-05-13,78.4
2014-05-14,78.2
2014-05-15,78.0
2014-05-16,77.8
2014-05-17,77.4
2014-05-18,76.8
2014-05-19,76.0
2014-05-20,75.2
2014-05-21,74.6
2014-05-22,74.0
2014-05-23,73.1
2014-05-24,71.9
2014-05-25,69.9
2014-05-26,67.5
2014-05-27,65.0
2014-05-28,62.5
2014-05-29,60.2
2014-05-30,57.9
2014-05-31,54.8
2014-06-01,52.4
2014-06-02,51.3
2014-06-03,50.8
2014-06-04,50.8
2014-06-05,50.8
2014-06-06,50.8
2014-06-07,50.8
2014-06-08,48.1
2014-06-09,44.7
2014-06-10,43.6
2014-06-11,42.8
2014-06-12,41.7
2014-06-13,41.0
2014-06-14,41.0
2014-06-15,41.0
2014-06-16,38.7
2014-06-17,35.6
2014-06-18,34.1
2014-06-19,33.0
2014-06-20,32.1
2014-06-21,31.4
2014-06-22,30.8
2014-06-23,30.4
2014-06-24,30.1
2014-06-25,30.0
2014-06-26,30.0
2014-06-27,30.1
2014-06-28,30.2
2014-06-29,30.3
2014-06-30,30.5
2014-07-01,30.7
2014-07-02,31.0
2014-07-03,31.4
2014-07-04,33.5
2014-07-05,37.0
2014-07-06,41.5
2014-07-07,45.2
2014-07-08,46.6
2014-07-09,47.4
2014-07-10,48.0
2014-07-11,48.5
2014-07-12,49.2
2014-07-13,49.9
2014-07-14,50.6
2014-07-15,51.1
2014-07-16,51.9
2014-07-17,57.6
2014-07-18,67.0
2014-07-19,78.3
2014-07-20,90.5
2014-07-21,96.2
2014-07-22,96.2
2014-07-23,96.2
2014-07-24,96.2
2014-07-25,96.2
2014-07-26,96.2
2014-07-27,96.2
2014-07-28,96.2
2014-07-29,96.2
2014-07-30,95.8
2014-07-31,95.2
2014-08-01,94.8
2014-08-02,94.5
2014-08-03,94.2
2014-08-04,93.9
2014-08-05,93.6
2014-08-06,93.0
2014-08-07,88.9
2014-08-08,83.9
2014-08-09,81.6
2014-08-10,80.0
2014-08-11,78.8
2014-08-12,77.9
2014-08-13,77.5
2014-08-14,77.8
2014-08-15,78.8
2014-08-16,80.4
2014-08-17,82.5
2014-08-18,85.0
2014-08-19,92.8
2014-08-20,99.3
2014-08-21,99.5
2014-08-22,99.7
2014-08-23,99.8
2014-08-24,99.9
2014-08-25,100.0
2014-08-26,100.0
2014-08-27,100.0
2014-08-28,100.0
2014-08-29,100.0
2014-08-30,99.9
2014-08-31,99.9
2014-09-01,99.8
2014-09-02,99.8
2014-09-03,99.7
2014-09-04,99.4
2014-09-05,98.6
2014-09-06,97.5
2014-09-07,96.2
2014-09-08,94.7
2014-09-09,93.1
2014-09-10,91.5
2014-09-11,90.0
2014-09-12,88.4
2014-09-13,86.7
2014-09-14,84.9
2014-09-15,83.3
2014-09-16,81.7
2014-09-17,80.4
2014-09-18,79.7
2014-09-19,79.4
2014-09-20,79.6
2014-09-21,80.1
2014-09-22,80.8
2014-09-23,81.6
2014-09-24,82.3
2014-09-25,83.3
2014-09-26,83.9
2014-09-27,83.9
2014-09-28,83.9
2014-09-29,81.9
2014-09-30,79.1
2014-10-01,77.8
2014-10-02,76.8
2014-10-03,76.1
2014-10-04,75.6
2014-10-05,75.2
2014-10-06,74.6
2014-10-07,73.7
2014-10-08,73.0
2014-10-09,72.7
2014-10-10,72.6
2014-10-11,72.5
2014-10-12,72.3
2014-10-13,72.1
2014-10-14,71.6
2014-10-15,71.0
2014-10-16,70.6
2014-10-17,70.4
2014-10-18,70.4
2014-10-19,70.4
2014-10-20,70.4
2014-10-21,79.1
2014-10-22,90.0
2014-10-23,94.0
2014-10-24,95.9
2014-10-25,96.0
2014-10-26,96.1
2014-10-27,96.1
2014-10-28,96.2
2014-10-29,96.4
2014-10-30,96.6
2014-10-31,97.1
2014-11-01,97.7
2014-11-02,98.3
2014-11-03,98.6
2014-11-04,98.6
2014-11-05,98.5
2014-11-06,98.4
2014-11-07,98.3
2014-11-08,98.0
2014-11-09,97.6
2014-11-10,97.2
2014-11-11,96.9
2014-11-12,96.6
2014-11-13,96.4
2014-11-14,96.2
2014-11-15,95.9
2014-11-16,95.6
2014-11-17,95.2
2014-11-18,94.7
2014-11-19,94.2
2014-11-20,93.5
2014-11-21,93.0
2014-11-22,94.1
2014-11-23,96.5
2014-11-24,98.9
2014-11-25,100.0
2014-11-26,100.0
2014-11-27,100.0
2014-11-28,100.0
2014-11-29,100.0
2014-11-30,100.0
2014-12-01,100.0
2014-12-02,100.0
2014-12-03,100.0
2014-12-04,100.0
2014-12-05,100.0
2014-12-06,100.0
2014-12-07,100.0
2014-12-08,100.0
2014-12-09,100.0
2014-12-10,100.0
2014-12-11,100.0
2014-12-12,100.0
2014-12-13,100.0
2014-12-14,100.0
2014-12-15,100.0
2014-12-16,100.0
2014-12-17,100.0
2014-12-18,100.0
2014-12-19,100.0
2014-12-20,100.0
2014-12-21,100.0
2014-12-22,100.0
2014-12-23,100.0
2014-12-24,100.0
2014-12-25,100.0
2014-12-26,100.0
2014-12-27,100.0
2014-12-28,100.0
2014-12-29,100.0
2014-12-30,100.0
2014-12-31,100.0
2015-01-01,100.0
2015-01-02,100.0
2015-01-03,100.0
2015-01-04,100.0
2015-01-05,100.0
2015-01-06,100.0
2015-01-07,100.0
2015-01-08,100.0
2015-01-09,100.0
2015-01-10,100.0
2015-01-11,100.0
2015-01-12,100.0
2015-01-13,100.0
2015-01-14,100.0
2015-01-15,100.0
2015-01-16,100.0
2015-01-17,100.0
2015-01-18,100.0
2015-01-19,100.0
2015-01-20,100.0
2015-01-21,100.0
2015-01-22,100.0
2015-01-23,100.0
2015-01-24,100.0
2015-01-25,100.0
2015-01-26,100.0
2015-01-27,100.0
2015-01-28,100.0
2015-01-29,100.0
2015-01-30,100.0
2015-01-31,100.0
2015-02-01,100.0
2015-02-02,100.0
2015-02-03,100.0
2015-02-04,100.0
2015-02-05,100.0
2015-02-06,100.0
2015-02-07,100.0
2015-02-08,100.0
2015-02-09,100.0
2015-02-10,100.0
2015-02-11,100.0
2015-02-12,100.0
2015-02-13,100.0
2015-02-14,100.0
2015-02-15,100.0
2015-02-16,100.0
2015-02-17,100.0
2015-02-18,100.0
