날짜,저수율
2022-01-01,22.1
2022-01-02,22.1
2022-01-03,22.1
2022-01-04,22.1
2022-01-05,22.1
2022-01-06,22.1
2022-01-07,22.1
2022-01-08,22.1
2022-01-09,22.1
2022-01-10,22.1
2022-01-11,22.1
2022-01-12,22.1
2022-01-13,22.1
2022-01-14,22.1
2022-01-15,22.1
2022-01-16,22.1
2022-01-17,22.1
2022-01-18,22.1
2022-01-19,22.1
2022-01-20,22.1
2022-01-21,22.1
2022-01-22,22.1
2022-01-23,22.1
2022-01-24,22.1
2022-01-25,22.1
2022-01-26,22.1
2022-01-27,22.1
2022-01-29,22.1
2022-01-30,22.1
2022-01-31,22.1
2022-02-01,22.1
2022-02-02,22.1
2022-02-03,22.1
2022-02-04,22.1
2022-02-05,22.1
2022-02-06,22.1
2022-02-07,22.1
2022-02-08,22.1
2022-02-09,22.1
2022-02-10,22.1
2022-02-11,22.1
2022-02-12,22.1
2022-02-13,22.1
2022-02-14,22.1
2022-02-15,22.1
2022-02-16,22.1
2022-02-17,22.1
2022-02-18,22.1
2022-02-19,22.1
2022-02-20,22.1
2022-02-21,22.1
2022-02-22,22.1
2022-02-23,22.1
2022-02-24,22.1
2022-02-25,22.1
2022-02-26,22.1
2022-02-27,22.1
2022-02-28,22.1
2022-03-01,22.1
2022-03-02,22.1
2022-03-03,22.1
2022-03-04,22.1
2022-03-05,22.1
2022-03-06,22.1
2022-03-07,22.1
2022-03-08,22.1
2022-03-09,22.1
2022-03-10,22.1
2022-03-11,22.1
2022-03-12,22.1
2022-03-13,22.1
2022-03-14,22.1
2022-03-15,22.1
2022-03-16,22.1
2022-03-17,22.1
2022-03-18,22.1
2022-03-19,22.1
2022-03-20,22.1
2022-03-21,22.1
2022-03-22,22.1
2022-03-23,22.1
2022-03-24,22.1
2022-03-25,22.1
2022-03-26,22.1
2022-03-27,22.1
2022-03-28,22.1
2022-03-29,22.1
2022-03-30,22.1
2022-03-31,22.1
2022-04-01,22.1
2022-04-02,22.1
2022-04-03,22.1
2022-04-04,22.1
2022-04-05,22.1
2022-04-06,22.1
2022-04-07,22.1
2022-04-08,22.1
2022-04-09,22.1
2022-04-10,22.1
2022-04-11,22.1
2022-04-12,22.1
2022-04-13,22.1
2022-04-14,22.1
2022-04-15,22.1
2022-04-16,22.1
2022-04-17,22.1
2022-04-18,22.1
2022-04-19,22.1
2022-04-20,22.1
2022-04-21,22.1
2022-04-22,22.1
2022-04-23,22.1
2022-04-24,22.1
2022-04-25,22.1
2022-04-26,22.1
2022-04-27,22.1
2022-04-28,22.1
2022-04-29,22.1
2022-04-30,22.1
2022-05-01,22.1
2022-05-02,22.1
2022-05-03,22.1
2022-05-04,22.1
2022-05-05,22.1
2022-05-06,22.1
2022-05-07,22.1
2022-05-08,22.1
2022-05-09,22.1
2022-05-10,22.1
2022-05-11,22.1
2022-05-12,22.1
2022-05-13,22.1
2022-05-14,22.1
2022-05-15,22.1
2022-05-16,22.1
2022-05-17,22.1
2022-05-18,22.1
2022-05-19,22.1
2022-05-20,22.1
2022-05-21,22.1
2022-05-22,22.1
2022-05-23,22.1
2022-05-24,22.1
2022-05-25,22.1
2022-05-26,22.1
2022-05-27,22.1
2022-05-28,22.1
2022-05-29,22.1
2022-05-30,22.1
2022-05-31,22.1
2022-06-01,22.1
2022-06-02,22.1
2022-06-03,22.1
2022-06-04,22.1
2022-06-05,22.1
2022-06-06,22.1
2022-06-07,22.1
2022-06-08,22.1
2022-06-09,22.1
2022-06-10,22.1
2022-06-11,22.1
2022-06-12,22.1
2022-06-13,22.1
2022-06-14,22.1
2022-06-15,22.1
2022-06-16,22.1
2022-06-17,22.1
2022-06-18,22.1
2022-06-19,22.1
2022-06-20,22.1
2022-06-21,22.1
2022-06-22,22.1
2022-06-23,22.1
2022-06-24,22.1
2022-06-25,22.1
2022-06-26,22.1
2022-06-27,22.1
2022-06-28,22.1
2022-06-29,22.1
2022-06-30,22.1
2022-07-01,22.1
2022-07-02,22.1
2022-07-03,22.1
2022-07-04,22.1
2022-07-05,22.1
2022-07-06,22.1
2022-07-07,22.1
2022-07-08,22.1
2022-07-09,22.1
2022-07-10,22.1
2022-07-11,22.1
2022-07-12,22.1
