날짜,저수율
2014-01-01,7.5
2014-01-02,7.3
2014-01-03,7.2
2014-01-04,7.2
2014-01-05,7.2
2014-01-06,5.8
2014-01-07,4.0
2014-01-08,3.2
2014-01-09,2.5
2014-01-10,2.0
2014-01-11,1.6
2014-01-12,1.2
2014-01-13,0.9
2014-01-14,0.7
2014-01-15,0.6
2014-01-16,0.5
2014-01-17,0.4
2014-01-18,0.4
2014-01-19,0.3
2014-01-20,0.3
2014-01-21,0.3
2014-01-22,0.3
2014-01-23,0.3
2014-01-24,0.3
2014-01-25,0.3
2014-01-26,0.3
2014-01-27,0.4
2014-01-28,0.6
2014-01-29,0.7
2014-01-30,0.7
2014-01-31,0.8
2014-02-01,0.8
2014-02-02,0.9
2014-02-03,0.9
2014-02-04,1.0
2014-02-05,1.0
2014-02-06,1.0
2014-02-07,1.1
2014-02-08,1.1
2014-02-09,1.2
2014-02-10,1.2
2014-02-11,1.2
2014-02-12,1.3
2014-02-13,1.3
2014-02-14,1.3
2014-02-15,1.3
2014-02-16,1.4
2014-02-17,1.4
2014-02-18,1.4
2014-02-19,1.5
2014-02-20,3.3
2014-02-21,5.0
2014-02-22,5.0
2014-02-23,5.0
2014-02-24,5.0
2014-02-25,5.0
2014-02-26,5.0
2014-02-27,5.0
2014-02-28,5.0
2014-03-01,5.0
2014-03-02,5.0
2014-03-03,5.0
2014-03-04,5.0
2014-03-05,5.0
2014-03-06,5.0
2014-03-07,5.0
2014-03-08,5.0
2014-03-09,5.0
2014-03-10,5.0
2014-03-11,5.0
2014-03-12,5.0
2014-03-13,5.0
2014-03-14,5.0
2014-03-15,5.1
2014-03-16,5.3
2014-03-17,5.5
2014-03-18,5.7
2014-03-19,6.2
2014-03-20,6.8
2014-03-21,7.1
2014-03-22,7.4
2014-03-23,7.7
2014-03-24,8.2
2014-03-25,9.1
2014-03-26,10.4
2014-03-27,12.4
2014-03-28,15.2
2014-03-29,18.3
2014-03-30,20.9
2014-03-31,22.7
2014-04-01,23.8
2014-04-02,24.3
