날짜,저수율
2014-01-01,90.3
2014-01-02,90.5
2014-01-03,90.7
2014-01-04,90.9
2014-01-05,91.0
2014-01-06,91.1
2014-01-07,91.2
2014-01-08,91.2
2014-01-09,91.3
2014-01-10,91.3
2014-01-11,91.4
2014-01-12,91.4
2014-01-13,91.5
2014-01-14,91.5
2014-01-15,91.5
2014-01-16,91.5
2014-01-17,91.6
2014-01-18,91.6
2014-01-19,91.6
2014-01-20,91.6
2014-01-21,91.7
2014-01-22,91.9
2014-01-23,92.0
2014-01-24,92.1
2014-01-25,92.3
2014-01-26,92.4
2014-01-27,92.4
2014-01-28,92.4
2014-01-29,92.4
2014-01-30,92.4
2014-01-31,92.4
2014-02-01,92.4
2014-02-02,92.4
2014-02-03,92.8
2014-02-04,93.2
2014-02-05,93.2
2014-02-06,93.2
2014-02-07,93.2
2014-02-08,93.2
2014-02-09,93.2
2014-02-10,93.5
2014-02-11,93.8
2014-02-12,93.9
2014-02-13,93.9
2014-02-14,93.9
2014-02-15,93.9
2014-02-16,94.0
2014-02-17,94.0
2014-02-18,94.1
2014-02-19,94.2
2014-02-20,94.3
2014-02-21,94.3
2014-02-22,94.3
2014-02-23,94.3
2014-02-24,94.4
2014-02-25,94.5
2014-02-26,94.6
2014-02-27,94.7
2014-02-28,94.7
2014-03-01,94.7
2014-03-02,94.7
2014-03-03,94.8
2014-03-04,94.9
2014-03-05,95.0
2014-03-06,95.0
2014-03-07,95.0
2014-03-08,95.1
2014-03-09,95.1
2014-03-10,95.1
2014-03-11,95.3
2014-03-12,95.7
2014-03-13,96.1
2014-03-14,96.5
2014-03-15,96.7
2014-03-16,96.8
2014-03-17,96.8
2014-03-18,96.9
2014-03-19,97.0
2014-03-20,97.0
2014-03-21,97.1
2014-03-22,97.2
2014-03-23,97.2
2014-03-24,97.3
2014-03-25,97.5
2014-03-26,97.7
2014-03-27,97.8
2014-03-28,97.9
2014-03-29,98.2
2014-03-30,98.5
2014-03-31,98.8
2014-04-01,98.9
2014-04-02,99.0
2014-04-03,99.3
2014-04-04,99.6
2014-04-05,99.8
2014-04-06,99.9
2014-04-07,100.0
2014-04-08,100.0
2014-04-09,99.9
2014-04-10,99.8
2014-04-11,99.6
2014-04-12,99.5
2014-04-13,99.3
2014-04-14,99.2
2014-04-15,99.1
2014-04-16,99.0
2014-04-17,99.0
2014-04-18,98.9
2014-04-19,98.9
2014-04-20,98.8
2014-04-21,98.2
2014-04-22,97.7
2014-04-23,97.7
2014-04-24,97.7
2014-04-25,97.7
2014-04-26,97.8
2014-04-27,97.8
2014-04-28,97.9
2014-04-29,98.2
2014-04-30,98.6
2014-05-01,98.7
2014-05-02,98.8
2014-05-03,98.7
2014-05-04,98.5
2014-05-05,98.2
2014-05-06,97.9
2014-05-07,97.7
2014-05-08,97.5
2014-05-09,97.3
2014-05-10,96.9
2014-05-11,96.2
2014-05-12,95.3
2014-05-13,93.6
2014-05-14,91.6
2014-05-15,90.0
2014-05-16,88.4
2014-05-17,86.6
2014-05-18,84.9
2014-05-19,83.4
2014-05-20,82.2
2014-05-21,81.2
2014-05-22,80.4
2014-05-23,80.0
2014-05-24,79.5
2014-05-25,78.6
2014-05-26,77.6
2014-05-27,77.0
2014-05-28,76.5
2014-05-29,75.8
2014-05-30,74.9
2014-05-31,73.6
2014-06-01,72.6
2014-06-02,72.3
2014-06-03,72.1
2014-06-04,71.7
2014-06-05,71.1
2014-06-06,70.4
2014-06-07,69.5
2014-06-08,68.7
2014-06-09,68.1
2014-06-10,67.6
2014-06-11,67.2
2014-06-12,66.9
2014-06-13,66.7
2014-06-14,66.4
2014-06-15,65.7
2014-06-16,64.7
2014-06-17,63.6
2014-06-18,62.5
2014-06-19,61.2
2014-06-20,60.4
2014-06-21,60.4
2014-06-22,60.5
2014-06-23,60.5
2014-06-24,60.6
2014-06-25,60.7
2014-06-26,60.7
2014-06-27,60.6
2014-06-28,60.5
2014-06-29,60.4
2014-06-30,60.3
2014-07-01,60.3
2014-07-02,60.4
2014-07-03,60.5
2014-07-04,60.6
2014-07-05,60.6
2014-07-06,60.7
2014-07-07,60.7
2014-07-08,60.8
2014-07-09,60.9
2014-07-10,60.9
2014-07-11,60.6
2014-07-12,59.7
2014-07-13,58.5
2014-07-14,57.3
2014-07-15,55.7
2014-07-16,54.1
2014-07-17,52.6
2014-07-18,51.7
2014-07-19,51.7
2014-07-20,51.7
2014-07-21,49.5
2014-07-22,46.6
2014-07-23,45.5
2014-07-24,45.0
2014-07-25,45.0
2014-07-26,44.9
2014-07-27,44.9
2014-07-28,43.0
2014-07-29,40.2
2014-07-30,38.4
2014-07-31,37.5
2014-08-01,37.9
2014-08-02,38.8
2014-08-03,40.0
2014-08-04,40.9
2014-08-05,41.5
2014-08-06,42.2
2014-08-07,43.4
2014-08-08,44.5
2014-08-09,45.3
2014-08-10,45.9
2014-08-11,46.2
2014-08-12,46.2
2014-08-13,46.2
2014-08-14,46.3
2014-08-15,46.5
2014-08-16,46.8
2014-08-17,47.2
2014-08-18,48.0
2014-08-19,52.6
2014-08-20,60.0
2014-08-21,68.0
2014-08-22,74.4
2014-08-23,77.1
2014-08-24,78.9
2014-08-25,80.6
2014-08-26,82.7
2014-08-27,84.3
2014-08-28,85.0
2014-08-29,85.4
2014-08-30,85.7
2014-08-31,85.9
2014-09-01,86.2
2014-09-02,86.7
2014-09-03,87.3
