날짜,저수율
2014-01-01,92.0
2014-01-02,92.0
2014-01-03,92.0
2014-01-04,92.0
2014-01-05,92.0
2014-01-06,92.0
2014-01-07,92.0
2014-01-08,92.0
2014-01-09,92.0
2014-01-10,92.0
2014-01-11,92.0
2014-01-12,92.0
2014-01-13,92.0
2014-01-14,92.0
2014-01-15,92.0
2014-01-16,92.0
2014-01-17,92.0
2014-01-18,92.0
2014-01-19,92.0
2014-01-20,92.0
2014-01-21,92.0
2014-01-22,92.0
2014-01-23,92.0
2014-01-24,92.0
2014-01-25,92.0
2014-01-26,92.0
2014-01-27,92.0
2014-01-28,92.0
2014-01-29,92.0
2014-01-30,92.0
2014-01-31,92.0
2014-02-01,92.0
2014-02-02,92.0
2014-02-03,92.0
2014-02-04,92.0
2014-02-05,92.0
2014-02-06,92.0
2014-02-07,92.0
2014-02-08,92.0
2014-02-09,92.0
2014-02-10,92.0
2014-02-11,92.0
2014-02-12,92.0
2014-02-13,92.0
2014-02-14,92.0
2014-02-15,92.0
2014-02-16,92.0
2014-02-17,92.0
2014-02-18,92.0
2014-02-19,92.0
2014-02-20,92.0
2014-02-21,92.0
2014-02-22,92.0
2014-02-23,92.0
2014-02-24,92.0
2014-02-25,92.0
2014-02-26,92.0
2014-02-27,92.0
2014-02-28,92.0
2014-03-01,92.0
2014-03-02,92.0
2014-03-03,92.0
2014-03-04,92.0
2014-03-05,92.0
2014-03-06,92.0
2014-03-07,92.0
2014-03-08,92.0
2014-03-09,92.0
2014-03-10,92.0
2014-03-11,92.0
2014-03-12,92.0
2014-03-13,92.0
2014-03-14,92.0
2014-03-15,92.0
2014-03-16,92.0
2014-03-17,92.0
2014-03-18,92.0
2014-03-19,92.0
2014-03-20,91.9
2014-03-21,91.6
2014-03-22,91.4
2014-03-23,91.1
2014-03-24,91.0
2014-03-25,91.1
2014-03-26,91.4
2014-03-27,91.7
2014-03-28,92.0
2014-03-29,92.4
2014-03-30,92.8
2014-03-31,93.0
2014-04-01,93.0
2014-04-02,93.0
2014-04-03,93.0
2014-04-04,93.0
2014-04-05,93.0
2014-04-06,93.0
2014-04-07,93.0
2014-04-08,93.0
2014-04-09,93.0
2014-04-10,93.0
2014-04-11,93.0
2014-04-12,93.0
2014-04-13,93.0
2014-04-14,93.0
2014-04-15,93.0
2014-04-16,93.0
2014-04-17,93.0
2014-04-18,93.0
2014-04-19,93.0
2014-04-20,93.0
2014-04-21,93.0
2014-04-22,93.0
2014-04-23,93.0
2014-04-24,93.1
2014-04-25,93.4
2014-04-26,93.9
2014-04-27,94.4
2014-04-28,95.0
2014-04-29,96.2
2014-04-30,97.0
2014-05-01,97.0
2014-05-02,96.9
2014-05-03,96.8
2014-05-04,96.7
2014-05-05,96.5
2014-05-06,96.4
2014-05-07,96.2
2014-05-08,96.0
2014-05-09,95.7
2014-05-10,95.2
2014-05-11,95.0
2014-05-12,95.1
2014-05-13,95.4
2014-05-14,95.8
2014-05-15,96.2
2014-05-16,96.6
2014-05-17,96.9
2014-05-18,97.0
2014-05-19,96.9
2014-05-20,96.8
2014-05-21,96.6
2014-05-22,96.4
2014-05-23,96.2
2014-05-24,96.1
2014-05-25,96.0
2014-05-26,96.0
2014-05-27,96.0
2014-05-28,96.0
2014-05-29,95.7
2014-05-30,94.9
2014-05-31,94.0
2014-06-01,93.0
2014-06-02,92.0
2014-06-03,91.6
2014-06-04,91.0
2014-06-05,85.9
2014-06-06,81.0
2014-06-07,80.5
2014-06-08,80.3
2014-06-09,80.0
2014-06-10,79.5
2014-06-11,79.0
2014-06-12,78.4
2014-06-13,78.0
2014-06-14,78.0
2014-06-15,78.0
2014-06-16,78.0
2014-06-17,77.4
2014-06-18,76.0
2014-06-19,74.6
2014-06-20,74.0
2014-06-21,74.0
2014-06-22,74.0
2014-06-23,73.5
2014-06-24,72.2
2014-06-25,70.8
2014-06-26,69.5
2014-06-27,69.0
2014-06-28,69.0
2014-06-29,69.0
2014-06-30,69.0
2014-07-01,68.0
2014-07-02,67.0
2014-07-03,67.2
2014-07-04,67.5
2014-07-05,68.0
2014-07-06,68.6
2014-07-07,69.0
2014-07-08,69.4
2014-07-09,69.8
2014-07-10,70.0
2014-07-11,70.0
2014-07-12,69.9
2014-07-13,69.8
2014-07-14,69.6
2014-07-15,69.4
2014-07-16,69.2
2014-07-17,69.0
2014-07-18,68.7
2014-07-19,68.2
2014-07-20,67.6
2014-07-21,67.0
2014-07-22,66.1
2014-07-23,64.8
2014-07-24,63.7
2014-07-25,63.0
2014-07-26,62.7
2014-07-27,62.4
2014-07-28,62.2
2014-07-29,62.0
2014-07-30,62.0
2014-07-31,66.0
2014-08-01,75.4
2014-08-02,86.6
2014-08-03,96.0
2014-08-04,100.0
2014-08-05,100.0
2014-08-06,99.8
2014-08-07,99.6
2014-08-08,99.3
2014-08-09,98.9
2014-08-10,98.5
2014-08-11,98.0
2014-08-12,96.6
2014-08-13,95.4
2014-08-14,95.7
2014-08-15,96.4
2014-08-16,97.4
2014-08-17,98.3
2014-08-18,99.0
2014-08-19,99.5
