날짜,저수율
2014-01-01,43.7
2014-01-02,43.7
2014-01-03,43.7
2014-01-04,43.7
2014-01-05,43.7
2014-01-06,43.8
2014-01-07,43.8
2014-01-08,43.9
2014-01-09,43.9
2014-01-10,44.0
2014-01-11,44.0
2014-01-12,44.0
2014-01-13,44.1
2014-01-14,44.1
2014-01-15,44.1
2014-01-16,44.2
2014-01-17,44.2
2014-01-18,44.2
2014-01-19,44.2
2014-01-20,44.2
2014-01-21,44.3
2014-01-22,44.4
2014-01-23,44.4
2014-01-24,44.4
2014-01-25,44.5
2014-01-26,44.5
2014-01-27,44.5
2014-01-28,44.5
2014-01-29,44.5
2014-01-30,44.5
2014-01-31,44.5
2014-02-01,44.6
2014-02-02,44.6
2014-02-03,44.6
2014-02-04,44.6
2014-02-05,44.7
2014-02-06,44.9
2014-02-07,45.0
2014-02-08,45.0
2014-02-09,45.1
2014-02-10,45.1
2014-02-11,45.2
2014-02-12,45.3
2014-02-13,45.4
2014-02-14,45.4
2014-02-15,45.5
2014-02-16,45.5
2014-02-17,45.6
2014-02-18,45.6
2014-02-19,45.7
2014-02-20,45.7
2014-02-21,45.8
2014-02-22,45.8
2014-02-23,45.9
2014-02-24,45.9
2014-02-25,45.9
2014-02-26,45.9
2014-02-27,46.1
2014-02-28,46.2
2014-03-01,46.2
2014-03-02,46.2
2014-03-03,46.4
2014-03-04,46.7
2014-03-05,46.8
2014-03-06,46.8
2014-03-07,46.8
2014-03-08,46.8
2014-03-09,46.8
2014-03-10,46.8
2014-03-11,46.9
2014-03-12,47.0
2014-03-13,47.3
2014-03-14,47.9
2014-03-15,48.5
2014-03-16,49.0
2014-03-17,49.3
2014-03-18,49.5
2014-03-19,49.7
2014-03-20,49.9
2014-03-21,50.1
2014-03-22,50.2
2014-03-23,50.3
2014-03-24,50.5
2014-03-25,51.3
2014-03-26,52.8
2014-03-27,55.4
2014-03-28,57.8
2014-03-29,58.9
2014-03-30,59.8
2014-03-31,60.5
2014-04-01,61.2
2014-04-02,61.8
2014-04-03,62.2
2014-04-04,62.4
2014-04-05,62.6
2014-04-06,62.7
