날짜,저수율
2014-01-01,73.0
2014-01-02,73.0
2014-01-03,73.0
2014-01-04,73.0
2014-01-05,73.0
2014-01-06,73.0
2014-01-07,73.0
2014-01-08,73.0
2014-01-09,73.0
2014-01-10,73.0
2014-01-11,73.0
2014-01-12,73.0
2014-01-13,73.0
2014-01-14,73.0
2014-01-15,73.0
2014-01-16,73.0
2014-01-17,73.0
2014-01-18,73.0
2014-01-19,73.0
2014-01-20,73.0
2014-01-21,73.0
2014-01-22,73.0
2014-01-23,73.0
2014-01-24,73.0
2014-01-25,73.0
2014-01-26,73.0
2014-01-27,73.0
2014-01-28,73.0
2014-01-29,73.0
2014-01-30,73.0
2014-01-31,73.0
2014-02-01,73.0
2014-02-02,73.0
2014-02-03,73.0
2014-02-04,73.0
2014-02-05,73.0
2014-02-06,73.0
2014-02-07,73.0
2014-02-08,73.0
2014-02-09,73.0
2014-02-10,73.0
2014-02-11,73.0
2014-02-12,73.0
2014-02-13,73.0
2014-02-14,73.0
2014-02-15,73.0
2014-02-16,73.0
2014-02-17,73.0
2014-02-18,73.0
2014-02-19,73.0
2014-02-20,73.0
2014-02-21,73.0
2014-02-22,73.0
2014-02-23,73.0
2014-02-24,73.0
2014-02-25,73.0
2014-02-26,73.0
2014-02-27,73.0
2014-02-28,73.0
2014-03-01,73.0
2014-03-02,73.0
2014-03-03,73.0
2014-03-04,73.0
2014-03-05,73.0
2014-03-06,73.0
2014-03-07,73.0
2014-03-08,73.0
2014-03-09,73.0
2014-03-10,73.0
2014-03-11,73.0
2014-03-12,73.0
2014-03-13,73.0
2014-03-14,73.0
2014-03-15,73.0
2014-03-16,73.0
2014-03-17,73.0
2014-03-18,73.0
2014-03-19,73.0
2014-03-20,73.0
2014-03-21,73.0
2014-03-22,73.0
2014-03-23,73.0
2014-03-24,73.0
2014-03-25,73.0
2014-03-26,73.0
2014-03-27,73.0
2014-03-28,73.0
2014-03-29,73.0
2014-03-30,73.0
2014-03-31,73.7
2014-04-01,75.5
2014-04-02,77.5
2014-04-03,79.3
2014-04-04,80.0
2014-04-05,80.0
2014-04-06,80.0
2014-04-07,80.0
2014-04-08,80.0
2014-04-09,80.0
2014-04-10,80.0
2014-04-11,80.0
2014-04-12,80.0
2014-04-13,80.0
2014-04-14,80.0
2014-04-15,80.0
2014-04-16,80.0
2014-04-17,80.0
2014-04-18,80.0
2014-04-19,80.0
2014-04-20,80.0
2014-04-21,80.0
2014-04-22,80.0
2014-04-23,80.0
2014-04-24,80.0
2014-04-25,80.0
2014-04-26,80.0
2014-04-27,80.0
2014-04-28,80.0
2014-04-29,80.0
2014-04-30,80.0
2014-05-01,80.0
2014-05-02,80.0
2014-05-03,80.0
2014-05-04,80.0
2014-05-05,80.0
2014-05-06,80.0
2014-05-07,80.0
2014-05-08,80.0
2014-05-09,80.0
2014-05-10,80.0
2014-05-11,80.0
2014-05-12,80.0
2014-05-13,80.0
2014-05-14,80.0
2014-05-15,80.0
2014-05-16,80.0
2014-05-17,80.0
2014-05-18,80.0
2014-05-19,80.0
2014-05-20,80.0
2014-05-21,80.0
2014-05-22,80.0
2014-05-23,79.8
2014-05-24,79.3
2014-05-25,78.7
2014-05-26,78.2
2014-05-27,78.0
2014-05-28,78.0
2014-05-29,78.0
2014-05-30,78.0
2014-05-31,78.0
2014-06-01,78.0
2014-06-02,78.0
2014-06-03,78.0
2014-06-04,74.3
2014-06-05,70.0
2014-06-06,69.0
2014-06-07,68.4
2014-06-08,67.9
2014-06-09,67.0
2014-06-10,65.2
2014-06-11,63.0
2014-06-12,60.8
2014-06-13,59.0
2014-06-14,58.1
2014-06-15,57.4
2014-06-16,57.0
2014-06-17,56.8
2014-06-18,56.6
2014-06-19,56.5
2014-06-20,56.5
2014-06-21,56.4
2014-06-22,56.2
2014-06-23,56.0
2014-06-24,55.4
2014-06-25,54.5
2014-06-26,54.0
2014-06-27,54.0
2014-06-28,54.0
2014-06-29,54.0
2014-06-30,54.0
2014-07-01,54.0
2014-07-02,54.0
2014-07-03,54.0
2014-07-04,54.0
2014-07-05,54.0
2014-07-06,54.0
2014-07-07,54.0
2014-07-08,56.5
2014-07-09,59.0
2014-07-10,58.9
2014-07-11,58.8
2014-07-12,58.6
2014-07-13,58.4
2014-07-14,58.1
2014-07-15,58.0
2014-07-16,57.9
2014-07-17,57.8
2014-07-18,57.8
2014-07-19,57.7
2014-07-20,57.7
2014-07-21,57.6
2014-07-22,57.6
2014-07-23,57.5
2014-07-24,57.5
2014-07-25,57.4
2014-07-26,57.4
2014-07-27,57.3
2014-07-28,57.1
2014-07-29,57.0
2014-07-30,56.4
2014-07-31,55.5
2014-08-01,55.0
2014-08-02,55.0
2014-08-03,55.0
2014-08-04,55.0
2014-08-05,55.0
2014-08-06,55.0
2014-08-07,55.0
2014-08-08,55.0
2014-08-09,55.0
2014-08-10,55.0
2014-08-11,55.0
2014-08-12,55.0
2014-08-13,55.0
2014-08-14,66.7
2014-08-15,82.0
2014-08-16,88.8
2014-08-17,94.6
2014-08-18,98.5
2014-08-19,100.0
2014-08-20,100.0
2014-08-21,100.0
2014-08-22,100.0
2014-08-23,100.0
2014-08-24,100.0
2014-08-25,100.0
2014-08-26,100.0
2014-08-27,100.0
2014-08-28,100.0
2014-08-29,100.0
2014-08-30,100.0
2014-08-31,100.0
2014-09-01,100.0
2014-09-02,100.0
2014-09-03,100.0
2014-09-04,100.0
2014-09-05,100.0
2014-09-06,100.0
2014-09-07,100.0
2014-09-08,100.0
2014-09-09,100.0
2014-09-10,100.0
2014-09-11,99.5
2014-09-12,98.2
2014-09-13,96.8
2014-09-14,95.5
2014-09-15,95.0
2014-09-16,95.0
2014-09-17,95.0
2014-09-18,95.0
2014-09-19,95.0
2014-09-20,95.0
2014-09-21,95.0
2014-09-22,95.0
2014-09-23,95.0
2014-09-24,95.0
2014-09-25,95.0
2014-09-26,95.0
2014-09-27,95.0
2014-09-28,95.0
2014-09-29,95.0
2014-09-30,95.0
2014-10-01,95.0
2014-10-02,95.0
2014-10-03,95.0
2014-10-04,95.0
2014-10-05,95.0
2014-10-06,95.0
2014-10-07,95.0
2014-10-08,95.0
2014-10-09,95.0
2014-10-10,95.0
2014-10-11,95.0
2014-10-12,95.0
2014-10-13,95.0
2014-10-14,95.0
2014-10-15,95.0
2014-10-16,95.0
2014-10-17,95.0
2014-10-18,95.0
2014-10-19,95.0
2014-10-20,95.0
2014-10-21,95.0
2014-10-22,95.0
2014-10-23,95.0
2014-10-24,95.0
2014-10-25,95.0
2014-10-26,95.0
2014-10-27,95.0
2014-10-28,95.0
2014-10-29,95.0
2014-10-30,95.0
2014-10-31,95.0
2014-11-01,95.0
2014-11-02,95.0
2014-11-03,95.0
2014-11-04,95.0
2014-11-05,95.0
2014-11-06,95.0
2014-11-07,95.0
2014-11-08,95.0
2014-11-09,95.0
2014-11-10,95.0
2014-11-11,95.0
2014-11-12,95.0
2014-11-13,95.0
2014-11-14,95.0
2014-11-15,95.0
2014-11-16,95.0
2014-11-17,95.0
2014-11-18,95.0
2014-11-19,95.0
2014-11-20,95.0
2014-11-21,95.0
2014-11-22,95.0
2014-11-23,95.0
2014-11-24,95.0
2014-11-25,95.0
2014-11-26,95.0
2014-11-27,95.0
2014-11-28,95.0
2014-11-29,95.0
2014-11-30,95.0
2014-12-01,95.0
2014-12-02,95.0
2014-12-03,95.0
