날짜,저수율
2014-01-01,54.8
2014-01-02,54.8
2014-01-03,54.8
2014-01-04,54.8
2014-01-05,54.8
2014-01-06,54.8
2014-01-07,54.8
2014-01-08,54.8
2014-01-09,54.8
2014-01-10,54.8
2014-01-11,54.8
2014-01-12,54.8
2014-01-13,54.8
2014-01-14,54.8
2014-01-15,54.8
2014-01-16,54.8
2014-01-17,54.8
2014-01-18,54.8
2014-01-19,54.8
2014-01-20,54.8
2014-01-21,54.8
2014-01-22,54.8
2014-01-23,54.8
2014-01-24,54.8
2014-01-25,54.8
2014-01-26,54.8
2014-01-27,54.8
2014-01-28,54.8
2014-01-29,54.8
2014-01-30,54.8
2014-01-31,54.8
2014-02-01,54.8
2014-02-02,54.8
2014-02-03,54.8
2014-02-04,54.8
2014-02-05,54.8
2014-02-06,54.8
2014-02-07,54.8
2014-02-08,54.8
2014-02-09,54.8
2014-02-10,54.8
2014-02-11,54.8
2014-02-12,54.8
2014-02-13,54.8
2014-02-14,54.8
2014-02-15,54.8
2014-02-16,54.8
2014-02-17,54.8
2014-02-18,54.8
2014-02-19,54.8
2014-02-20,54.8
2014-02-21,54.8
2014-02-22,54.8
2014-02-23,54.8
2014-02-24,54.9
2014-02-25,55.1
2014-02-26,55.4
2014-02-27,55.6
2014-02-28,55.7
2014-03-01,55.7
2014-03-02,55.7
2014-03-03,55.7
2014-03-04,55.7
2014-03-05,55.7
2014-03-06,55.7
2014-03-07,55.7
2014-03-08,55.7
2014-03-09,55.7
2014-03-10,55.7
2014-03-11,55.7
2014-03-12,55.7
2014-03-13,55.7
2014-03-14,55.7
2014-03-15,55.7
2014-03-16,55.7
2014-03-17,55.7
2014-03-18,55.7
2014-03-19,55.7
2014-03-20,55.7
2014-03-21,55.7
2014-03-22,55.7
2014-03-23,55.7
2014-03-24,55.7
2014-03-25,55.7
2014-03-26,55.7
2014-03-27,55.7
2014-03-28,55.7
2014-03-29,55.7
2014-03-30,55.7
2014-03-31,55.7
2014-04-01,55.7
2014-04-02,55.7
2014-04-03,55.7
2014-04-04,55.7
2014-04-05,55.7
2014-04-06,55.7
2014-04-07,55.7
2014-04-08,55.7
2014-04-09,55.7
2014-04-10,55.7
2014-04-11,55.7
2014-04-12,55.7
2014-04-13,55.7
2014-04-14,55.7
2014-04-15,55.7
2014-04-16,55.7
2014-04-17,55.7
2014-04-18,55.7
2014-04-19,55.7
2014-04-20,55.7
2014-04-21,55.7
2014-04-22,55.7
2014-04-23,55.7
2014-04-24,55.8
2014-04-25,55.9
2014-04-26,56.0
2014-04-27,56.1
2014-04-28,56.2
2014-04-29,56.2
2014-04-30,56.2
2014-05-01,56.2
2014-05-02,56.2
2014-05-03,56.2
2014-05-04,56.2
2014-05-05,56.2
2014-05-06,56.2
2014-05-07,56.2
2014-05-08,56.2
2014-05-09,56.2
2014-05-10,56.2
2014-05-11,56.2
2014-05-12,56.2
2014-05-13,56.2
2014-05-14,56.2
2014-05-15,56.2
2014-05-16,56.2
2014-05-17,56.2
2014-05-18,56.2
2014-05-19,56.2
2014-05-20,56.2
2014-05-21,56.2
2014-05-22,56.2
2014-05-23,56.2
2014-05-24,56.4
2014-05-25,56.6
2014-05-26,56.8
2014-05-27,57.1
2014-05-28,57.4
2014-05-29,57.8
2014-05-30,58.3
2014-05-31,58.8
2014-06-01,59.5
2014-06-02,60.4
2014-06-03,61.4
2014-06-04,62.6
2014-06-05,64.0
2014-06-06,68.4
2014-06-07,76.1
2014-06-08,83.5
2014-06-09,86.8
2014-06-10,86.8
2014-06-11,86.9
2014-06-12,86.9
2014-06-13,87.0
2014-06-14,87.0
2014-06-15,87.0
2014-06-16,87.1
2014-06-17,87.1
2014-06-18,87.1
2014-06-19,87.1
2014-06-20,87.1
2014-06-21,87.1
2014-06-22,87.1
2014-06-23,87.1
2014-06-24,87.1
2014-06-25,87.1
2014-06-26,87.1
2014-06-27,87.1
2014-06-28,87.1
2014-06-29,87.1
2014-06-30,87.1
2014-07-01,87.1
2014-07-02,87.1
2014-07-03,87.1
2014-07-04,87.1
2014-07-05,87.1
2014-07-06,87.1
2014-07-07,87.1
2014-07-08,87.1
2014-07-09,87.1
2014-07-10,87.1
2014-07-11,87.1
2014-07-12,87.1
2014-07-13,87.1
2014-07-14,87.1
2014-07-15,87.1
2014-07-16,87.1
2014-07-17,87.1
2014-07-18,87.1
2014-07-19,87.1
2014-07-20,87.1
2014-07-21,87.1
2014-07-22,87.1
2014-07-23,87.1
2014-07-24,87.1
2014-07-25,87.1
2014-07-26,87.1
2014-07-27,87.1
2014-07-28,87.1
2014-07-29,87.1
2014-07-30,87.1
2014-07-31,87.1
2014-08-01,87.1
2014-08-02,87.1
2014-08-03,87.1
2014-08-04,87.1
2014-08-05,87.1
2014-08-06,87.1
2014-08-07,87.1
2014-08-08,87.1
2014-08-09,87.1
2014-08-10,87.1
2014-08-11,87.1
2014-08-12,87.1
2014-08-13,87.1
2014-08-14,87.1
2014-08-15,87.1
2014-08-16,87.1
2014-08-17,87.1
2014-08-18,87.1
2014-08-19,87.1
2014-08-20,87.1
2014-08-21,87.1
2014-08-22,87.1
2014-08-23,87.1
2014-08-24,87.1
2014-08-25,87.1
2014-08-26,87.0
2014-08-27,87.0
2014-08-28,87.0
2014-08-29,87.0
2014-08-30,87.0
2014-08-31,87.0
2014-09-01,87.0
2014-09-02,87.0
2014-09-03,87.0
2014-09-04,87.0
2014-09-05,87.0
2014-09-06,87.0
2014-09-07,87.0
2014-09-08,87.0
2014-09-09,87.0
2014-09-10,87.0
2014-09-11,86.9
2014-09-12,86.6
2014-09-13,86.4
2014-09-14,86.1
2014-09-15,86.0
2014-09-16,86.0
2014-09-17,86.0
2014-09-18,86.0
2014-09-19,86.0
2014-09-20,86.0
2014-09-21,86.0
2014-09-22,86.0
2014-09-23,86.0
2014-09-24,86.0
2014-09-25,86.0
2014-09-26,86.0
2014-09-27,86.0
2014-09-28,86.0
2014-09-29,86.0
2014-09-30,86.0
2014-10-01,86.0
2014-10-02,86.0
2014-10-03,86.0
2014-10-04,86.0
2014-10-05,86.0
2014-10-06,86.0
2014-10-07,86.0
2014-10-08,86.0
2014-10-09,86.0
2014-10-10,86.0
2014-10-11,86.0
2014-10-12,86.0
2014-10-13,86.0
2014-10-14,86.0
2014-10-15,86.0
2014-10-16,86.0
2014-10-17,86.0
2014-10-18,86.0
2014-10-19,86.0
2014-10-20,86.0
2014-10-21,86.0
2014-10-22,86.0
2014-10-23,86.0
2014-10-24,86.0
2014-10-25,86.0
2014-10-26,86.0
2014-10-27,86.0
2014-10-28,86.0
2014-10-29,86.0
