날짜,저수율
2014-01-01,69.0
2014-01-02,69.0
2014-01-03,69.0
2014-01-04,69.0
2014-01-05,69.0
2014-01-06,69.0
2014-01-07,69.0
2014-01-08,69.0
2014-01-09,69.0
2014-01-10,69.0
2014-01-11,69.0
2014-01-12,69.0
2014-01-13,69.0
2014-01-14,69.0
2014-01-15,69.0
2014-01-16,69.0
2014-01-17,69.0
2014-01-18,69.0
2014-01-19,69.0
2014-01-20,69.0
2014-01-21,69.0
2014-01-22,69.0
2014-01-23,69.0
2014-01-24,69.0
2014-01-25,69.0
2014-01-26,69.0
2014-01-27,69.0
2014-01-28,69.0
2014-01-29,69.0
2014-01-30,69.0
2014-01-31,69.0
2014-02-01,69.0
2014-02-02,69.0
2014-02-03,69.0
2014-02-04,69.0
2014-02-05,69.0
2014-02-06,69.0
2014-02-07,69.0
2014-02-08,69.0
2014-02-09,69.0
2014-02-10,69.0
2014-02-11,69.0
2014-02-12,69.0
2014-02-13,69.0
2014-02-14,69.0
2014-02-15,69.0
2014-02-16,69.0
2014-02-17,69.0
2014-02-18,69.0
2014-02-19,69.0
2014-02-20,69.0
2014-02-21,69.0
2014-02-22,69.0
2014-02-23,69.0
2014-02-24,69.0
2014-02-25,69.0
2014-02-26,69.0
2014-02-27,69.0
2014-02-28,69.0
2014-03-01,69.0
2014-03-02,69.0
2014-03-03,69.0
2014-03-04,69.0
2014-03-05,69.0
2014-03-06,69.0
2014-03-07,69.0
2014-03-08,69.0
2014-03-09,69.0
2014-03-10,69.0
2014-03-11,69.0
2014-03-12,69.0
2014-03-13,69.0
2014-03-14,69.0
2014-03-15,69.0
2014-03-16,69.0
2014-03-17,69.0
2014-03-18,69.0
2014-03-19,69.0
2014-03-20,69.0
2014-03-21,69.0
2014-03-22,69.0
2014-03-23,69.0
2014-03-24,69.0
2014-03-25,69.0
2014-03-26,69.0
2014-03-27,69.0
2014-03-28,69.0
2014-03-29,69.0
2014-03-30,69.0
2014-03-31,69.0
2014-04-01,69.0
2014-04-02,69.0
2014-04-03,69.0
2014-04-04,69.0
2014-04-05,69.0
2014-04-06,69.0
2014-04-07,69.0
2014-04-08,69.0
2014-04-09,69.0
2014-04-10,69.0
2014-04-11,69.0
2014-04-12,69.0
2014-04-13,69.0
2014-04-14,69.0
2014-04-15,69.0
2014-04-16,69.0
2014-04-17,69.0
2014-04-18,69.0
2014-04-19,69.0
2014-04-20,69.0
2014-04-21,69.0
2014-04-22,69.0
2014-04-23,69.0
2014-04-24,69.0
2014-04-25,69.0
2014-04-26,69.0
2014-04-27,69.0
2014-04-28,69.0
2014-04-29,69.0
2014-04-30,69.0
2014-05-01,69.0
2014-05-02,69.0
2014-05-03,69.0
2014-05-04,69.0
2014-05-05,69.0
2014-05-06,69.0
2014-05-07,69.0
2014-05-08,69.0
2014-05-09,69.0
2014-05-10,69.0
2014-05-11,69.0
2014-05-12,69.0
2014-05-13,69.0
2014-05-14,69.0
2014-05-15,69.0
2014-05-16,69.0
2014-05-17,69.0
2014-05-18,69.0
2014-05-19,69.0
2014-05-20,69.0
2014-05-21,69.0
2014-05-22,69.0
2014-05-23,69.0
2014-05-24,69.0
2014-05-25,69.0
2014-05-26,69.0
2014-05-27,69.0
2014-05-28,69.0
2014-05-29,69.0
2014-05-30,69.0
2014-05-31,69.0
2014-06-01,69.0
2014-06-02,69.0
2014-06-03,69.0
2014-06-04,69.0
2014-06-05,69.0
2014-06-06,69.0
2014-06-07,69.0
2014-06-08,69.0
2014-06-09,69.0
2014-06-10,69.0
2014-06-11,69.0
2014-06-12,69.0
2014-06-13,69.0
2014-06-14,69.0
2014-06-15,69.0
2014-06-16,69.0
2014-06-17,69.0
2014-06-18,69.0
2014-06-19,69.0
2014-06-20,69.0
2014-06-21,69.0
2014-06-22,69.0
2014-06-23,69.0
2014-06-24,69.0
2014-06-25,69.0
2014-06-26,69.0
2014-06-27,69.0
2014-06-28,69.0
2014-06-29,69.0
2014-06-30,69.0
2014-07-01,69.0
2014-07-02,69.0
2014-07-03,69.0
2014-07-04,69.0
2014-07-05,69.0
2014-07-06,69.0
2014-07-07,69.0
2014-07-08,69.0
2014-07-09,69.0
2014-07-10,69.0
2014-07-11,69.0
2014-07-12,69.0
2014-07-13,69.0
2014-07-14,69.0
2014-07-15,69.0
2014-07-16,66.0
2014-07-17,63.0
2014-07-18,63.0
2014-07-19,63.0
2014-07-20,63.0
2014-07-21,61.7
2014-07-22,60.0
2014-07-23,59.3
2014-07-24,58.8
2014-07-25,58.1
2014-07-26,56.4
2014-07-27,53.8
2014-07-28,50.8
2014-07-29,48.2
2014-07-30,46.1
2014-07-31,44.1
2014-08-01,41.4
2014-08-02,39.3
2014-08-03,38.6
2014-08-04,37.8
2014-08-05,35.6
2014-08-06,32.8
2014-08-07,30.4
2014-08-08,29.0
2014-08-09,28.9
2014-08-10,28.9
2014-08-11,29.0
2014-08-12,29.1
2014-08-13,29.4
2014-08-14,29.7
2014-08-15,30.1
2014-08-16,30.5
2014-08-17,31.1
2014-08-18,31.6
2014-08-19,32.2
2014-08-20,33.0
2014-08-21,34.3
2014-08-22,36.7
2014-08-23,39.4
2014-08-24,41.6
2014-08-25,43.3
2014-08-26,44.4
2014-08-27,44.9
2014-08-28,44.9
2014-08-29,44.8
2014-08-30,44.7
2014-08-31,44.5
2014-09-01,44.3
2014-09-02,44.1
2014-09-03,43.8
2014-09-04,43.3
2014-09-05,42.6
2014-09-06,41.8
2014-09-07,40.9
2014-09-08,40.0
2014-09-09,39.1
2014-09-10,38.2
2014-09-11,37.4
2014-09-12,36.7
2014-09-13,36.2
2014-09-14,35.8
2014-09-15,35.7
2014-09-16,35.8
2014-09-17,36.0
2014-09-18,36.2
2014-09-19,36.3
2014-09-20,36.4
2014-09-21,36.4
